Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Georgia (SEC),14,12-2,399,1045,2.62,2,74.6
San Diego St. (Mountain West),13,10-3,356,980,2.75,8,75.4
Utah (Pac-12),14,11-3,377,1145,3.04,9,81.8
Buffalo (MAC),13,8-5,428,1224,2.86,15,94.2
Penn St. (Big Ten),13,11-2,484,1235,2.55,13,95.0
Wisconsin (Big Ten),14,10-4,424,1397,3.29,11,99.8
Air Force (Mountain West),13,11-2,375,1307,3.49,11,100.5
Florida (SEC),13,11-2,419,1336,3.19,9,102.8
Ohio St. (Big Ten),14,13-1,488,1452,2.98,14,103.7
Navy (AAC),13,11-2,434,1376,3.17,13,105.8
Wyoming (Mountain West),13,8-5,477,1392,2.92,10,107.1
Pittsburgh (ACC),13,8-5,472,1410,2.99,12,108.5
Oregon (Pac-12),14,12-2,467,1525,3.27,5,108.9
Iowa (Big Ten),13,10-3,418,1463,3.5,6,112.5
Boise St. (Mountain West),14,12-2,454,1578,3.48,19,112.7
Michigan St. (Big Ten),13,7-6,440,1479,3.36,11,113.8
Miami (FL) (ACC),13,6-7,470,1490,3.17,13,114.6
Southern Miss. (C-USA),13,7-6,437,1506,3.45,14,115.8
Clemson (ACC),15,14-1,537,1741,3.24,10,116.1
UAB (C-USA),14,9-5,477,1655,3.47,13,118.2
LSU (SEC),15,15-0,487,1812,3.72,19,120.8
Michigan (Big Ten),13,9-4,501,1582,3.16,20,121.7
Minnesota (Big Ten),13,11-2,430,1591,3.7,18,122.4
Central Mich. (MAC),14,8-6,493,1719,3.49,20,122.8
Auburn (SEC),13,9-4,452,1601,3.54,10,123.2
Arizona St. (Pac-12),13,8-5,463,1626,3.51,15,125.1
California (Pac-12),13,8-5,461,1642,3.56,16,126.3
Washington (Pac-12),13,8-5,431,1643,3.81,15,126.4
App State (Sun Belt),14,13-1,485,1811,3.73,14,129.4
Texas A&M (SEC),13,8-5,417,1699,4.07,13,130.7
Missouri (SEC),12,6-6,423,1593,3.77,12,132.8
Oklahoma (Big 12),14,12-2,459,1877,4.09,20,134.1
Fla. Atlantic (C-USA),14,11-3,498,1897,3.81,17,135.5
Western Ky. (C-USA),13,9-4,473,1762,3.73,11,135.5
Ga. Southern (Sun Belt),13,7-6,468,1772,3.79,18,136.3
Northwestern (Big Ten),12,3-9,436,1643,3.77,14,136.9
Alabama (SEC),13,11-2,467,1783,3.82,9,137.2
Louisiana Tech (C-USA),13,10-3,478,1784,3.73,19,137.2
TCU (Big 12),12,5-7,409,1647,4.03,16,137.3
Virginia (ACC),14,9-5,497,1934,3.89,23,138.1
Rice (C-USA),12,3-9,416,1660,3.99,19,138.3
Ole Miss (SEC),12,4-8,425,1662,3.91,16,138.5
Indiana (Big Ten),13,8-5,459,1801,3.92,17,138.5
Cincinnati (AAC),14,11-3,535,1941,3.63,15,138.6
Texas (Big 12),13,8-5,437,1806,4.13,13,138.9
Virginia Tech (ACC),13,8-5,457,1811,3.96,18,139.3
Iowa St. (Big 12),13,7-6,455,1814,3.99,13,139.5
Tennessee (SEC),13,8-5,493,1826,3.7,17,140.5
Baylor (Big 12),14,11-3,547,2000,3.66,16,142.9
NC State (ACC),12,4-8,445,1721,3.87,21,143.4
North Carolina (ACC),13,7-6,472,1866,3.95,19,143.5
UCLA (Pac-12),12,4-8,411,1746,4.25,21,145.5
UCF (AAC),13,10-3,546,1906,3.49,14,146.6
Florida St. (ACC),13,6-7,535,1917,3.58,18,147.5
Old Dominion (C-USA),12,1-11,463,1771,3.83,22,147.6
Marshall (C-USA),13,8-5,481,1924,4.0,23,148.0
Nevada (Mountain West),13,7-6,450,1940,4.31,18,149.2
Stanford (Pac-12),12,4-8,406,1809,4.46,17,150.8
Mississippi St. (SEC),13,6-7,456,1981,4.34,25,152.4
Notre Dame (FBS Independent),13,11-2,520,1990,3.83,12,153.1
Colorado (Pac-12),12,5-7,409,1843,4.51,21,153.6
Tulane (AAC),13,7-6,470,2032,4.32,18,156.3
SMU (AAC),13,10-3,522,2033,3.89,16,156.4
Kentucky (SEC),13,8-5,443,2038,4.6,21,156.8
Troy (Sun Belt),12,5-7,446,1894,4.25,24,157.8
South Carolina (SEC),12,4-8,450,1896,4.21,9,158.0
Oklahoma St. (Big 12),13,8-5,479,2060,4.3,18,158.5
Temple (AAC),13,8-5,541,2066,3.82,19,158.9
West Virginia (Big 12),12,5-7,502,1913,3.81,20,159.4
Coastal Carolina (Sun Belt),12,5-7,433,1921,4.44,23,160.1
Fresno St. (Mountain West),12,4-8,445,1927,4.33,24,160.6
Southern California (Pac-12),13,8-5,468,2113,4.51,19,162.5
Army West Point (FBS Independent),13,5-8,463,2124,4.59,21,163.4
Wake Forest (ACC),13,8-5,502,2128,4.24,16,163.7
New Mexico (Mountain West),12,2-10,456,1971,4.32,22,164.3
Kansas St. (Big 12),13,8-5,426,2151,5.05,19,165.5
Ohio (MAC),13,7-6,464,2162,4.66,21,166.3
BYU (FBS Independent),13,7-6,515,2178,4.23,14,167.5
Oregon St. (Pac-12),12,5-7,469,2034,4.34,21,169.5
Texas Tech (Big 12),12,4-8,471,2070,4.39,24,172.5
Miami (OH) (MAC),14,8-6,578,2418,4.18,24,172.7
Louisiana (Sun Belt),14,11-3,545,2437,4.47,21,174.1
Maryland (Big Ten),12,3-9,501,2135,4.26,27,177.9
NIU (MAC),12,5-7,431,2135,4.95,25,177.9
Houston (AAC),12,4-8,414,2149,5.19,24,179.1
Ball St. (MAC),12,5-7,485,2155,4.44,34,179.6
Duke (ACC),12,5-7,499,2167,4.34,19,180.6
Arizona (Pac-12),12,4-8,459,2179,4.75,27,181.6
Western Mich. (MAC),13,7-6,498,2361,4.74,18,181.6
Tulsa (AAC),12,4-8,496,2221,4.48,29,185.1
Washington St. (Pac-12),13,6-7,488,2411,4.94,27,185.5
UNLV (Mountain West),12,4-8,435,2234,5.14,28,186.2
Memphis (AAC),14,12-2,586,2627,4.48,27,187.6
Nebraska (Big Ten),12,5-7,468,2257,4.82,25,188.1
North Texas (C-USA),12,4-8,486,2263,4.66,31,188.6
Liberty (FBS Independent),13,8-5,541,2466,4.56,18,189.7
Charlotte (C-USA),13,7-6,510,2495,4.89,27,191.9
South Alabama (Sun Belt),12,2-10,524,2306,4.4,17,192.2
Purdue (Big Ten),12,4-8,487,2310,4.74,25,192.5
Boston College (ACC),13,6-7,527,2512,4.77,19,193.2
Middle Tenn. (C-USA),12,4-8,473,2328,4.92,19,194.0
Eastern Mich. (MAC),13,6-7,542,2525,4.66,30,194.2
Illinois (Big Ten),13,6-7,594,2542,4.28,19,195.5
