Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Akron (MAC),12,0-12,15,223,0,14.87
Ohio (MAC),13,7-6,36,580,0,16.11
Kentucky (SEC),13,8-5,15,244,0,16.27
Illinois (Big Ten),13,6-7,18,294,0,16.33
San Diego St. (Mountain West),13,10-3,12,202,0,16.83
Wisconsin (Big Ten),14,10-4,16,272,0,17.0
Penn St. (Big Ten),13,11-2,14,239,0,17.07
Iowa (Big Ten),13,10-3,28,482,0,17.21
West Virginia (Big 12),12,5-7,22,380,0,17.27
Arkansas (SEC),12,2-10,14,242,0,17.29
Alabama (SEC),13,11-2,27,469,0,17.37
Louisiana (Sun Belt),14,11-3,40,702,0,17.55
Clemson (ACC),15,14-1,25,439,0,17.56
Houston (AAC),12,4-8,31,546,0,17.61
Tennessee (SEC),13,8-5,11,195,0,17.73
Fla. Atlantic (C-USA),14,11-3,45,798,0,17.73
Troy (Sun Belt),12,5-7,34,607,1,17.85
Notre Dame (FBS Independent),13,11-2,35,626,0,17.89
Ohio St. (Big Ten),14,13-1,43,770,0,17.91
Georgia (SEC),14,12-2,14,252,0,18.0
SMU (AAC),13,10-3,63,1135,1,18.02
Kansas St. (Big 12),13,8-5,33,597,0,18.09
Kent St. (MAC),13,7-6,38,690,0,18.16
Ole Miss (SEC),12,4-8,30,546,0,18.2
Virginia Tech (ACC),13,8-5,19,346,0,18.21
Temple (AAC),13,8-5,19,352,0,18.53
Memphis (AAC),14,12-2,30,557,0,18.57
Western Ky. (C-USA),13,9-4,28,525,0,18.75
App State (Sun Belt),14,13-1,48,910,0,18.96
Arkansas St. (Sun Belt),13,8-5,43,816,1,18.98
Utah (Pac-12),14,11-3,33,630,0,19.09
Ga. Southern (Sun Belt),13,7-6,10,191,1,19.1
Oklahoma (Big 12),14,12-2,38,730,0,19.21
BYU (FBS Independent),13,7-6,46,885,0,19.24
Baylor (Big 12),14,11-3,37,713,1,19.27
Middle Tenn. (C-USA),12,4-8,39,754,0,19.33
UTSA (C-USA),12,4-8,23,446,0,19.39
Washington St. (Pac-12),13,6-7,26,506,1,19.46
Ball St. (MAC),12,5-7,58,1129,0,19.47
Liberty (FBS Independent),13,8-5,25,487,0,19.48
Oklahoma St. (Big 12),13,8-5,36,702,0,19.5
Southern Miss. (C-USA),13,7-6,41,800,1,19.51
Purdue (Big Ten),12,4-8,17,334,0,19.65
Pittsburgh (ACC),13,8-5,24,472,0,19.67
Mississippi St. (SEC),13,6-7,41,807,1,19.68
Iowa St. (Big 12),13,7-6,57,1127,1,19.77
UTEP (C-USA),12,1-11,21,419,0,19.95
Washington (Pac-12),13,8-5,29,579,0,19.97
TCU (Big 12),12,5-7,32,639,0,19.97
Indiana (Big Ten),13,8-5,27,540,0,20.0
Wyoming (Mountain West),13,8-5,17,340,0,20.0
Bowling Green (MAC),12,3-9,32,642,0,20.06
Florida (SEC),13,11-2,25,502,0,20.08
Tulsa (AAC),12,4-8,49,985,1,20.1
Northwestern (Big Ten),12,3-9,29,588,0,20.28
Duke (ACC),12,5-7,31,629,1,20.29
South Fla. (AAC),12,4-8,32,650,1,20.31
Tulane (AAC),13,7-6,25,508,0,20.32
Colorado (Pac-12),12,5-7,15,305,0,20.33
Cincinnati (AAC),14,11-3,52,1059,1,20.37
Western Mich. (MAC),13,7-6,42,857,1,20.4
Kansas (Big 12),12,3-9,26,531,0,20.42
Louisiana Tech (C-USA),13,10-3,57,1171,1,20.54
San Jose St. (Mountain West),12,5-7,34,704,1,20.71
Nebraska (Big Ten),12,5-7,45,932,2,20.71
Boise St. (Mountain West),14,12-2,29,602,0,20.76
Nevada (Mountain West),13,7-6,22,459,1,20.86
Buffalo (MAC),13,8-5,37,772,0,20.86
Georgia Tech (ACC),12,3-9,23,481,0,20.91
Old Dominion (C-USA),12,1-11,24,503,0,20.96
ULM (Sun Belt),12,5-7,25,524,1,20.96
Stanford (Pac-12),12,4-8,25,525,0,21.0
Army West Point (FBS Independent),13,5-8,38,799,0,21.03
Arizona St. (Pac-12),13,8-5,37,779,0,21.05
UNLV (Mountain West),12,4-8,33,695,1,21.06
Maryland (Big Ten),12,3-9,42,885,1,21.07
Boston College (ACC),13,6-7,22,465,0,21.14
Texas St. (Sun Belt),12,3-9,31,658,0,21.23
NC State (ACC),12,4-8,24,511,0,21.29
UCLA (Pac-12),12,4-8,8,171,0,21.38
Rice (C-USA),12,3-9,23,492,1,21.39
Air Force (Mountain West),13,11-2,36,772,0,21.44
Vanderbilt (SEC),12,3-9,13,279,0,21.46
Louisville (ACC),13,8-5,54,1159,0,21.46
Minnesota (Big Ten),13,11-2,44,947,1,21.52
FIU (C-USA),13,6-7,28,603,1,21.54
Michigan St. (Big Ten),13,7-6,40,867,0,21.68
Massachusetts (FBS Independent),12,1-11,29,629,0,21.69
Hawaii (Mountain West),15,10-5,30,654,0,21.8
North Carolina (ACC),13,7-6,33,721,0,21.85
Toledo (MAC),12,6-6,23,505,0,21.96
Missouri (SEC),12,6-6,6,132,0,22.0
Navy (AAC),13,11-2,43,948,2,22.05
California (Pac-12),13,8-5,27,599,0,22.19
Arizona (Pac-12),12,4-8,10,222,0,22.2
Auburn (SEC),13,9-4,20,446,1,22.3
LSU (SEC),15,15-0,15,337,0,22.47
Texas (Big 12),13,8-5,21,472,1,22.48
UCF (AAC),13,10-3,33,743,1,22.52
Fresno St. (Mountain West),12,4-8,37,837,1,22.62
Utah St. (Mountain West),13,7-6,30,679,0,22.63
Rutgers (Big Ten),12,2-10,26,599,1,23.04
Central Mich. (MAC),14,8-6,41,945,0,23.05
New Mexico (Mountain West),12,2-10,19,439,0,23.11
Michigan (Big Ten),13,9-4,19,440,1,23.16
Texas A&M (SEC),13,8-5,28,656,0,23.43
UAB (C-USA),14,9-5,16,376,0,23.5
North Texas (C-USA),12,4-8,30,709,2,23.63
NIU (MAC),12,5-7,30,709,0,23.63
Miami (OH) (MAC),14,8-6,16,379,0,23.69
Georgia St. (Sun Belt),13,7-6,26,616,0,23.69
Florida St. (ACC),13,6-7,14,332,0,23.71
Eastern Mich. (MAC),13,6-7,26,619,1,23.81
Miami (FL) (ACC),13,6-7,28,670,0,23.93
South Carolina (SEC),12,4-8,16,384,0,24.0
Syracuse (ACC),12,5-7,19,460,0,24.21
East Carolina (AAC),12,4-8,16,388,0,24.25
Oregon (Pac-12),14,12-2,44,1075,1,24.43
UConn (AAC),12,2-10,30,736,0,24.53
Coastal Carolina (Sun Belt),12,5-7,41,1008,0,24.59
Virginia (ACC),14,9-5,20,498,0,24.9
Wake Forest (ACC),13,8-5,41,1039,3,25.34
Charlotte (C-USA),13,7-6,23,589,2,25.61
New Mexico St. (FBS Independent),12,2-10,16,416,1,26.0
Texas Tech (Big 12),12,4-8,24,636,1,26.5
Oregon St. (Pac-12),12,5-7,34,901,1,26.5
South Alabama (Sun Belt),12,2-10,23,624,0,27.13
Colorado St. (Mountain West),12,4-8,18,498,1,27.67
Marshall (C-USA),13,8-5,25,716,0,28.64
Southern California (Pac-12),13,8-5,37,1102,2,29.78
