Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Rice (CUSA),12,3-9,44,330,27.5
Air Force (Mountain West),13,11-2,42,368,28.31
Iowa (Big Ten),13,10-3,56,421,32.38
Navy (AAC),13,11-2,54,459,35.31
Wake Forest (ACC),13,8-5,57,460,35.38
Boston College (ACC),13,6-7,66,486,37.38
Purdue (Big Ten),12,4-8,55,452,37.67
Army West Point (FBS Independent),13,5-8,60,496,38.15
Iowa St. (Big 12),13,7-6,61,496,38.15
Minnesota (Big Ten),13,11-2,56,502,38.62
Western Ky. (CUSA),13,9-4,53,514,39.54
California (Pac-12),13,8-5,62,528,40.62
Eastern Mich. (MAC),13,6-7,59,531,40.85
Arkansas (SEC),12,2-10,61,492,41.0
Georgia Tech (ACC),12,3-9,57,493,41.08
Middle Tenn. (CUSA),12,4-8,57,511,42.58
Georgia St. (Sun Belt),13,7-6,56,557,42.85
Nebraska (Big Ten),12,5-7,61,518,43.17
Virginia (ACC),14,9-5,66,612,43.71
Ga. Southern (Sun Belt),13,7-6,66,569,43.77
Mississippi St. (SEC),13,6-7,72,578,44.46
Buffalo (MAC),13,8-5,64,580,44.62
UNLV (Mountain West),12,4-8,65,536,44.67
NIU (MAC),12,5-7,62,539,44.92
South Alabama (Sun Belt),12,2-10,69,540,45.0
Penn St. (Big Ten),13,11-2,57,589,45.31
Duke (ACC),12,5-7,63,544,45.33
Wisconsin (Big Ten),14,10-4,69,636,45.43
Clemson (ACC),15,14-1,85,684,45.6
Charlotte (CUSA),13,7-6,68,594,45.69
New Mexico St. (FBS Independent),12,2-10,68,556,46.33
Louisiana Tech (CUSA),13,10-3,72,605,46.54
Virginia Tech (ACC),13,8-5,69,606,46.62
Oklahoma St. (Big 12),13,8-5,67,612,47.08
Utah St. (Mountain West),13,7-6,74,615,47.31
Florida (SEC),13,11-2,67,618,47.54
Ohio (MAC),13,7-6,70,627,48.23
Houston (AAC),12,4-8,58,579,48.25
Northwestern (Big Ten),12,3-9,65,582,48.5
Stanford (Pac-12),12,4-8,75,585,48.75
Ole Miss (SEC),12,4-8,59,585,48.75
Maryland (Big Ten),12,3-9,70,585,48.75
Wyoming (Mountain West),13,8-5,67,634,48.77
Miami (OH) (MAC),14,8-6,80,683,48.79
Coastal Carolina (Sun Belt),12,5-7,67,586,48.83
West Virginia (Big 12),12,5-7,71,587,48.92
Georgia (SEC),14,12-2,76,685,48.93
Washington (Pac-12),13,8-5,79,639,49.15
Boise St. (Mountain West),14,12-2,76,695,49.64
Troy (Sun Belt),12,5-7,64,597,49.75
Michigan (Big Ten),13,9-4,80,649,49.92
Kansas (Big 12),12,3-9,66,601,50.08
San Diego St. (Mountain West),13,10-3,78,655,50.38
Toledo (MAC),12,6-6,67,608,50.67
San Jose St. (Mountain West),12,5-7,74,608,50.67
Kentucky (SEC),13,8-5,75,661,50.85
Notre Dame (FBS Independent),13,11-2,84,665,51.15
East Carolina (AAC),12,4-8,71,615,51.25
BYU (FBS Independent),13,7-6,79,668,51.38
Texas St. (Sun Belt),12,3-9,66,617,51.42
