Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Ohio St. (Big Ten),14,13-1,183,101,0.552
Air Force (Mountain West),13,11-2,157,84,0.535
Alabama (SEC),13,11-2,153,80,0.523
LSU (SEC),15,15-0,183,91,0.497
Oklahoma (Big 12),14,12-2,155,77,0.497
Ohio (MAC),13,7-6,168,83,0.494
Texas (Big 12),13,8-5,184,90,0.489
Minnesota (Big Ten),13,11-2,161,78,0.484
Wisconsin (Big Ten),14,10-4,189,91,0.481
Boise St. (Mountain West),14,12-2,199,95,0.477
Louisiana (Sun Belt),14,11-3,168,80,0.476
Hawaii (Mountain West),15,10-5,186,88,0.473
Wake Forest (ACC),13,8-5,229,108,0.472
TCU (Big 12),12,5-7,202,95,0.47
Troy (Sun Belt),12,5-7,177,83,0.469
Indiana (Big Ten),13,8-5,177,83,0.469
Utah (Pac-12),14,11-3,175,81,0.463
Navy (AAC),13,11-2,171,79,0.462
Memphis (AAC),14,12-2,193,89,0.461
Georgia St. (Sun Belt),13,7-6,195,89,0.456
Southern California (Pac-12),13,8-5,169,77,0.456
Virginia (ACC),14,9-5,203,92,0.453
Western Mich. (MAC),13,7-6,190,86,0.453
Army West Point (FBS Independent),13,5-8,168,76,0.452
Buffalo (MAC),13,8-5,194,87,0.448
App State (Sun Belt),14,13-1,200,89,0.445
Clemson (ACC),15,14-1,181,80,0.442
Arizona (Pac-12),12,4-8,186,82,0.441
Kent St. (MAC),13,7-6,196,86,0.439
SMU (AAC),13,10-3,212,93,0.439
Cincinnati (AAC),14,11-3,212,92,0.434
Wyoming (Mountain West),13,8-5,187,81,0.433
Tennessee (SEC),13,8-5,176,76,0.432
Kansas St. (Big 12),13,8-5,174,75,0.431
Louisville (ACC),13,8-5,174,75,0.431
Boston College (ACC),13,6-7,207,89,0.43
Tulsa (AAC),12,4-8,205,88,0.429
Utah St. (Mountain West),13,7-6,197,84,0.426
Washington St. (Pac-12),13,6-7,141,60,0.426
BYU (FBS Independent),13,7-6,186,79,0.425
Penn St. (Big Ten),13,11-2,172,73,0.424
Oregon St. (Pac-12),12,5-7,163,69,0.423
UCLA (Pac-12),12,4-8,183,77,0.421
Oregon (Pac-12),14,12-2,177,74,0.418
Baylor (Big 12),14,11-3,180,75,0.417
Louisiana Tech (C-USA),13,10-3,174,72,0.414
North Carolina (ACC),13,7-6,191,79,0.414
Colorado (Pac-12),12,5-7,179,74,0.413
Charlotte (C-USA),13,7-6,155,64,0.413
Ball St. (MAC),12,5-7,172,71,0.413
Nebraska (Big Ten),12,5-7,187,77,0.412
Georgia (SEC),14,12-2,187,77,0.412
Florida (SEC),13,11-2,158,65,0.411
Western Ky. (C-USA),13,9-4,183,75,0.41
San Jose St. (Mountain West),12,5-7,159,65,0.409
Purdue (Big Ten),12,4-8,179,73,0.408
Iowa (Big Ten),13,10-3,189,77,0.407
Liberty (FBS Independent),13,8-5,167,68,0.407
Coastal Carolina (Sun Belt),12,5-7,172,70,0.407
Auburn (SEC),13,9-4,190,77,0.405
UCF (AAC),13,10-3,200,81,0.405
Central Mich. (MAC),14,8-6,200,81,0.405
Arkansas St. (Sun Belt),13,8-5,193,78,0.404
Fla. Atlantic (C-USA),14,11-3,201,81,0.403
Notre Dame (FBS Independent),13,11-2,184,74,0.402
Texas A&M (SEC),13,8-5,160,64,0.4
ULM (Sun Belt),12,5-7,175,70,0.4
Eastern Mich. (MAC),13,6-7,168,67,0.399
Pittsburgh (ACC),13,8-5,211,84,0.398
Colorado St. (Mountain West),12,4-8,169,67,0.396
East Carolina (AAC),12,4-8,178,70,0.393
Kansas (Big 12),12,3-9,166,65,0.392
Stanford (Pac-12),12,4-8,166,65,0.392
Michigan (Big Ten),13,9-4,174,68,0.391
South Fla. (AAC),12,4-8,177,69,0.39
Mississippi St. (SEC),13,6-7,149,58,0.389
Oklahoma St. (Big 12),13,8-5,185,72,0.389
Tulane (AAC),13,7-6,180,70,0.389
Kentucky (SEC),13,8-5,162,63,0.389
Southern Miss. (C-USA),13,7-6,176,68,0.386
Virginia Tech (ACC),13,8-5,179,69,0.385
Marshall (C-USA),13,8-5,179,69,0.385
