Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
LSU (SEC),15,15-0,1080,8526,7.89,93,568.4
UCF (AAC),13,10-3,1016,7026,6.92,70,540.5
Oklahoma (Big 12),14,12-2,946,7527,7.96,74,537.6
Ohio St. (Big Ten),14,13-1,1069,7419,6.94,87,529.9
Clemson (ACC),15,14-1,1075,7931,7.38,85,528.7
Alabama (SEC),13,11-2,842,6640,7.89,76,510.8
Washington St. (Pac-12),13,6-7,920,6568,7.14,62,505.2
Louisiana (Sun Belt),14,11-3,987,6918,7.01,69,494.1
SMU (AAC),13,10-3,1037,6368,6.14,70,489.8
Memphis (AAC),14,12-2,992,6791,6.85,65,485.1
Texas Tech (Big 12),12,4-8,935,5691,6.09,44,474.3
North Carolina (ACC),13,7-6,959,6162,6.43,52,474.0
Hawaii (Mountain West),15,10-5,1056,7065,6.69,63,471.0
Texas (Big 12),13,8-5,950,6056,6.37,58,465.8
Wake Forest (ACC),13,8-5,1055,6032,5.72,49,464.0
Ball St. (MAC),12,5-7,909,5556,6.11,51,463.0
ULM (Sun Belt),12,5-7,868,5531,6.37,50,460.9
Troy (Sun Belt),12,5-7,893,5475,6.13,49,456.3
Navy (AAC),13,11-2,877,5925,6.76,62,455.8
Southern California (Pac-12),13,8-5,908,5920,6.52,53,455.4
Oklahoma St. (Big 12),13,8-5,924,5901,6.39,50,453.9
Tulane (AAC),13,7-6,948,5841,6.16,52,449.3
Fla. Atlantic (C-USA),14,11-3,1053,6280,5.96,62,448.6
Louisville (ACC),13,8-5,871,5815,6.68,55,447.3
Western Mich. (MAC),13,7-6,916,5794,6.33,56,445.7
Ole Miss (SEC),12,4-8,891,5343,6.0,40,445.3
Iowa St. (Big 12),13,7-6,896,5776,6.45,51,444.3
BYU (FBS Independent),13,7-6,933,5769,6.18,45,443.8
Ohio (MAC),13,7-6,861,5749,6.68,57,442.2
Arizona (Pac-12),12,4-8,873,5281,6.05,42,440.1
Georgia St. (Sun Belt),13,7-6,981,5718,5.83,52,439.8
Liberty (FBS Independent),13,8-5,887,5712,6.44,54,439.4
Arkansas St. (Sun Belt),13,8-5,925,5711,6.17,50,439.3
Colorado St. (Mountain West),12,4-8,841,5249,6.24,39,437.4
Louisiana Tech (C-USA),13,10-3,933,5679,6.09,48,436.8
Toledo (MAC),12,6-6,856,5209,6.09,42,434.1
Central Mich. (MAC),14,8-6,999,6070,6.08,55,433.6
Wisconsin (Big Ten),14,10-4,963,6065,6.3,56,433.2
App State (Sun Belt),14,13-1,969,6064,6.26,65,433.1
Oregon (Pac-12),14,12-2,956,6063,6.34,61,433.1
Indiana (Big Ten),13,8-5,940,5626,5.99,48,432.8
