Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Wisconsin (Big Ten),14,10-4,498:48,35:37
Air Force (Mountain West),13,11-2,448:07,34:28
Utah (Pac-12),14,11-3,480:36,34:19
Minnesota (Big Ten),13,11-2,444:42,34:12
Buffalo (MAC),13,8-5,443:39,34:07
San Diego St. (Mountain West),13,10-3,440:04,33:51
Indiana (Big Ten),13,8-5,438:31,33:43
Navy (AAC),13,11-2,435:26,33:29
Kansas St. (Big 12),13,8-5,434:52,33:27
Coastal Carolina (Sun Belt),12,5-7,400:53,33:24
Texas A&M (SEC),13,8-5,430:26,33:06
Virginia (ACC),14,9-5,462:48,33:03
Ga. Southern (Sun Belt),13,7-6,428:36,32:58
Army West Point (FBS Independent),13,5-8,428:07,32:55
TCU (Big 12),12,5-7,395:04,32:55
NIU (MAC),12,5-7,393:04,32:45
UConn (AAC),12,2-10,391:27,32:37
Georgia (SEC),14,12-2,451:49,32:16
Stanford (Pac-12),12,4-8,386:14,32:11
Kentucky (SEC),13,8-5,418:00,32:09
UTEP (C-USA),12,1-11,385:26,32:07
Iowa (Big Ten),13,10-3,416:22,32:01
Western Ky. (C-USA),13,9-4,416:03,32:00
Charlotte (C-USA),13,7-6,415:53,31:59
Ohio St. (Big Ten),14,13-1,447:31,31:57
Cincinnati (AAC),14,11-3,445:42,31:50
Nevada (Mountain West),13,7-6,413:08,31:46
Ohio (MAC),13,7-6,412:40,31:44
Mississippi St. (SEC),13,6-7,411:31,31:39
UAB (C-USA),14,9-5,442:37,31:36
Southern Miss. (C-USA),13,7-6,409:35,31:30
Rice (C-USA),12,3-9,377:38,31:28
Louisville (ACC),13,8-5,408:54,31:27
Michigan St. (Big Ten),13,7-6,408:08,31:23
Hawaii (Mountain West),15,10-5,470:30,31:22
App State (Sun Belt),14,13-1,438:26,31:19
Boise St. (Mountain West),14,12-2,436:47,31:11
Houston (AAC),12,4-8,373:12,31:06
Oklahoma (Big 12),14,12-2,434:30,31:02
Marshall (C-USA),13,8-5,402:34,30:58
Virginia Tech (ACC),13,8-5,400:41,30:49
Texas (Big 12),13,8-5,400:06,30:46
Louisiana Tech (C-USA),13,10-3,399:38,30:44
Old Dominion (C-USA),12,1-11,368:46,30:43
Pittsburgh (ACC),13,8-5,398:46,30:40
Tulsa (AAC),12,4-8,367:51,30:39
Tulane (AAC),13,7-6,397:52,30:36
Wyoming (Mountain West),13,8-5,397:45,30:35
Colorado (Pac-12),12,5-7,367:05,30:35
Memphis (AAC),14,12-2,427:25,30:31
Iowa St. (Big 12),13,7-6,395:15,30:24
BYU (FBS Independent),13,7-6,395:05,30:23
LSU (SEC),15,15-0,455:44,30:22
UCLA (Pac-12),12,4-8,364:22,30:21
Western Mich. (MAC),13,7-6,394:39,30:21
North Carolina (ACC),13,7-6,394:15,30:19
Central Mich. (MAC),14,8-6,424:26,30:19
Wake Forest (ACC),13,8-5,394:05,30:18
Ball St. (MAC),12,5-7,363:20,30:16
Florida (SEC),13,11-2,393:22,30:15
Clemson (ACC),15,14-1,453:49,30:15
