Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Wisconsin (Big Ten),14,10-4,48,176,0.273
Kansas St. (Big 12),13,8-5,42,150,0.28
UAB (C-USA),14,9-5,53,187,0.283
Ohio St. (Big Ten),14,13-1,60,206,0.291
UCF (AAC),13,10-3,63,215,0.293
LSU (SEC),15,15-0,63,213,0.296
Western Ky. (C-USA),13,9-4,51,172,0.297
Auburn (SEC),13,9-4,58,194,0.299
Utah (Pac-12),14,11-3,53,176,0.301
App State (Sun Belt),14,13-1,62,202,0.307
Clemson (ACC),15,14-1,71,230,0.309
Southern Miss. (C-USA),13,7-6,52,167,0.311
Fla. Atlantic (C-USA),14,11-3,63,201,0.313
Georgia (SEC),14,12-2,66,209,0.316
Texas A&M (SEC),13,8-5,55,174,0.316
Wake Forest (ACC),13,8-5,61,192,0.318
Oklahoma (Big 12),14,12-2,57,177,0.322
Notre Dame (FBS Independent),13,11-2,64,198,0.323
Michigan (Big Ten),13,9-4,59,182,0.324
Navy (AAC),13,11-2,56,171,0.327
Missouri (SEC),12,6-6,60,181,0.331
Oregon (Pac-12),14,12-2,73,220,0.332
Pittsburgh (ACC),13,8-5,68,204,0.333
Central Mich. (MAC),14,8-6,64,190,0.337
Buffalo (MAC),13,8-5,60,178,0.337
Ga. Southern (Sun Belt),13,7-6,59,175,0.337
NIU (MAC),12,5-7,53,156,0.34
Tulsa (AAC),12,4-8,61,179,0.341
San Diego St. (Mountain West),13,10-3,61,179,0.341
Michigan St. (Big Ten),13,7-6,64,184,0.348
Louisiana Tech (C-USA),13,10-3,68,195,0.349
TCU (Big 12),12,5-7,59,169,0.349
Nevada (Mountain West),13,7-6,60,171,0.351
Indiana (Big Ten),13,8-5,62,176,0.352
Alabama (SEC),13,11-2,66,185,0.357
Colorado St. (Mountain West),12,4-8,60,168,0.357
Penn St. (Big Ten),13,11-2,73,203,0.36
Virginia (ACC),14,9-5,67,186,0.36
Louisiana (Sun Belt),14,11-3,68,188,0.362
Florida (SEC),13,11-2,67,184,0.364
Virginia Tech (ACC),13,8-5,76,205,0.371
Miami (FL) (ACC),13,6-7,75,202,0.371
Duke (ACC),12,5-7,68,183,0.372
Illinois (Big Ten),13,6-7,71,191,0.372
Washington (Pac-12),13,8-5,67,180,0.372
North Carolina (ACC),13,7-6,70,188,0.372
Wyoming (Mountain West),13,8-5,75,200,0.375
Minnesota (Big Ten),13,11-2,62,165,0.376
SMU (AAC),13,10-3,79,210,0.376
Iowa (Big Ten),13,10-3,72,190,0.379
Temple (AAC),13,8-5,80,211,0.379
Louisville (ACC),13,8-5,66,174,0.379
UTSA (C-USA),12,4-8,55,145,0.379
Arkansas St. (Sun Belt),13,8-5,74,195,0.379
Cincinnati (AAC),14,11-3,81,212,0.382
South Carolina (SEC),12,4-8,69,180,0.383
Mississippi St. (SEC),13,6-7,58,150,0.387
Baylor (Big 12),14,11-3,90,232,0.388
Boise St. (Mountain West),14,12-2,77,198,0.389
UNLV (Mountain West),12,4-8,67,172,0.39
Tulane (AAC),13,7-6,76,195,0.39
Vanderbilt (SEC),12,3-9,59,151,0.391
Texas (Big 12),13,8-5,72,184,0.391
Marshall (C-USA),13,8-5,72,184,0.391
Kentucky (SEC),13,8-5,65,166,0.392
Oklahoma St. (Big 12),13,8-5,75,191,0.393
FIU (C-USA),13,6-7,70,178,0.393
Tennessee (SEC),13,8-5,72,183,0.393
Old Dominion (C-USA),12,1-11,61,155,0.394
Memphis (AAC),14,12-2,83,210,0.395
Ohio (MAC),13,7-6,70,177,0.395
Houston (AAC),12,4-8,65,163,0.399
Ole Miss (SEC),12,4-8,69,173,0.399
West Virginia (Big 12),12,5-7,69,173,0.399
Nebraska (Big Ten),12,5-7,69,172,0.401
Miami (OH) (MAC),14,8-6,82,203,0.404
BYU (FBS Independent),13,7-6,76,188,0.404
Florida St. (ACC),13,6-7,91,225,0.404
Air Force (Mountain West),13,11-2,64,158,0.405
California (Pac-12),13,8-5,79,195,0.405
Northwestern (Big Ten),12,3-9,73,180,0.406
Purdue (Big Ten),12,4-8,71,175,0.406
Southern California (Pac-12),13,8-5,72,177,0.407
NC State (ACC),12,4-8,73,178,0.41
Ball St. (MAC),12,5-7,72,175,0.411
Arizona St. (Pac-12),13,8-5,79,192,0.411
Hawaii (Mountain West),15,10-5,80,194,0.412
South Alabama (Sun Belt),12,2-10,71,172,0.413
Iowa St. (Big 12),13,7-6,84,203,0.414
Western Mich. (MAC),13,7-6,76,183,0.415
Texas Tech (Big 12),12,4-8,75,180,0.417
Charlotte (C-USA),13,7-6,68,163,0.417
North Texas (C-USA),12,4-8,74,177,0.418
Washington St. (Pac-12),13,6-7,68,162,0.42
Toledo (MAC),12,6-6,71,169,0.42
Fresno St. (Mountain West),12,4-8,72,171,0.421
New Mexico (Mountain West),12,2-10,76,180,0.422
Liberty (FBS Independent),13,8-5,82,194,0.423
East Carolina (AAC),12,4-8,72,170,0.424
ULM (Sun Belt),12,5-7,72,170,0.424
Syracuse (ACC),12,5-7,82,192,0.427
Maryland (Big Ten),12,3-9,78,180,0.433
Middle Tenn. (C-USA),12,4-8,78,179,0.436
Rutgers (Big Ten),12,2-10,72,163,0.442
UCLA (Pac-12),12,4-8,69,156,0.442
Bowling Green (MAC),12,3-9,69,156,0.442
Oregon St. (Pac-12),12,5-7,76,171,0.444
Eastern Mich. (MAC),13,6-7,82,183,0.448
Army West Point (FBS Independent),13,5-8,74,165,0.448
New Mexico St. (FBS Independent),12,2-10,74,164,0.451
Georgia Tech (ACC),12,3-9,80,177,0.452
Stanford (Pac-12),12,4-8,71,157,0.452
Georgia St. (Sun Belt),13,7-6,81,179,0.453
Kent St. (MAC),13,7-6,84,185,0.454
Rice (C-USA),12,3-9,75,165,0.455
Arkansas (SEC),12,2-10,71,156,0.455
Texas St. (Sun Belt),12,3-9,85,184,0.462
Troy (Sun Belt),12,5-7,81,175,0.463
Utah St. (Mountain West),13,7-6,94,203,0.463
South Fla. (AAC),12,4-8,88,190,0.463
Boston College (ACC),13,6-7,98,211,0.464
Coastal Carolina (Sun Belt),12,5-7,68,146,0.466
Arizona (Pac-12),12,4-8,79,168,0.47
San Jose St. (Mountain West),12,5-7,84,178,0.472
Colorado (Pac-12),12,5-7,74,156,0.474
UConn (AAC),12,2-10,67,134,0.5
Massachusetts (FBS Independent),12,1-11,73,142,0.514
Kansas (Big 12),12,3-9,92,176,0.523
UTEP (C-USA),12,1-11,79,151,0.523
Akron (MAC),12,0-12,98,185,0.53
