Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Georgia (SEC),14,12-2,20,20,0,0,12,0,176,12.6
San Diego St. (Mountain West),13,10-3,19,17,2,0,10,0,165,12.7
Clemson (ACC),15,14-1,24,23,0,0,12,0,203,13.5
Ohio St. (Big Ten),14,13-1,23,19,3,0,9,1,192,13.7
Iowa (Big Ten),13,10-3,21,20,0,0,12,0,182,14.0
Utah (Pac-12),14,11-3,25,23,1,0,11,1,210,15.0
Florida (SEC),13,11-2,23,22,1,0,13,0,201,15.5
Penn St. (Big Ten),13,11-2,23,22,0,0,16,0,208,16.0
Oregon (Pac-12),14,12-2,24,21,3,0,20,0,231,16.5
Wisconsin (Big Ten),14,10-4,30,25,1,0,10,0,237,16.9
Wyoming (Mountain West),13,8-5,25,24,0,0,19,0,231,17.8
Notre Dame (FBS Independent),13,11-2,26,26,0,0,17,0,233,17.9
Alabama (SEC),13,11-2,26,22,2,0,20,0,242,18.6
Kentucky (SEC),13,8-5,32,29,0,0,10,0,251,19.3
Washington (Pac-12),13,8-5,30,27,0,0,15,0,252,19.4
Missouri (SEC),12,6-6,28,24,1,0,13,0,233,19.4
Auburn (SEC),13,9-4,32,29,0,0,11,0,254,19.5
Louisiana (Sun Belt),14,11-3,33,28,1,0,16,0,276,19.7
Baylor (Big 12),14,11-3,32,28,0,0,19,0,277,19.8
Air Force (Mountain West),13,11-2,34,27,0,0,9,0,258,19.8
App State (Sun Belt),14,13-1,35,29,1,0,13,0,280,20.0
Western Ky. (C-USA),13,9-4,32,28,1,0,13,0,261,20.1
Miami (FL) (ACC),13,6-7,30,28,1,0,17,1,263,20.2
Cincinnati (AAC),14,11-3,34,28,1,0,18,0,288,20.6
Michigan (Big Ten),13,9-4,37,36,1,0,3,0,269,20.7
Buffalo (MAC),13,8-5,35,31,0,0,12,0,277,21.3
Kansas St. (Big 12),13,8-5,31,30,1,0,20,0,278,21.4
UAB (C-USA),14,9-5,38,33,1,0,13,0,302,21.6
Tennessee (SEC),13,8-5,34,30,0,0,16,0,282,21.7
Louisiana Tech (C-USA),13,10-3,35,35,0,0,13,0,284,21.8
Boise St. (Mountain West),14,12-2,39,33,3,0,11,0,306,21.9
LSU (SEC),15,15-0,42,37,3,0,11,0,328,21.9
California (Pac-12),13,8-5,32,29,1,1,20,0,285,21.9
Navy (AAC),13,11-2,36,35,0,0,13,0,290,22.3
Arizona St. (Pac-12),13,8-5,39,39,0,0,6,0,291,22.4
Pittsburgh (ACC),13,8-5,33,29,1,0,21,0,292,22.5
Michigan St. (Big Ten),13,7-6,37,33,1,0,12,0,293,22.5
Texas A&M (SEC),13,8-5,35,33,0,0,16,1,293,22.5
Minnesota (Big Ten),13,11-2,37,31,1,0,12,1,293,22.5
Fla. Atlantic (C-USA),14,11-3,41,34,3,0,10,1,318,22.7
Army West Point (FBS Independent),13,5-8,38,34,2,0,11,0,299,23.0
UCF (AAC),13,10-3,36,31,2,0,16,0,299,23.0
Northwestern (Big Ten),12,3-9,34,34,0,0,15,0,283,23.6
North Carolina (ACC),13,7-6,38,34,2,0,14,0,308,23.7
Indiana (Big Ten),13,8-5,39,35,2,0,14,1,317,24.4
Virginia Tech (ACC),13,8-5,41,35,2,0,12,0,321,24.7
Marshall (C-USA),13,8-5,41,40,0,0,13,0,325,25.0
BYU (FBS Independent),13,7-6,40,36,2,0,17,0,331,25.5
Rice (C-USA),12,3-9,40,36,1,0,11,0,311,25.9
Western Mich. (MAC),13,7-6,40,35,1,0,20,0,337,25.9
Iowa St. (Big 12),13,7-6,39,35,1,0,22,0,337,25.9
Temple (AAC),13,8-5,43,41,0,1,10,3,337,25.9
South Carolina (SEC),12,4-8,37,35,1,0,18,0,313,26.1
Illinois (Big Ten),13,6-7,41,33,2,0,19,0,340,26.2
Southern Miss. (C-USA),13,7-6,44,42,0,0,11,1,341,26.2
Tulane (AAC),13,7-6,43,36,0,0,16,0,342,26.3
TCU (Big 12),12,5-7,39,33,1,0,16,0,317,26.4
Memphis (AAC),14,12-2,45,38,4,0,18,0,370,26.4
Ole Miss (SEC),12,4-8,39,34,0,0,16,1,318,26.5
Ohio (MAC),13,7-6,43,36,0,0,17,0,345,26.5
Oklahoma St. (Big 12),13,8-5,43,38,2,0,16,0,348,26.8
Virginia (ACC),14,9-5,48,47,0,0,15,0,380,27.1
FIU (C-USA),13,6-7,43,37,1,0,19,0,354,27.2
Oklahoma (Big 12),14,12-2,48,46,0,0,16,0,382,27.3
Texas (Big 12),13,8-5,42,38,2,0,21,0,357,27.5
Nebraska (Big Ten),12,5-7,41,38,1,0,15,1,333,27.8
Florida St. (ACC),13,6-7,40,34,2,0,28,0,362,27.8
Liberty (FBS Independent),13,8-5,46,42,1,0,15,0,365,28.1
Miami (OH) (MAC),14,8-6,52,49,0,0,11,0,394,28.1
Ga. Southern (Sun Belt),13,7-6,47,42,3,0,12,0,366,28.2
NIU (MAC),12,5-7,43,40,2,0,12,0,338,28.2
Central Mich. (MAC),14,8-6,49,46,0,0,18,1,396,28.3
West Virginia (Big 12),12,5-7,43,43,0,0,15,0,346,28.8
Mississippi St. (SEC),13,6-7,49,46,1,0,11,0,375,28.8
South Fla. (AAC),12,4-8,45,42,1,0,11,0,347,28.9
Wake Forest (ACC),13,8-5,47,43,1,0,17,0,378,29.1
Duke (ACC),12,5-7,43,39,1,0,17,0,350,29.2
Southern California (Pac-12),13,8-5,47,44,1,0,18,0,382,29.4
Stanford (Pac-12),12,4-8,45,43,0,0,15,0,358,29.8
Old Dominion (C-USA),12,1-11,45,42,2,0,14,0,358,29.8
Middle Tenn. (C-USA),12,4-8,43,39,0,1,20,0,359,29.9
Fresno St. (Mountain West),12,4-8,46,42,2,0,13,0,361,30.1
NC State (ACC),12,4-8,46,43,0,0,14,0,361,30.1
Texas Tech (Big 12),12,4-8,46,37,3,0,15,0,364,30.3
Coastal Carolina (Sun Belt),12,5-7,50,48,0,0,6,0,366,30.5
Purdue (Big Ten),12,4-8,46,42,1,0,15,1,367,30.6
Eastern Mich. (MAC),13,6-7,52,45,3,0,11,1,398,30.6
South Alabama (Sun Belt),12,2-10,44,42,0,1,20,0,368,30.7
Syracuse (ACC),12,5-7,47,42,1,0,14,0,368,30.7
Utah St. (Mountain West),13,7-6,53,49,1,0,10,0,399,30.7
Colorado St. (Mountain West),12,4-8,47,45,1,0,15,0,374,31.2
Tulsa (AAC),12,4-8,48,44,0,0,14,1,376,31.3
Washington St. (Pac-12),13,6-7,53,46,4,0,12,0,408,31.4
Ball St. (MAC),12,5-7,47,41,3,0,16,0,377,31.4
Vanderbilt (SEC),12,3-9,50,49,1,0,10,0,381,31.8
Colorado (Pac-12),12,5-7,50,49,0,0,11,0,382,31.8
Kent St. (MAC),13,7-6,52,48,0,0,18,0,414,31.8
Hawaii (Mountain West),15,10-5,61,59,1,0,17,0,478,31.9
San Jose St. (Mountain West),12,5-7,49,46,0,0,13,2,383,31.9
Nevada (Mountain West),13,7-6,52,51,0,0,16,2,415,31.9
Boston College (ACC),13,6-7,49,49,0,0,25,0,418,32.2
Toledo (MAC),12,6-6,50,46,2,0,12,0,386,32.2
Charlotte (C-USA),13,7-6,56,51,2,0,10,0,421,32.4
Georgia Tech (ACC),12,3-9,49,47,0,0,16,0,389,32.4
North Texas (C-USA),12,4-8,50,39,3,0,15,0,390,32.5
Oregon St. (Pac-12),12,5-7,52,45,0,0,11,0,390,32.5
Texas St. (Sun Belt),12,3-9,51,49,0,0,12,0,391,32.6
UNLV (Mountain West),12,4-8,49,44,1,0,18,1,396,33.0
SMU (AAC),13,10-3,53,50,2,0,20,1,434,33.4
Louisville (ACC),13,8-5,58,57,1,0,9,0,434,33.4
East Carolina (AAC),12,4-8,53,50,2,0,10,1,404,33.7
UTSA (C-USA),12,4-8,51,47,0,0,18,0,407,33.9
Houston (AAC),12,4-8,54,52,0,0,10,1,408,34.0
Arkansas St. (Sun Belt),13,8-5,56,46,3,0,18,1,444,34.2
Maryland (Big Ten),12,3-9,53,50,0,0,16,0,416,34.7
Troy (Sun Belt),12,5-7,53,49,2,0,14,2,417,34.8
UCLA (Pac-12),12,4-8,55,52,1,0,11,0,417,34.8
Arizona (Pac-12),12,4-8,54,52,1,0,17,0,429,35.8
UTEP (C-USA),12,1-11,54,47,1,0,18,2,431,35.9
Kansas (Big 12),12,3-9,56,50,0,1,15,0,433,36.1
Georgia St. (Sun Belt),13,7-6,62,53,2,0,14,0,471,36.2
Akron (MAC),12,0-12,56,55,1,0,14,0,435,36.3
Rutgers (Big Ten),12,2-10,59,56,0,0,10,0,440,36.7
Arkansas (SEC),12,2-10,57,55,0,0,15,0,442,36.8
New Mexico (Mountain West),12,2-10,59,55,1,1,11,0,446,37.2
Bowling Green (MAC),12,3-9,62,61,0,0,10,0,463,38.6
ULM (Sun Belt),12,5-7,61,57,1,0,13,0,464,38.7
UConn (AAC),12,2-10,67,66,0,0,6,0,486,40.5
New Mexico St. (FBS Independent),12,2-10,61,55,1,0,23,0,492,41.0
Massachusetts (FBS Independent),12,1-11,86,84,1,0,10,0,632,52.7
