Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Missouri (SEC),12,6-6,76,91,28,195
TCU (Big 12),12,5-7,81,92,22,195
San Diego St. (Mountain West),13,10-3,67,114,17,198
Navy (AAC),13,11-2,84,102,12,198
Buffalo (MAC),13,8-5,75,105,19,199
Utah (Pac-12),14,11-3,71,116,21,208
Northwestern (Big Ten),12,3-9,81,108,22,211
Florida (SEC),13,11-2,76,121,16,213
Iowa (Big Ten),13,10-3,83,121,12,216
Air Force (Mountain West),13,11-2,77,131,8,216
Ohio St. (Big Ten),14,13-1,99,89,29,217
Clemson (ACC),15,14-1,92,108,18,218
Miami (FL) (ACC),13,6-7,83,106,30,219
Georgia (SEC),14,12-2,69,127,26,222
Rice (C-USA),12,3-9,84,130,10,224
NIU (MAC),12,5-7,101,103,20,224
Kansas St. (Big 12),13,8-5,96,109,19,224
Western Ky. (C-USA),13,9-4,103,99,22,224
Southern Miss. (C-USA),13,7-6,83,124,18,225
Kentucky (SEC),13,8-5,99,104,22,225
Michigan St. (Big Ten),13,7-6,85,115,25,225
Michigan (Big Ten),13,9-4,95,103,28,226
Wisconsin (Big Ten),14,10-4,78,121,28,227
Minnesota (Big Ten),13,11-2,92,119,18,229
Duke (ACC),12,5-7,110,101,21,232
Tulsa (AAC),12,4-8,103,99,31,233
Army West Point (FBS Independent),13,5-8,110,110,14,234
Virginia Tech (ACC),13,8-5,92,117,25,234
Notre Dame (FBS Independent),13,11-2,118,102,15,235
Pittsburgh (ACC),13,8-5,88,107,41,236
Colorado St. (Mountain West),12,4-8,119,91,28,238
Nebraska (Big Ten),12,5-7,116,109,14,239
UAB (C-USA),14,9-5,88,101,51,240
Old Dominion (C-USA),12,1-11,103,115,23,241
Coastal Carolina (Sun Belt),12,5-7,114,112,15,241
Ga. Southern (Sun Belt),13,7-6,97,127,18,242
Iowa St. (Big 12),13,7-6,105,130,11,246
Penn St. (Big Ten),13,11-2,87,140,19,246
South Carolina (SEC),12,4-8,97,127,22,246
Alabama (SEC),13,11-2,95,121,31,247
Indiana (Big Ten),13,8-5,95,117,36,248
Auburn (SEC),13,9-4,96,120,33,249
Tulane (AAC),13,7-6,109,120,21,250
UTEP (C-USA),12,1-11,106,128,16,250
Texas A&M (SEC),13,8-5,101,127,22,250
Charlotte (C-USA),13,7-6,125,109,18,252
North Carolina (ACC),13,7-6,93,134,26,253
South Alabama (Sun Belt),12,2-10,119,120,16,255
NC State (ACC),12,4-8,87,142,28,257
Tennessee (SEC),13,8-5,117,115,25,257
Bowling Green (MAC),12,3-9,124,114,20,258
App State (Sun Belt),14,13-1,97,133,28,258
Boise St. (Mountain West),14,12-2,92,146,20,258
Nevada (Mountain West),13,7-6,110,136,12,258
Houston (AAC),12,4-8,104,137,18,259
Washington (Pac-12),13,8-5,106,130,23,259
Texas St. (Sun Belt),12,3-9,134,104,21,259
Purdue (Big Ten),12,4-8,119,128,14,261
UNLV (Mountain West),12,4-8,106,137,18,261
Akron (MAC),12,0-12,138,106,17,261
North Texas (C-USA),12,4-8,116,120,25,261
Colorado (Pac-12),12,5-7,97,150,14,261
Fresno St. (Mountain West),12,4-8,122,121,19,262
UCF (AAC),13,10-3,111,120,31,262
UCLA (Pac-12),12,4-8,88,156,19,263
Mississippi St. (SEC),13,6-7,108,136,20,264
Vanderbilt (SEC),12,3-9,131,109,24,264
Texas Tech (Big 12),12,4-8,98,147,20,265
Ball St. (MAC),12,5-7,110,135,20,265
Troy (Sun Belt),12,5-7,106,139,20,265
Virginia (ACC),14,9-5,117,125,24,266
Wyoming (Mountain West),13,8-5,90,154,22,266
Oregon (Pac-12),14,12-2,94,139,34,267
Ole Miss (SEC),12,4-8,104,146,17,267
Marshall (C-USA),13,8-5,106,132,29,267
BYU (FBS Independent),13,7-6,123,127,17,267
New Mexico (Mountain West),12,2-10,101,143,25,269
Louisiana Tech (C-USA),13,10-3,97,153,19,269
Ohio (MAC),13,7-6,123,127,20,270
UTSA (C-USA),12,4-8,112,133,26,271
West Virginia (Big 12),12,5-7,122,130,19,271
Georgia Tech (ACC),12,3-9,143,106,22,271
Arkansas (SEC),12,2-10,121,130,20,271
Oklahoma St. (Big 12),13,8-5,117,135,19,271
Wake Forest (ACC),13,8-5,109,149,14,272
Fla. Atlantic (C-USA),14,11-3,94,145,33,272
Rutgers (Big Ten),12,2-10,119,126,28,273
Liberty (FBS Independent),13,8-5,118,124,31,273
California (Pac-12),13,8-5,99,159,15,273
Arizona St. (Pac-12),13,8-5,94,155,24,273
Stanford (Pac-12),12,4-8,102,153,19,274
South Fla. (AAC),12,4-8,154,93,27,274
Central Mich. (MAC),14,8-6,102,146,27,275
Maryland (Big Ten),12,3-9,122,137,17,276
Toledo (MAC),12,6-6,119,135,23,277
FIU (C-USA),13,6-7,141,110,26,277
Illinois (Big Ten),13,6-7,131,124,22,277
Oklahoma (Big 12),14,12-2,98,138,42,278
Middle Tenn. (C-USA),12,4-8,128,138,12,278
East Carolina (AAC),12,4-8,125,133,20,278
Cincinnati (AAC),14,11-3,114,127,38,279
San Jose St. (Mountain West),12,5-7,154,108,18,280
Temple (AAC),13,8-5,121,124,36,281
Memphis (AAC),14,12-2,134,120,28,282
ULM (Sun Belt),12,5-7,157,105,21,283
Syracuse (ACC),12,5-7,119,137,27,283
Baylor (Big 12),14,11-3,114,148,21,283
New Mexico St. (FBS Independent),12,2-10,147,120,16,283
LSU (SEC),15,15-0,87,158,38,283
UConn (AAC),12,2-10,130,126,28,284
Louisville (ACC),13,8-5,127,137,22,286
Georgia St. (Sun Belt),13,7-6,143,126,18,287
Eastern Mich. (MAC),13,6-7,138,134,17,289
Oregon St. (Pac-12),12,5-7,114,149,28,291
Texas (Big 12),13,8-5,100,164,28,292
Arizona (Pac-12),12,4-8,122,145,26,293
Western Mich. (MAC),13,7-6,117,153,23,293
Louisiana (Sun Belt),14,11-3,147,120,29,296
Washington St. (Pac-12),13,6-7,131,139,27,297
Southern California (Pac-12),13,8-5,124,141,32,297
Miami (OH) (MAC),14,8-6,142,132,27,301
SMU (AAC),13,10-3,105,167,30,302
Utah St. (Mountain West),13,7-6,148,138,18,304
Boston College (ACC),13,6-7,127,166,13,306
Florida St. (ACC),13,6-7,105,163,41,309
Kansas (Big 12),12,3-9,151,138,20,309
Massachusetts (FBS Independent),12,1-11,162,135,14,311
Arkansas St. (Sun Belt),13,8-5,127,157,31,315
Kent St. (MAC),13,7-6,168,129,27,324
Hawaii (Mountain West),15,10-5,156,157,28,341
