Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
FIU (CUSA),13,6-7,9,-4,0,-0.44
Minnesota (Big Ten),13,11-2,6,1,0,0.17
Florida (SEC),13,11-2,7,9,0,1.29
Oklahoma St. (Big 12),13,8-5,11,18,0,1.64
Syracuse (ACC),12,5-7,10,17,0,1.7
Penn St. (Big Ten),13,11-2,20,34,0,1.7
Nebraska (Big Ten),12,5-7,11,25,0,2.27
Kent St. (MAC),13,7-6,15,39,0,2.6
Northwestern (Big Ten),12,3-9,17,48,0,2.82
Ohio St. (Big Ten),14,13-1,12,36,0,3.0
Ga. Southern (Sun Belt),13,7-6,23,76,0,3.3
Texas (Big 12),13,8-5,9,30,0,3.33
App State (Sun Belt),14,13-1,17,62,0,3.65
Rice (CUSA),12,3-9,18,67,0,3.72
Notre Dame (FBS Independent),13,11-2,18,70,0,3.89
Maryland (Big Ten),12,3-9,17,68,0,4.0
Army West Point (FBS Independent),13,5-8,9,37,0,4.11
Fresno St. (Mountain West),12,4-8,12,51,0,4.25
UTEP (CUSA),12,1-11,13,56,0,4.31
Arkansas (SEC),12,2-10,6,27,0,4.5
SMU (AAC),13,10-3,14,67,0,4.79
Washington (Pac-12),13,8-5,9,44,0,4.89
Louisville (ACC),13,8-5,18,88,0,4.89
Cincinnati (AAC),14,11-3,18,89,0,4.94
UConn (AAC),12,2-10,21,108,0,5.14
Texas Tech (Big 12),12,4-8,9,47,0,5.22
Air Force (Mountain West),13,11-2,7,38,0,5.43
Miami (FL) (ACC),13,6-7,24,132,0,5.5
Boston College (ACC),13,6-7,27,149,0,5.52
Colorado St. (Mountain West),12,4-8,17,94,0,5.53
Akron (MAC),12,0-12,23,129,0,5.61
Florida St. (ACC),13,6-7,17,96,0,5.65
Southern California (Pac-12),13,8-5,10,57,0,5.7
UAB (CUSA),14,9-5,19,109,1,5.74
Troy (Sun Belt),12,5-7,8,47,0,5.88
Purdue (Big Ten),12,4-8,17,100,0,5.88
Boise St. (Mountain West),14,12-2,14,83,0,5.93
Baylor (Big 12),14,11-3,10,60,0,6.0
Ohio (MAC),13,7-6,15,92,1,6.13
Marshall (CUSA),13,8-5,19,117,0,6.16
Iowa St. (Big 12),13,7-6,16,99,0,6.19
Tennessee (SEC),13,8-5,14,87,0,6.21
West Virginia (Big 12),12,5-7,16,100,2,6.25
TCU (Big 12),12,5-7,11,70,0,6.36
Old Dominion (CUSA),12,1-11,19,121,1,6.37
Vanderbilt (SEC),12,3-9,26,166,1,6.38
Coastal Carolina (Sun Belt),12,5-7,14,90,0,6.43
NIU (MAC),12,5-7,19,123,0,6.47
Iowa (Big Ten),13,10-3,11,73,0,6.64
Memphis (AAC),14,12-2,16,107,1,6.69
Rutgers (Big Ten),12,2-10,20,134,0,6.7
Texas St. (Sun Belt),12,3-9,19,129,0,6.79
Middle Tenn. (CUSA),12,4-8,21,143,1,6.81
Bowling Green (MAC),12,3-9,17,116,0,6.82
NC State (ACC),12,4-8,23,157,0,6.83
Western Ky. (CUSA),13,9-4,19,130,0,6.84
Southern Miss. (CUSA),13,7-6,13,90,0,6.92
Wisconsin (Big Ten),14,10-4,15,104,0,6.93
Wyoming (Mountain West),13,8-5,21,146,0,6.95
Michigan (Big Ten),13,9-4,19,134,0,7.05
Nevada (Mountain West),13,7-6,31,222,1,7.16
Houston (AAC),12,4-8,19,137,0,7.21
New Mexico (Mountain West),12,2-10,18,131,0,7.28
Oregon (Pac-12),14,12-2,26,193,0,7.42
Temple (AAC),13,8-5,14,105,0,7.5
Clemson (ACC),15,14-1,9,68,0,7.56
Louisiana (Sun Belt),14,11-3,12,91,0,7.58
San Diego St. (Mountain West),13,10-3,24,183,0,7.63
Arizona St. (Pac-12),13,8-5,20,154,0,7.7
Stanford (Pac-12),12,4-8,11,88,0,8.0
Arizona (Pac-12),12,4-8,19,152,0,8.0
California (Pac-12),13,8-5,22,177,0,8.05
Toledo (MAC),12,6-6,17,139,0,8.18
Liberty (FBS Independent),13,8-5,15,123,0,8.2
Western Mich. (MAC),13,7-6,18,154,0,8.56
Illinois (Big Ten),13,6-7,27,231,0,8.56
Virginia Tech (ACC),13,8-5,18,155,0,8.61
Arkansas St. (Sun Belt),13,8-5,13,112,0,8.62
Kentucky (SEC),13,8-5,11,95,0,8.64
Navy (AAC),13,11-2,12,104,1,8.67
North Carolina (ACC),13,7-6,16,139,0,8.69
Georgia (SEC),14,12-2,12,106,0,8.83
Mississippi St. (SEC),13,6-7,19,169,0,8.89
Fla. Atlantic (CUSA),14,11-3,14,125,0,8.93
ULM (Sun Belt),12,5-7,16,144,1,9.0
Tulsa (AAC),12,4-8,23,208,0,9.04
Indiana (Big Ten),13,8-5,7,64,0,9.14
Louisiana Tech (CUSA),13,10-3,14,128,0,9.14
Alabama (SEC),13,11-2,11,101,0,9.18
Oklahoma (Big 12),14,12-2,5,46,0,9.2
Michigan St. (Big Ten),13,7-6,25,231,0,9.24
South Fla. (AAC),12,4-8,39,362,0,9.28
Central Mich. (MAC),14,8-6,21,197,0,9.38
New Mexico St. (FBS Independent),12,2-10,21,199,1,9.48
Georgia St. (Sun Belt),13,7-6,15,143,0,9.53
Duke (ACC),12,5-7,20,193,0,9.65
Missouri (SEC),12,6-6,23,226,0,9.83
Oregon St. (Pac-12),12,5-7,23,235,1,10.22
Pittsburgh (ACC),13,8-5,27,279,1,10.33
North Texas (CUSA),12,4-8,13,138,1,10.62
UCLA (Pac-12),12,4-8,13,138,1,10.62
East Carolina (AAC),12,4-8,16,172,0,10.75
Utah St. (Mountain West),13,7-6,19,207,1,10.89
UTSA (CUSA),12,4-8,14,154,1,11.0
Buffalo (MAC),13,8-5,15,165,0,11.0
UNLV (Mountain West),12,4-8,43,482,1,11.21
Georgia Tech (ACC),12,3-9,30,343,1,11.43
BYU (FBS Independent),13,7-6,16,184,1,11.5
Miami (OH) (MAC),14,8-6,26,303,0,11.65
Ole Miss (SEC),12,4-8,21,245,1,11.67
Eastern Mich. (MAC),13,6-7,10,117,0,11.7
Massachusetts (FBS Independent),12,1-11,14,167,1,11.93
San Jose St. (Mountain West),12,5-7,11,134,1,12.18
Tulane (AAC),13,7-6,11,134,0,12.18
Utah (Pac-12),14,11-3,11,135,0,12.27
Charlotte (CUSA),13,7-6,19,238,3,12.53
Kansas St. (Big 12),13,8-5,10,126,0,12.6
South Alabama (Sun Belt),12,2-10,21,267,1,12.71
Virginia (ACC),14,9-5,10,129,0,12.9
LSU (SEC),15,15-0,9,117,1,13.0
Colorado (Pac-12),12,5-7,15,200,1,13.33
UCF (AAC),13,10-3,10,137,1,13.7
Hawaii (Mountain West),15,10-5,12,165,0,13.75
South Carolina (SEC),12,4-8,18,249,2,13.83
Washington St. (Pac-12),13,6-7,8,116,1,14.5
Ball St. (MAC),12,5-7,20,303,2,15.15
Kansas (Big 12),12,3-9,18,274,1,15.22
Texas A&M (SEC),13,8-5,18,281,1,15.61
Wake Forest (ACC),13,8-5,20,313,0,15.65
Auburn (SEC),13,9-4,14,242,0,17.29
