Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Kansas St. (Big 12),13,8-5,52,28,7,15,50,0.962
LSU (SEC),15,15-0,75,25,34,13,72,0.96
Navy (AAC),13,11-2,49,36,3,8,47,0.959
Iowa (Big Ten),13,10-3,42,14,10,16,40,0.952
Purdue (Big Ten),12,4-8,41,9,20,10,39,0.951
Georgia (SEC),14,12-2,56,18,18,17,53,0.946
Virginia Tech (ACC),13,8-5,55,18,19,15,52,0.945
Iowa St. (Big 12),13,7-6,53,19,18,13,50,0.943
TCU (Big 12),12,5-7,53,21,8,21,50,0.943
Notre Dame (FBS Independent),13,11-2,55,16,26,9,51,0.927
Oregon St. (Pac-12),12,5-7,39,16,17,3,36,0.923
Texas (Big 12),13,8-5,50,22,17,7,46,0.92
Oklahoma (Big 12),14,12-2,73,30,22,15,67,0.918
App State (Sun Belt),14,13-1,60,25,22,8,55,0.917
Fla. Atlantic (C-USA),14,11-3,68,26,19,17,62,0.912
Arizona St. (Pac-12),13,8-5,45,12,8,21,41,0.911
Oklahoma St. (Big 12),13,8-5,45,17,10,14,41,0.911
Buffalo (MAC),13,8-5,55,31,10,9,50,0.909
Washington (Pac-12),13,8-5,54,19,14,16,49,0.907
Duke (ACC),12,5-7,32,13,6,10,29,0.906
Auburn (SEC),13,9-4,52,27,10,10,47,0.904
Penn St. (Big Ten),13,11-2,52,27,10,10,47,0.904
NIU (MAC),12,5-7,31,12,7,9,28,0.903
Ohio (MAC),13,7-6,59,30,11,12,53,0.898
Baylor (Big 12),14,11-3,59,28,11,14,53,0.898
Minnesota (Big Ten),13,11-2,59,24,19,10,53,0.898
Tulane (AAC),13,7-6,49,26,9,9,44,0.898
Kent St. (MAC),13,7-6,48,15,9,19,43,0.896
Middle Tenn. (C-USA),12,4-8,38,15,11,8,34,0.895
Ohio St. (Big Ten),14,13-1,75,30,29,8,67,0.893
Troy (Sun Belt),12,5-7,55,16,19,14,49,0.891
North Carolina (ACC),13,7-6,55,10,21,18,49,0.891
Arkansas St. (Sun Belt),13,8-5,45,10,17,13,40,0.889
Air Force (Mountain West),13,11-2,54,39,0,9,48,0.889
Houston (AAC),12,4-8,43,16,6,16,38,0.884
Charlotte (C-USA),13,7-6,43,22,10,6,38,0.884
Stanford (Pac-12),12,4-8,34,7,9,14,30,0.882
Texas Tech (Big 12),12,4-8,51,18,10,17,45,0.882
Kansas (Big 12),12,3-9,34,7,13,10,30,0.882
Clemson (ACC),15,14-1,67,33,18,8,59,0.881
Texas A&M (SEC),13,8-5,58,18,16,17,51,0.879
UNLV (Mountain West),12,4-8,33,12,11,6,29,0.879
Louisiana Tech (C-USA),13,10-3,49,22,11,10,43,0.878
Boise St. (Mountain West),14,12-2,57,24,15,11,50,0.877
Wake Forest (ACC),13,8-5,57,16,15,19,50,0.877
Louisiana (Sun Belt),14,11-3,70,29,19,13,61,0.871
Wisconsin (Big Ten),14,10-4,54,27,9,11,47,0.87
Virginia (ACC),14,9-5,69,25,18,17,60,0.87
Miami (OH) (MAC),14,8-6,46,18,6,16,40,0.87
Ole Miss (SEC),12,4-8,38,16,6,11,33,0.868
Mississippi St. (SEC),13,6-7,44,23,10,5,38,0.864
Washington St. (Pac-12),13,6-7,71,10,35,16,61,0.859
Arizona (Pac-12),12,4-8,35,12,10,8,30,0.857
Ga. Southern (Sun Belt),13,7-6,42,20,3,13,36,0.857
California (Pac-12),13,8-5,35,14,11,5,30,0.857
Indiana (Big Ten),13,8-5,62,24,15,14,53,0.855
Utah (Pac-12),14,11-3,55,29,8,10,47,0.855
Illinois (Big Ten),13,6-7,34,15,9,5,29,0.853
Florida (SEC),13,11-2,54,15,22,9,46,0.852
Army West Point (FBS Independent),13,5-8,52,38,3,3,44,0.846
UTEP (C-USA),12,1-11,38,16,5,11,32,0.842
Liberty (FBS Independent),13,8-5,56,22,17,8,47,0.839
San Jose St. (Mountain West),12,5-7,56,19,13,15,47,0.839
Alabama (SEC),13,11-2,62,22,21,9,52,0.839
Ball St. (MAC),12,5-7,49,21,10,10,41,0.837
Southern California (Pac-12),13,8-5,55,14,20,12,46,0.836
NC State (ACC),12,4-8,48,12,11,17,40,0.833
Southern Miss. (C-USA),13,7-6,42,11,9,15,35,0.833
Cincinnati (AAC),14,11-3,65,27,16,11,54,0.831
Hawaii (Mountain West),15,10-5,59,19,24,6,49,0.831
North Texas (C-USA),12,4-8,47,8,20,11,39,0.83
East Carolina (AAC),12,4-8,52,12,12,19,43,0.827
Florida St. (ACC),13,6-7,40,17,10,6,33,0.825
UTSA (C-USA),12,4-8,34,12,9,7,28,0.824
Wyoming (Mountain West),13,8-5,45,21,5,11,37,0.822
Georgia St. (Sun Belt),13,7-6,56,21,17,8,46,0.821
Memphis (AAC),14,12-2,61,21,16,13,50,0.82
Louisville (ACC),13,8-5,44,17,13,6,36,0.818
UAB (C-USA),14,9-5,44,15,6,15,36,0.818
Tulsa (AAC),12,4-8,49,16,10,14,40,0.816
Central Mich. (MAC),14,8-6,59,29,10,9,48,0.814
Michigan (Big Ten),13,9-4,59,23,13,12,48,0.814
Boston College (ACC),13,6-7,48,17,12,10,39,0.813
ULM (Sun Belt),12,5-7,51,22,10,9,41,0.804
Kentucky (SEC),13,8-5,40,21,6,5,32,0.8
Western Mich. (MAC),13,7-6,55,22,12,10,44,0.8
Coastal Carolina (Sun Belt),12,5-7,54,21,13,9,43,0.796
South Fla. (AAC),12,4-8,39,12,12,7,31,0.795
Colorado (Pac-12),12,5-7,43,13,7,14,34,0.791
UCF (AAC),13,10-3,57,20,13,12,45,0.789
Pittsburgh (ACC),13,8-5,38,9,9,12,30,0.789
Tennessee (SEC),13,8-5,47,10,13,14,37,0.787
Nevada (Mountain West),13,7-6,47,14,7,16,37,0.787
Marshall (C-USA),13,8-5,42,18,6,9,33,0.786
Western Ky. (C-USA),13,9-4,50,14,12,13,39,0.78
Rice (C-USA),12,3-9,36,9,11,8,28,0.778
Oregon (Pac-12),14,12-2,63,21,20,8,49,0.778
Fresno St. (Mountain West),12,4-8,54,23,11,8,42,0.778
Eastern Mich. (MAC),13,6-7,49,19,10,9,38,0.776
UCLA (Pac-12),12,4-8,49,15,17,6,38,0.776
Northwestern (Big Ten),12,3-9,31,12,4,8,24,0.774
San Diego St. (Mountain West),13,10-3,44,11,8,15,34,0.773
UConn (AAC),12,2-10,35,12,9,6,27,0.771
Toledo (MAC),12,6-6,48,20,11,6,37,0.771
South Carolina (SEC),12,4-8,34,13,4,9,26,0.765
Massachusetts (FBS Independent),12,1-11,34,10,10,6,26,0.765
SMU (AAC),13,10-3,72,25,19,11,55,0.764
FIU (C-USA),13,6-7,55,20,8,14,42,0.764
New Mexico (Mountain West),12,2-10,38,16,7,6,29,0.763
Colorado St. (Mountain West),12,4-8,46,14,12,9,35,0.761
Syracuse (ACC),12,5-7,46,11,13,11,35,0.761
Michigan St. (Big Ten),13,7-6,54,11,15,15,41,0.759
Texas St. (Sun Belt),12,3-9,29,7,6,9,22,0.759
Arkansas (SEC),12,2-10,32,9,8,7,24,0.75
Nebraska (Big Ten),12,5-7,51,24,3,11,38,0.745
Temple (AAC),13,8-5,50,15,14,8,37,0.74
Missouri (SEC),12,6-6,46,12,12,10,34,0.739
West Virginia (Big 12),12,5-7,34,5,11,9,25,0.735
Utah St. (Mountain West),13,7-6,49,12,11,13,36,0.735
BYU (FBS Independent),13,7-6,60,21,10,13,44,0.733
Rutgers (Big Ten),12,2-10,26,9,1,9,19,0.731
Miami (FL) (ACC),13,6-7,54,13,16,10,39,0.722
South Alabama (Sun Belt),12,2-10,36,14,5,7,26,0.722
Vanderbilt (SEC),12,3-9,21,7,4,4,15,0.714
Old Dominion (C-USA),12,1-11,38,14,0,13,27,0.711
New Mexico St. (FBS Independent),12,2-10,40,12,10,6,28,0.7
Bowling Green (MAC),12,3-9,36,14,6,5,25,0.694
Akron (MAC),12,0-12,26,2,9,7,18,0.692
Maryland (Big Ten),12,3-9,35,13,8,2,23,0.657
Georgia Tech (ACC),12,3-9,27,9,5,2,16,0.593
