Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Ohio St. (Big Ten),14,13-1,200,393,2184,9,5.56,10.92,156.0
Kentucky (SEC),13,8-5,202,353,2182,9,6.18,10.8,167.8
Notre Dame (FBS Independent),13,11-2,203,374,2191,13,5.86,10.79,168.5
Clemson (ACC),15,14-1,231,433,2584,14,5.97,11.19,172.3
Army West Point (FBS Independent),13,5-8,203,326,2326,16,7.13,11.46,178.9
Missouri (SEC),12,6-6,175,348,2151,15,6.18,12.29,179.3
Colorado St. (Mountain West),12,4-8,183,316,2179,19,6.9,11.91,181.6
UAB (C-USA),14,9-5,217,420,2571,22,6.12,11.85,183.6
Minnesota (Big Ten),13,11-2,200,357,2395,14,6.71,11.98,184.2
Michigan (Big Ten),13,9-4,198,345,2412,16,6.99,12.18,185.5
Alabama (SEC),13,11-2,230,410,2434,15,5.94,10.58,187.2
Wisconsin (Big Ten),14,10-4,214,415,2623,18,6.32,12.26,187.4
Utah (Pac-12),14,11-3,247,436,2624,16,6.02,10.62,187.4
Charlotte (C-USA),13,7-6,195,314,2457,23,7.82,12.6,189.0
South Fla. (AAC),12,4-8,203,325,2274,15,7.0,11.2,189.5
Tennessee (SEC),13,8-5,216,375,2522,14,6.73,11.68,194.0
FIU (C-USA),13,6-7,210,384,2535,16,6.6,12.07,195.0
Miami (FL) (ACC),13,6-7,208,379,2538,16,6.7,12.2,195.2
Iowa (Big Ten),13,10-3,248,417,2544,14,6.1,10.26,195.7
Memphis (AAC),14,12-2,219,413,2742,15,6.64,12.52,195.9
Louisiana (Sun Belt),14,11-3,235,410,2768,11,6.75,11.78,197.7
Buffalo (MAC),13,8-5,206,352,2571,18,7.3,12.48,197.8
Northwestern (Big Ten),12,3-9,220,360,2385,17,6.63,10.84,198.8
Duke (ACC),12,5-7,185,353,2388,21,6.76,12.91,199.0
Texas St. (Sun Belt),12,3-9,206,324,2391,24,7.38,11.61,199.3
UCF (AAC),13,10-3,230,439,2593,17,5.91,11.27,199.5
TCU (Big 12),12,5-7,199,360,2396,22,6.66,12.04,199.7
Western Ky. (C-USA),13,9-4,193,362,2599,17,7.18,13.47,199.9
Akron (MAC),12,0-12,201,305,2405,23,7.89,11.97,200.4
Nebraska (Big Ten),12,5-7,215,364,2409,14,6.62,11.2,200.8
