Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Georgia (SEC),14,12-2,6,23,0.261
Cincinnati (AAC),14,11-3,5,19,0.263
Florida (SEC),13,11-2,3,10,0.3
Iowa (Big Ten),13,10-3,4,13,0.308
Arizona (Pac-12),12,4-8,6,18,0.333
Utah St. (Mountain West),13,7-6,6,18,0.333
Ohio St. (Big Ten),14,13-1,7,20,0.35
Kentucky (SEC),13,8-5,6,17,0.353
South Carolina (SEC),12,4-8,5,14,0.357
Missouri (SEC),12,6-6,5,14,0.357
Alabama (SEC),13,11-2,7,19,0.368
Syracuse (ACC),12,5-7,7,19,0.368
Central Mich. (MAC),14,8-6,12,32,0.375
Boise St. (Mountain West),14,12-2,11,29,0.379
Oklahoma St. (Big 12),13,8-5,8,21,0.381
Western Mich. (MAC),13,7-6,8,21,0.381
Northwestern (Big Ten),12,3-9,5,13,0.385
Texas (Big 12),13,8-5,8,20,0.4
Auburn (SEC),13,9-4,10,25,0.4
TCU (Big 12),12,5-7,6,15,0.4
UConn (AAC),12,2-10,6,15,0.4
Louisiana (Sun Belt),14,11-3,11,27,0.407
Kansas St. (Big 12),13,8-5,7,17,0.412
UCLA (Pac-12),12,4-8,7,17,0.412
UAB (CUSA),14,9-5,12,29,0.414
Oklahoma (Big 12),14,12-2,10,24,0.417
Marshall (CUSA),13,8-5,8,19,0.421
Oregon (Pac-12),14,12-2,14,33,0.424
Buffalo (MAC),13,8-5,14,33,0.424
San Diego St. (Mountain West),13,10-3,9,21,0.429
Vanderbilt (SEC),12,3-9,6,14,0.429
UNLV (Mountain West),12,4-8,9,21,0.429
Toledo (MAC),12,6-6,10,23,0.435
Clemson (ACC),15,14-1,10,23,0.435
Louisville (ACC),13,8-5,10,23,0.435
Nebraska (Big Ten),12,5-7,7,16,0.438
NIU (MAC),12,5-7,8,18,0.444
Wisconsin (Big Ten),14,10-4,12,27,0.444
Maryland (Big Ten),12,3-9,8,18,0.444
Old Dominion (CUSA),12,1-11,5,11,0.455
Notre Dame (FBS Independent),13,11-2,10,22,0.455
Liberty (FBS Independent),13,8-5,11,24,0.458
Hawaii (Mountain West),15,10-5,12,26,0.462
Air Force (Mountain West),13,11-2,13,28,0.464
Fla. Atlantic (CUSA),14,11-3,13,28,0.464
Tennessee (SEC),13,8-5,13,28,0.464
SMU (AAC),13,10-3,15,32,0.469
Bowling Green (MAC),12,3-9,8,17,0.471
Ball St. (MAC),12,5-7,10,21,0.476
Michigan St. (Big Ten),13,7-6,10,21,0.476
BYU (FBS Independent),13,7-6,10,21,0.476
Wyoming (Mountain West),13,8-5,12,25,0.48
