Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
UCF (AAC),13,10-3,89,56,436,117,9.0
Ohio St. (Big Ten),14,13-1,105,38,494,124,8.9
SMU (AAC),13,10-3,89,44,465,111,8.5
Miami (FL) (ACC),13,6-7,88,40,442,108,8.3
South Fla. (AAC),12,4-8,86,26,333,99,8.3
UTSA (C-USA),12,4-8,84,24,344,96,8.0
Clemson (ACC),15,14-1,87,64,504,119,7.9
Central Mich. (MAC),14,8-6,90,42,387,111,7.9
Pittsburgh (ACC),13,8-5,73,60,467,103,7.9
Florida (SEC),13,11-2,69,66,447,102,7.8
Penn St. (Big Ten),13,11-2,77,48,479,101,7.8
Boston College (ACC),13,6-7,76,50,305,101,7.8
Miami (OH) (MAC),14,8-6,81,54,428,108,7.7
UAB (C-USA),14,9-5,83,46,400,106,7.6
Illinois (Big Ten),13,6-7,74,48,311,98,7.5
Temple (AAC),13,8-5,87,22,399,98,7.5
Oklahoma (Big 12),14,12-2,86,36,405,104,7.4
Baylor (Big 12),14,11-3,74,56,382,102,7.3
Auburn (SEC),13,9-4,73,42,318,94,7.2
Oregon St. (Pac-12),12,5-7,70,32,356,86,7.2
Michigan St. (Big Ten),13,7-6,69,46,405,92,7.1
Virginia (ACC),14,9-5,76,46,440,99,7.1
Boise St. (Mountain West),14,12-2,80,36,353,98,7.0
Notre Dame (FBS Independent),13,11-2,76,30,355,91,7.0
NC State (ACC),12,4-8,59,50,340,84,7.0
Memphis (AAC),14,12-2,80,34,348,97,6.9
Oregon (Pac-12),14,12-2,74,46,384,97,6.9
Texas A&M (SEC),13,8-5,65,50,386,90,6.9
Cincinnati (AAC),14,11-3,77,38,359,96,6.9
Wake Forest (ACC),13,8-5,65,44,293,87,6.7
Texas Tech (Big 12),12,4-8,65,30,275,80,6.7
Duke (ACC),12,5-7,58,44,308,80,6.7
Charlotte (C-USA),13,7-6,67,38,322,86,6.6
Southern Miss. (C-USA),13,7-6,63,46,338,86,6.6
West Virginia (Big 12),12,5-7,63,32,339,79,6.6
Western Mich. (MAC),13,7-6,63,44,332,85,6.5
Iowa St. (Big 12),13,7-6,73,24,299,85,6.5
Wisconsin (Big Ten),14,10-4,81,20,444,91,6.5
Ga. Southern (Sun Belt),13,7-6,72,24,276,84,6.5
LSU (SEC),15,15-0,76,40,419,96,6.4
Wyoming (Mountain West),13,8-5,60,46,334,83,6.4
Virginia Tech (ACC),13,8-5,58,50,394,83,6.4
Texas (Big 12),13,8-5,72,22,282,83,6.4
Old Dominion (C-USA),12,1-11,55,42,245,76,6.3
San Diego St. (Mountain West),13,10-3,60,44,316,82,6.3
North Carolina (ACC),13,7-6,65,34,291,82,6.3
Fla. Atlantic (C-USA),14,11-3,71,34,338,88,6.3
Syracuse (ACC),12,5-7,55,40,287,75,6.3
Maryland (Big Ten),12,3-9,65,20,246,75,6.3
Troy (Sun Belt),12,5-7,63,24,317,75,6.3
Southern California (Pac-12),13,8-5,64,34,315,81,6.2
North Texas (C-USA),12,4-8,58,32,264,74,6.2
Indiana (Big Ten),13,8-5,66,28,299,80,6.2
Navy (AAC),13,11-2,56,48,306,80,6.2
Liberty (FBS Independent),13,8-5,59,42,276,80,6.2
App State (Sun Belt),14,13-1,67,38,380,86,6.1
Nebraska (Big Ten),12,5-7,57,32,307,73,6.1
Ole Miss (SEC),12,4-8,58,30,291,73,6.1
Louisiana Tech (C-USA),13,10-3,65,28,239,79,6.1
Michigan (Big Ten),13,9-4,60,38,387,79,6.1
Alabama (SEC),13,11-2,61,34,317,78,6.0
Arkansas St. (Sun Belt),13,8-5,62,32,276,78,6.0
Louisville (ACC),13,8-5,70,16,307,78,6.0
UCLA (Pac-12),12,4-8,56,32,241,72,6.0
South Alabama (Sun Belt),12,2-10,60,24,245,72,6.0
Purdue (Big Ten),12,4-8,60,24,272,72,6.0
South Carolina (SEC),12,4-8,63,18,271,72,6.0
Buffalo (MAC),13,8-5,62,30,301,77,5.9
Oklahoma St. (Big 12),13,8-5,58,38,268,77,5.9
Stanford (Pac-12),12,4-8,61,20,286,71,5.9
East Carolina (AAC),12,4-8,57,26,245,70,5.8
Utah (Pac-12),14,11-3,64,34,369,81,5.8
California (Pac-12),13,8-5,63,24,323,75,5.8
Rice (C-USA),12,3-9,44,50,219,69,5.8
Northwestern (Big Ten),12,3-9,55,28,236,69,5.8
Vanderbilt (SEC),12,3-9,52,34,258,69,5.8
Toledo (MAC),12,6-6,50,38,236,69,5.8
TCU (Big 12),12,5-7,57,24,214,69,5.8
Arizona St. (Pac-12),13,8-5,59,30,317,74,5.7
Florida St. (ACC),13,6-7,51,46,257,74,5.7
Kentucky (SEC),13,8-5,69,10,321,74,5.7
Mississippi St. (SEC),13,6-7,50,48,281,74,5.7
Colorado St. (Mountain West),12,4-8,55,26,257,68,5.7
Houston (AAC),12,4-8,43,48,250,67,5.6
Tulane (AAC),13,7-6,62,20,259,72,5.5
Coastal Carolina (Sun Belt),12,5-7,46,40,251,66,5.5
Tennessee (SEC),13,8-5,63,16,317,71,5.5
Washington (Pac-12),13,8-5,55,32,320,71,5.5
Georgia (SEC),14,12-2,59,34,349,76,5.4
Ball St. (MAC),12,5-7,46,38,206,65,5.4
Utah St. (Mountain West),13,7-6,55,30,314,70,5.4
Fresno St. (Mountain West),12,4-8,53,22,228,64,5.3
ULM (Sun Belt),12,5-7,50,28,231,64,5.3
Western Ky. (C-USA),13,9-4,55,28,303,69,5.3
Middle Tenn. (C-USA),12,4-8,50,26,203,63,5.3
Washington St. (Pac-12),13,6-7,52,32,238,68,5.2
FIU (C-USA),13,6-7,50,36,268,68,5.2
New Mexico (Mountain West),12,2-10,50,24,276,62,5.2
Bowling Green (MAC),12,3-9,48,28,280,62,5.2
Missouri (SEC),12,6-6,55,14,226,62,5.2
Iowa (Big Ten),13,10-3,51,32,282,67,5.2
Kent St. (MAC),13,7-6,59,16,230,67,5.2
Arkansas (SEC),12,2-10,45,32,203,61,5.1
Georgia Tech (ACC),12,3-9,52,18,205,61,5.1
Tulsa (AAC),12,4-8,46,30,201,61,5.1
San Jose St. (Mountain West),12,5-7,52,18,209,61,5.1
NIU (MAC),12,5-7,43,36,206,61,5.1
Ohio (MAC),13,7-6,40,52,270,66,5.1
Kansas St. (Big 12),13,8-5,54,22,269,65,5.0
Marshall (C-USA),13,8-5,44,42,269,65,5.0
Kansas (Big 12),12,3-9,52,16,236,60,5.0
New Mexico St. (FBS Independent),12,2-10,46,28,216,60,5.0
UNLV (Mountain West),12,4-8,49,22,200,60,5.0
Nevada (Mountain West),13,7-6,50,26,268,63,4.8
Minnesota (Big Ten),13,11-2,45,34,282,62,4.8
Louisiana (Sun Belt),14,11-3,55,22,297,66,4.7
BYU (FBS Independent),13,7-6,50,22,208,61,4.7
Georgia St. (Sun Belt),13,7-6,51,20,221,61,4.7
Rutgers (Big Ten),12,2-10,40,30,195,55,4.6
Arizona (Pac-12),12,4-8,43,22,175,54,4.5
Eastern Mich. (MAC),13,6-7,40,34,231,57,4.4
Texas St. (Sun Belt),12,3-9,38,28,132,52,4.3
Colorado (Pac-12),12,5-7,50,4,261,52,4.3
Akron (MAC),12,0-12,37,28,147,51,4.3
Air Force (Mountain West),13,11-2,37,34,247,54,4.2
Hawaii (Mountain West),15,10-5,51,20,170,61,4.1
Army West Point (FBS Independent),13,5-8,35,34,200,52,4.0
Massachusetts (FBS Independent),12,1-11,44,8,153,48,4.0
UConn (AAC),12,2-10,29,36,201,47,3.9
UTEP (C-USA),12,1-11,31,16,125,39,3.3
