Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Washington St. (Pac-12),13,6-7,710,505,16,5683,8.0,11.25,50,437.2
LSU (SEC),15,15-0,567,426,7,6024,10.62,14.14,61,401.6
Alabama (SEC),13,11-2,406,287,6,4449,10.96,15.5,49,342.2
San Jose St. (Mountain West),12,5-7,498,305,8,4056,8.14,13.3,24,338.0
Hawaii (Mountain West),15,10-5,635,396,17,5056,7.96,12.77,42,337.1
Southern California (Pac-12),13,8-5,514,365,15,4365,8.49,11.96,35,335.8
Texas Tech (Big 12),12,4-8,531,342,8,3896,7.34,11.39,24,324.7
UCF (AAC),13,10-3,457,271,8,4117,9.01,15.19,36,316.7
Troy (Sun Belt),12,5-7,491,316,11,3758,7.65,11.89,30,313.2
Arkansas St. (Sun Belt),13,8-5,469,298,11,4057,8.65,13.61,37,312.1
Iowa St. (Big 12),13,7-6,484,315,9,4047,8.36,12.85,29,311.3
Purdue (Big Ten),12,4-8,520,320,15,3719,7.15,11.62,29,309.9
SMU (AAC),13,10-3,503,313,11,4017,7.99,12.83,35,309.0
Colorado St. (Mountain West),12,4-8,446,280,11,3663,8.21,13.08,21,305.3
Indiana (Big Ten),13,8-5,473,321,9,3931,8.31,12.25,24,302.4
Florida (SEC),13,11-2,467,317,10,3910,8.37,12.33,33,300.8
Memphis (AAC),14,12-2,441,281,11,4177,9.47,14.86,33,298.4
Oklahoma (Big 12),14,12-2,381,262,9,4164,10.93,15.89,36,297.4
Southern Miss. (C-USA),13,7-6,438,291,17,3764,8.59,12.93,20,289.5
Texas (Big 12),13,8-5,470,306,10,3761,8.0,12.29,32,289.3
Liberty (FBS Independent),13,8-5,452,257,8,3756,8.31,14.61,29,288.9
East Carolina (AAC),12,4-8,451,270,10,3466,7.69,12.84,22,288.8
Clemson (ACC),15,14-1,509,326,10,4325,8.5,13.27,40,288.3
Wake Forest (ACC),13,8-5,469,282,13,3748,7.99,13.29,31,288.3
North Carolina (ACC),13,7-6,431,265,7,3716,8.62,14.02,39,285.8
BYU (FBS Independent),13,7-6,468,296,11,3701,7.91,12.5,20,284.7
North Texas (C-USA),12,4-8,454,283,12,3400,7.49,12.01,33,283.3
Eastern Mich. (MAC),13,6-7,465,313,12,3681,7.92,11.76,27,283.2
Fla. Atlantic (C-USA),14,11-3,502,314,8,3956,7.88,12.6,30,282.6
Tulsa (AAC),12,4-8,444,254,9,3376,7.6,13.29,20,281.3
Utah St. (Mountain West),13,7-6,504,315,18,3628,7.2,11.52,22,279.1
Louisiana Tech (C-USA),13,10-3,458,285,10,3490,7.62,12.25,21,268.5
Virginia (ACC),14,9-5,520,337,15,3748,7.21,11.12,23,267.7
Florida St. (ACC),13,6-7,432,279,13,3479,8.05,12.47,24,267.6
Arizona (Pac-12),12,4-8,422,261,12,3193,7.57,12.23,23,266.1
Ohio St. (Big Ten),14,13-1,406,271,3,3684,9.07,13.59,48,263.1
