Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Air Force (Mountain West),13,11-2,4,22,0.31
Buffalo (MAC),13,8-5,8,59,0.62
Alabama (SEC),13,11-2,12,81,0.92
Boston College (ACC),13,6-7,13,98,1.0
Louisiana (Sun Belt),14,11-3,15,131,1.07
Georgia (SEC),14,12-2,15,96,1.07
FIU (C-USA),13,6-7,14,84,1.08
Army West Point (FBS Independent),13,5-8,15,92,1.15
Bowling Green (MAC),12,3-9,14,122,1.17
San Jose St. (Mountain West),12,5-7,14,107,1.17
Clemson (ACC),15,14-1,18,142,1.2
Notre Dame (FBS Independent),13,11-2,16,81,1.23
App State (Sun Belt),14,13-1,18,107,1.29
SMU (AAC),13,10-3,17,108,1.31
Kentucky (SEC),13,8-5,17,93,1.31
Navy (AAC),13,11-2,17,95,1.31
ULM (Sun Belt),12,5-7,16,112,1.33
Iowa St. (Big 12),13,7-6,18,117,1.38
Michigan St. (Big Ten),13,7-6,18,113,1.38
Western Mich. (MAC),13,7-6,18,122,1.38
Auburn (SEC),13,9-4,18,136,1.38
East Carolina (AAC),12,4-8,17,150,1.42
Wisconsin (Big Ten),14,10-4,20,121,1.43
Georgia St. (Sun Belt),13,7-6,19,145,1.46
New Mexico (Mountain West),12,2-10,18,109,1.5
NC State (ACC),12,4-8,18,118,1.5
Texas Tech (Big 12),12,4-8,18,103,1.5
Central Mich. (MAC),14,8-6,21,151,1.5
Western Ky. (C-USA),13,9-4,20,130,1.54
Washington St. (Pac-12),13,6-7,20,156,1.54
Arkansas (SEC),12,2-10,19,128,1.58
San Diego St. (Mountain West),13,10-3,21,163,1.62
Wyoming (Mountain West),13,8-5,21,142,1.62
Temple (AAC),13,8-5,21,132,1.62
Charlotte (C-USA),13,7-6,21,121,1.62
Ohio (MAC),13,7-6,21,150,1.62
Tennessee (SEC),13,8-5,21,138,1.62
Oklahoma (Big 12),14,12-2,23,147,1.64
Coastal Carolina (Sun Belt),12,5-7,20,123,1.67
Washington (Pac-12),13,8-5,22,153,1.69
Colorado (Pac-12),12,5-7,21,131,1.75
Ole Miss (SEC),12,4-8,21,127,1.75
West Virginia (Big 12),12,5-7,21,145,1.75
Utah St. (Mountain West),13,7-6,23,123,1.77
Iowa (Big Ten),13,10-3,23,219,1.77
Wake Forest (ACC),13,8-5,23,155,1.77
Eastern Mich. (MAC),13,6-7,23,134,1.77
Southern Miss. (C-USA),13,7-6,23,183,1.77
Oregon (Pac-12),14,12-2,25,175,1.79
UAB (C-USA),14,9-5,25,163,1.79
Hawaii (Mountain West),15,10-5,27,173,1.8
Middle Tenn. (C-USA),12,4-8,22,133,1.83
UCF (AAC),13,10-3,24,140,1.85
Utah (Pac-12),14,11-3,26,154,1.86
Kansas (Big 12),12,3-9,23,152,1.92
Northwestern (Big Ten),12,3-9,23,166,1.92
Fresno St. (Mountain West),12,4-8,23,158,1.92
