Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
UConn (AAC),12,2-10,28,27,1,0,10,0,227,18.9
Texas St. (Sun Belt),12,3-9,26,26,0,0,13,0,221,18.4
South Alabama (Sun Belt),12,2-10,29,21,0,0,8,1,221,18.4
Rice (C-USA),12,3-9,27,23,0,0,10,0,215,17.9
Georgia Tech (ACC),12,3-9,27,23,2,0,3,1,200,16.7
Vanderbilt (SEC),12,3-9,24,22,1,0,10,0,198,16.5
Northwestern (Big Ten),12,3-9,24,18,0,0,10,2,196,16.3
Old Dominion (C-USA),12,1-11,21,18,3,0,15,0,195,16.3
Bowling Green (MAC),12,3-9,25,22,0,0,6,1,192,16.0
Rutgers (Big Ten),12,2-10,18,18,0,0,11,0,159,13.3
Akron (MAC),12,0-12,15,13,1,0,7,0,126,10.5
