Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
LSU (SEC),15,15-0,95,89,1,0,21,1,726,48.4
Alabama (SEC),13,11-2,83,80,0,0,12,0,614,47.2
Ohio St. (Big Ten),14,13-1,88,87,0,0,13,1,656,46.9
Clemson (ACC),15,14-1,88,85,2,0,14,0,659,43.9
UCF (AAC),13,10-3,74,71,1,0,15,1,564,43.4
Oklahoma (Big 12),14,12-2,76,75,1,0,19,0,590,42.1
SMU (AAC),13,10-3,73,58,6,0,12,0,544,41.8
Memphis (AAC),14,12-2,71,65,1,1,23,1,566,40.4
App State (Sun Belt),14,13-1,73,72,0,0,11,0,543,38.8
Louisiana (Sun Belt),14,11-3,69,67,0,0,16,1,531,37.9
Washington St. (Pac-12),13,6-7,62,55,1,1,20,0,491,37.8
Navy (AAC),13,11-2,64,61,1,0,12,0,483,37.2
Notre Dame (FBS Independent),13,11-2,61,61,0,0,17,0,478,36.8
Fla. Atlantic (C-USA),14,11-3,65,56,4,1,18,0,510,36.4
Penn St. (Big Ten),13,11-2,61,56,2,0,13,0,465,35.8
Oregon (Pac-12),14,12-2,67,64,1,0,9,0,495,35.4
Texas (Big 12),13,8-5,59,56,2,1,14,0,458,35.2
Ball St. (MAC),12,5-7,53,49,2,0,15,1,418,34.8
Boise St. (Mountain West),14,12-2,63,61,1,0,15,0,486,34.7
Ohio (MAC),13,7-6,57,54,1,0,16,0,446,34.3
Minnesota (Big Ten),13,11-2,59,54,1,0,11,0,443,34.1
Air Force (Mountain West),13,11-2,58,52,1,1,13,0,443,34.1
Wisconsin (Big Ten),14,10-4,62,61,0,0,14,1,477,34.1
Hawaii (Mountain West),15,10-5,68,64,2,0,10,1,508,33.9
Troy (Sun Belt),12,5-7,52,48,1,0,14,1,406,33.8
Arkansas St. (Sun Belt),13,8-5,54,53,0,0,19,2,438,33.7
Baylor (Big 12),14,11-3,61,57,0,0,16,0,471,33.6
Florida (SEC),13,11-2,55,51,0,0,17,0,432,33.2
Auburn (SEC),13,9-4,54,52,1,0,18,0,432,33.2
Western Mich. (MAC),13,7-6,58,52,0,0,10,0,430,33.1
North Carolina (ACC),13,7-6,53,49,3,0,19,0,430,33.1
Tulane (AAC),13,7-6,56,55,0,0,13,0,430,33.1
Louisville (ACC),13,8-5,58,55,0,0,9,0,430,33.1
Liberty (FBS Independent),13,8-5,56,52,0,0,13,0,427,32.8
Oklahoma St. (Big 12),13,8-5,52,48,1,0,20,0,422,32.5
Southern California (Pac-12),13,8-5,54,54,0,0,14,1,422,32.5
Louisiana Tech (C-USA),13,10-3,54,53,0,0,15,0,422,32.5
Utah (Pac-12),14,11-3,60,57,1,0,11,0,452,32.3
Iowa St. (Big 12),13,7-6,53,49,0,0,17,0,418,32.2
Virginia (ACC),14,9-5,56,51,1,0,20,0,449,32.1
Washington (Pac-12),13,8-5,51,49,1,0,19,1,416,32.0
Wake Forest (ACC),13,8-5,49,48,0,0,24,0,414,31.8
Indiana (Big Ten),13,8-5,51,46,2,0,19,0,413,31.8
Michigan (Big Ten),13,9-4,52,46,3,0,16,0,412,31.7
ULM (Sun Belt),12,5-7,51,44,1,0,9,0,379,31.6
Buffalo (MAC),13,8-5,54,50,0,0,11,1,409,31.5
Georgia St. (Sun Belt),13,7-6,53,50,1,0,12,0,406,31.2
Oregon St. (Pac-12),12,5-7,52,48,1,0,4,0,374,31.2
Virginia Tech (ACC),13,8-5,49,48,1,0,19,0,401,30.8
Georgia (SEC),14,12-2,50,46,2,0,27,0,431,30.8
Houston (AAC),12,4-8,44,40,2,0,20,0,368,30.7
North Texas (C-USA),12,4-8,46,43,0,0,16,0,367,30.6
Texas Tech (Big 12),12,4-8,44,40,1,0,20,0,366,30.5
Central Mich. (MAC),14,8-6,55,47,4,0,13,1,426,30.4
TCU (Big 12),12,5-7,41,40,0,0,26,0,364,30.3
Coastal Carolina (Sun Belt),12,5-7,46,35,4,0,15,0,364,30.3
San Jose St. (Mountain West),12,5-7,43,37,3,0,20,0,361,30.1
Fresno St. (Mountain West),12,4-8,46,44,1,0,12,1,360,30.0
Charlotte (C-USA),13,7-6,52,42,2,0,10,0,388,29.8
Cincinnati (AAC),14,11-3,52,51,1,1,16,0,415,29.6
Kansas St. (Big 12),13,8-5,47,46,0,0,19,0,385,29.6
Texas A&M (SEC),13,8-5,47,46,1,0,18,0,384,29.5
Utah St. (Mountain West),13,7-6,45,45,0,0,21,1,380,29.2
Kent St. (MAC),13,7-6,42,39,1,0,29,0,380,29.2
Eastern Mich. (MAC),13,6-7,49,35,4,0,14,0,379,29.2
Boston College (ACC),13,6-7,49,45,1,0,12,0,377,29.0
BYU (FBS Independent),13,7-6,46,43,0,0,17,0,370,28.5
Army West Point (FBS Independent),13,5-8,52,44,1,0,4,0,370,28.5
Syracuse (ACC),12,5-7,41,39,0,0,18,0,339,28.3
Ga. Southern (Sun Belt),13,7-6,44,36,2,0,20,1,366,28.2
Colorado St. (Mountain West),12,4-8,42,41,1,0,14,0,337,28.1
Nebraska (Big Ten),12,5-7,43,40,1,0,12,0,336,28.0
Florida St. (ACC),13,6-7,49,46,1,0,7,0,363,27.9
Mississippi St. (SEC),13,6-7,48,44,0,0,9,0,359,27.6
Toledo (MAC),12,6-6,42,38,2,0,11,0,327,27.3
Kentucky (SEC),13,8-5,47,42,0,0,9,1,353,27.2
Arizona (Pac-12),12,4-8,42,37,1,0,10,1,323,26.9
East Carolina (AAC),12,4-8,36,33,0,0,24,0,321,26.8
Illinois (Big Ten),13,6-7,44,42,1,0,13,0,347,26.7
UCLA (Pac-12),12,4-8,42,40,2,0,8,0,320,26.7
Southern Miss. (C-USA),13,7-6,42,34,3,0,18,0,346,26.6
Ole Miss (SEC),12,4-8,41,36,2,0,11,0,319,26.6
FIU (C-USA),13,6-7,40,37,1,0,21,1,344,26.5
Tulsa (AAC),12,4-8,39,38,0,0,15,0,317,26.4
Middle Tenn. (C-USA),12,4-8,41,35,1,0,11,0,316,26.3
Temple (AAC),13,8-5,45,39,0,0,11,0,342,26.3
Purdue (Big Ten),12,4-8,39,35,1,0,13,0,310,25.8
Marshall (C-USA),13,8-5,40,35,2,0,18,1,335,25.8
Iowa (Big Ten),13,10-3,36,32,0,0,29,0,335,25.8
Miami (FL) (ACC),13,6-7,43,38,1,0,12,0,334,25.7
Wyoming (Mountain West),13,8-5,41,37,1,0,15,0,330,25.4
Western Ky. (C-USA),13,9-4,40,39,0,0,17,0,330,25.4
Missouri (SEC),12,6-6,37,34,0,0,16,0,304,25.3
Maryland (Big Ten),12,3-9,42,39,0,0,2,3,303,25.3
Duke (ACC),12,5-7,37,34,1,0,15,0,303,25.3
Arizona St. (Pac-12),13,8-5,36,29,4,0,23,0,322,24.8
UNLV (Mountain West),12,4-8,37,35,0,0,11,0,290,24.2
Tennessee (SEC),13,8-5,35,35,0,0,23,0,314,24.2
Miami (OH) (MAC),14,8-6,37,36,0,0,26,1,338,24.1
Colorado (Pac-12),12,5-7,33,31,1,0,17,0,282,23.5
Kansas (Big 12),12,3-9,36,27,3,0,11,0,282,23.5
UAB (C-USA),14,9-5,38,37,0,0,19,1,324,23.1
NIU (MAC),12,5-7,33,30,1,0,14,1,274,22.8
South Carolina (SEC),12,4-8,31,29,0,0,18,0,269,22.4
Michigan St. (Big Ten),13,7-6,32,31,0,0,22,1,291,22.4
New Mexico (Mountain West),12,2-10,34,25,1,0,12,0,267,22.3
NC State (ACC),12,4-8,29,28,0,0,21,0,265,22.1
New Mexico St. (FBS Independent),12,2-10,33,32,0,0,10,0,260,21.7
Stanford (Pac-12),12,4-8,29,27,1,0,19,0,260,21.7
Arkansas (SEC),12,2-10,31,29,0,0,14,0,257,21.4
Nevada (Mountain West),13,7-6,31,28,0,0,21,0,277,21.3
California (Pac-12),13,8-5,35,33,0,0,11,0,276,21.2
San Diego St. (Mountain West),13,10-3,30,28,1,0,22,0,276,21.2
Pittsburgh (ACC),13,8-5,30,29,0,0,22,0,275,21.2
South Fla. (AAC),12,4-8,33,31,0,0,7,0,250,20.8
West Virginia (Big 12),12,5-7,30,28,0,0,13,0,247,20.6
UTSA (C-USA),12,4-8,31,25,3,0,9,0,244,20.3
Massachusetts (FBS Independent),12,1-11,31,30,0,0,7,0,237,19.8
UTEP (C-USA),12,1-11,29,22,0,0,13,0,235,19.6
