Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
SFA (Southland),12,3-9,622,373,22,4668,7.50,12.51,37,389.0
Eastern Ill. (OVC),14,12-2,608,395,10,5213,8.57,13.20,55,372.4
Fordham (Patriot),14,12-2,564,398,13,5052,8.96,12.69,38,360.9
Eastern Wash. (Big Sky),15,12-3,515,338,15,5247,10.19,15.52,58,349.8
Central Ark. (Southland),12,7-5,557,361,13,3979,7.14,11.02,31,331.6
Jacksonville (Pioneer),11,5-6,433,236,16,3647,8.42,15.45,33,331.5
Richmond (CAA),12,6-6,533,350,9,3939,7.39,11.25,28,328.3
San Diego (Pioneer),11,8-3,400,265,5,3563,8.91,13.45,37,323.9
Cornell (Ivy League),10,3-7,385,248,13,3216,8.35,12.97,24,321.6
Prairie View (SWAC),12,6-6,519,343,13,3620,6.97,10.55,31,301.7
Idaho St. (Big Sky),12,3-9,580,326,14,3564,6.14,10.93,24,297.0
Princeton (Ivy League),10,8-2,443,286,5,2938,6.63,10.27,27,293.8
Samford (SoCon),13,8-5,492,311,13,3806,7.74,12.24,29,292.8
Lehigh (Patriot),11,8-3,432,268,14,3216,7.44,12.00,25,292.4
Lamar University (Southland),12,5-7,495,307,8,3456,6.98,11.26,33,288.0
North Dakota (Big Sky),11,3-8,431,257,19,3125,7.25,12.16,15,284.1
Valparaiso (Pioneer),11,1-10,427,263,11,3100,7.26,11.79,23,281.8
Northern Colo. (Big Sky),12,1-11,452,260,18,3381,7.48,13.00,19,281.8
Sacramento St. (Big Sky),12,5-7,469,298,13,3316,7.07,11.13,27,276.3
Southern U. (SWAC),13,9-4,439,272,11,3574,8.14,13.14,30,274.9
Lafayette (Patriot),12,5-7,390,257,18,3241,8.31,12.61,23,270.1
Drake (Pioneer),11,6-5,407,258,11,2949,7.25,11.43,22,268.1
Montana (Big Sky),13,10-3,406,227,5,3483,8.58,15.34,35,267.9
Portland St. (Big Sky),12,6-6,365,189,16,3156,8.65,16.70,21,263.0
Marist (Pioneer),11,8-3,362,208,10,2863,7.91,13.76,30,260.3
Harvard (Ivy League),10,9-1,312,209,6,2601,8.34,12.44,21,260.1
Ark.-Pine Bluff (SWAC),11,2-9,361,211,13,2795,7.74,13.25,20,254.1
Maine (CAA),13,10-3,416,280,9,3273,7.87,11.69,25,251.8
Southeastern La. (Southland),14,11-3,397,240,12,3495,8.80,14.56,22,249.6
Butler (Pioneer),13,9-4,467,279,13,3214,6.88,11.52,22,247.2
McNeese (Southland),13,10-3,393,224,7,3146,8.01,14.04,29,242.0
Charlotte (FCS Independent),11,5-6,388,230,12,2659,6.85,11.56,22,241.7
Murray St. (OVC),12,6-6,458,306,16,2897,6.33,9.47,23,241.4
Holy Cross (Patriot),12,3-9,434,262,13,2884,6.65,11.01,24,240.3
Delaware (CAA),12,7-5,381,237,10,2880,7.56,12.15,27,240.0
Morehead St. (Pioneer),12,3-9,518,321,17,2877,5.55,8.96,14,239.8
New Hampshire (CAA),15,10-5,490,294,12,3593,7.33,12.22,25,239.5
VMI (Big South),12,2-10,412,238,12,2866,6.96,12.04,20,238.8
Brown (Ivy League),10,6-4,338,222,5,2377,7.03,10.71,19,237.7
Duquesne (NEC),11,7-4,382,223,16,2607,6.82,11.69,14,237.0
Liberty (Big South),12,8-4,327,215,7,2841,8.69,13.21,21,236.8
Montana St. (Big Sky),12,7-5,361,235,8,2820,7.81,12.00,14,235.0
Northwestern St. (Southland),12,6-6,394,253,9,2815,7.14,11.13,21,234.6
James Madison (CAA),12,6-6,385,229,15,2813,7.31,12.28,23,234.4
Davidson (Pioneer),11,0-11,389,211,8,2559,6.58,12.13,13,232.6
Southern Ill. (MVFC),12,7-5,409,233,10,2782,6.80,11.94,25,231.8
Elon (SoCon),12,2-10,469,291,10,2782,5.93,9.56,18,231.8
Alcorn (SWAC),12,9-3,370,210,7,2728,7.37,12.99,23,227.3
Towson (CAA),16,13-3,413,266,13,3622,8.77,13.62,19,226.4
Delaware St. (MEAC),11,5-6,410,226,16,2480,6.05,10.97,13,225.5
Coastal Carolina (Big South),15,12-3,397,253,10,3380,8.51,13.36,30,225.3
Gardner-Webb (Big South),12,7-5,407,245,15,2702,6.64,11.03,15,225.2
Western Caro. (SoCon),12,2-10,395,211,18,2655,6.72,12.58,17,221.3
Jackson St. (SWAC),11,7-4,326,165,17,2431,7.46,14.73,16,221.0
Nicholls (Southland),12,4-8,390,208,14,2643,6.78,12.71,19,220.3
UT Martin (OVC),12,7-5,371,231,12,2618,7.06,11.33,18,218.2
South Dakota St. (MVFC),14,9-5,413,243,8,3031,7.34,12.47,20,216.5
Stony Brook (CAA),11,5-6,290,167,9,2367,8.16,14.17,13,215.2
Central Conn. St. (NEC),12,4-8,359,201,18,2562,7.14,12.75,24,213.5
Penn (Ivy League),10,4-6,343,182,16,2108,6.15,11.58,18,210.8
Yale (Ivy League),10,5-5,341,205,10,2108,6.18,10.28,18,210.8
Georgetown (Patriot),11,2-9,422,245,10,2318,5.49,9.46,11,210.7
Savannah St. (MEAC),12,1-11,452,220,18,2516,5.57,11.44,16,209.7
Monmouth (FCS Independent),12,6-6,345,192,12,2489,7.21,12.96,20,207.4
Dartmouth (Ivy League),10,6-4,304,167,6,2056,6.76,12.31,14,205.6
Youngstown St. (MVFC),12,8-4,296,178,7,2457,8.30,13.80,23,204.8
Howard (MEAC),12,6-6,396,235,12,2446,6.18,10.41,16,203.8
Dayton (Pioneer),11,7-4,320,174,10,2242,7.01,12.89,15,203.8
Campbell (Pioneer),12,3-9,335,205,11,2436,7.27,11.88,18,203.0
UAlbany (CAA),12,1-11,390,217,11,2431,6.23,11.20,9,202.6
Jacksonville St. (OVC),15,11-4,397,231,11,3033,7.64,13.13,13,202.2
Northern Ariz. (Big Sky),12,9-3,387,235,12,2425,6.27,10.32,14,202.1
North Dakota St. (MVFC),15,15-0,360,240,7,3002,8.34,12.51,35,200.1
Grambling (SWAC),11,1-10,350,171,11,2189,6.25,12.80,19,199.0
Alabama St. (SWAC),12,8-4,346,194,9,2384,6.89,12.29,20,198.7
South Dakota (MVFC),12,4-8,401,205,11,2343,5.84,11.43,11,195.3
Bryant (NEC),12,5-7,369,187,14,2319,6.28,12.40,15,193.3
UC Davis (Big Sky),12,5-7,352,214,8,2304,6.55,10.77,12,192.0
Alabama A&M (SWAC),12,4-8,359,160,16,2292,6.38,14.33,15,191.0
UNI (MVFC),12,7-5,331,198,9,2276,6.88,11.49,16,189.7
Stetson (Pioneer),11,2-9,340,205,15,2077,6.11,10.13,13,188.8
Illinois St. (MVFC),11,5-6,271,156,13,2066,7.62,13.24,15,187.8
Sam Houston (Southland),14,9-5,333,179,11,2598,7.80,14.51,33,185.6
Tennessee St. (OVC),14,10-4,372,220,4,2579,6.93,11.72,26,184.2
Mississippi Val. (SWAC),11,2-9,367,165,13,2024,5.51,12.27,14,184.0
Villanova (CAA),11,6-5,252,172,8,2018,8.01,11.73,15,183.5
Robert Morris (NEC),11,5-6,323,150,15,1998,6.19,13.32,17,181.6
Southern Utah (Big Sky),13,8-5,378,235,15,2353,6.22,10.01,11,181.0
Western Ill. (MVFC),12,4-8,390,196,16,2152,5.52,10.98,17,179.3
South Carolina St. (MEAC),13,9-4,336,185,13,2327,6.93,12.58,20,179.0
Texas Southern (SWAC),11,2-9,324,159,11,1950,6.02,12.26,6,177.3
Presbyterian (Big South),11,3-8,300,184,13,1941,6.47,10.55,14,176.5
Mercer (Pioneer),12,10-2,258,134,7,2060,7.98,15.37,23,171.7
Sacred Heart (NEC),13,10-3,349,180,9,2216,6.35,12.31,23,170.5
Furman (SoCon),14,8-6,337,200,10,2386,7.08,11.93,11,170.4
William & Mary (CAA),12,7-5,299,160,6,2040,6.82,12.75,10,170.0
Indiana St. (MVFC),12,1-11,365,183,17,2022,5.54,11.05,18,168.5
Bucknell (Patriot),11,6-5,286,160,13,1822,6.37,11.39,11,165.6
Colgate (Patriot),12,4-8,281,166,12,1984,7.06,11.95,13,165.3
Missouri St. (MVFC),12,5-7,314,164,13,1968,6.27,12.00,13,164.0
Tennessee Tech (OVC),12,5-7,352,190,10,1947,5.53,10.25,13,162.3
Hampton (MEAC),12,4-8,329,175,14,1921,5.84,10.98,14,160.1
Rhode Island (CAA),12,3-9,366,194,13,1917,5.24,9.88,10,159.8
Weber St. (Big Sky),12,2-10,369,202,10,1908,5.17,9.45,9,159.0
N.C. A&T (MEAC),11,7-4,251,144,7,1746,6.96,12.13,10,158.7
