Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
North Dakota St. (MVFC),15,15-0,20,19,0,0,10,0,169,11.3
William & Mary (CAA),12,7-5,20,19,1,0,9,0,168,14.0
South Carolina St. (MEAC),13,9-4,24,19,1,0,11,0,198,15.2
N.C. A&T (MEAC),11,7-4,23,16,1,0,9,1,185,16.8
Liberty (Big South),12,8-4,28,23,1,0,6,0,211,17.6
Bethune-Cookman (MEAC),13,10-3,28,25,0,0,12,1,231,17.8
Tennessee St. (OVC),14,10-4,32,24,1,0,11,1,253,18.1
UNI (MVFC),12,7-5,28,25,0,0,11,0,226,18.8
Dartmouth (Ivy League),10,6-4,23,19,1,0,12,0,195,19.5
Drake (Pioneer),11,6-5,28,26,0,0,7,0,215,19.5
Chattanooga (SoCon),12,8-4,29,29,0,0,14,0,245,20.4
Brown (Ivy League),10,6-4,28,25,0,0,4,0,205,20.5
Marist (Pioneer),11,8-3,29,24,1,0,8,1,226,20.5
Sacred Heart (NEC),13,10-3,35,31,0,0,12,0,277,21.3
Cal Poly (Big Sky),12,6-6,33,31,0,0,10,0,259,21.6
Saint Francis (PA) (NEC),11,5-6,30,28,0,0,10,1,240,21.8
Bucknell (Patriot),11,6-5,31,28,0,0,9,0,241,21.9
Stony Brook (CAA),11,5-6,30,23,2,0,11,1,242,22.0
Northern Ariz. (Big Sky),12,9-3,33,27,2,0,11,1,264,22.0
Maine (CAA),13,10-3,39,32,1,1,5,1,287,22.1
Southern Utah (Big Sky),13,8-5,39,36,0,0,6,0,288,22.2
Villanova (CAA),11,6-5,31,20,3,0,11,0,245,22.3
Harvard (Ivy League),10,9-1,30,23,3,0,6,0,227,22.7
Southeastern La. (Southland),14,11-3,43,37,0,0,7,1,318,22.7
San Diego (Pioneer),11,8-3,34,29,1,0,5,0,250,22.7
Eastern Ill. (OVC),14,12-2,40,35,0,0,14,1,319,22.8
Norfolk St. (MEAC),12,3-9,34,28,1,0,13,1,275,22.9
Montana (Big Sky),13,10-3,38,37,0,0,11,0,298,22.9
Duquesne (NEC),11,7-4,33,30,2,0,7,0,253,23.0
New Hampshire (CAA),15,10-5,42,38,1,0,17,1,345,23.0
Missouri St. (MVFC),12,5-7,36,29,2,0,9,0,276,23.0
Gardner-Webb (Big South),12,7-5,36,34,0,0,8,1,276,23.0
UC Davis (Big Sky),12,5-7,37,29,1,0,8,0,277,23.1
Charleston So. (Big South),13,10-3,40,33,2,0,8,1,303,23.3
South Dakota St. (MVFC),14,9-5,43,35,2,0,11,0,330,23.6
Jacksonville St. (OVC),15,11-4,43,38,1,0,18,1,354,23.6
Monmouth (FCS Independent),12,6-6,35,32,3,0,10,3,284,23.7
Robert Morris (NEC),11,5-6,33,33,0,0,9,2,262,23.8
Dayton (Pioneer),11,7-4,34,29,1,0,9,0,262,23.8
Richmond (CAA),12,6-6,34,31,0,0,17,0,286,23.8
Mercer (Pioneer),12,10-2,40,31,2,0,4,0,287,23.9
Towson (CAA),16,13-3,50,40,5,0,11,0,383,23.9
James Madison (CAA),12,6-6,36,31,2,0,12,1,289,24.1
Furman (SoCon),14,8-6,44,35,4,0,11,0,340,24.3
Alcorn (SWAC),12,9-3,38,32,1,0,10,1,294,24.5
Princeton (Ivy League),10,8-2,32,25,0,0,9,1,246,24.6
Wofford (SoCon),11,5-6,33,31,0,0,15,0,274,24.9
Montana St. (Big Sky),12,7-5,40,33,0,0,8,1,299,24.9
Bryant (NEC),12,5-7,40,38,0,0,8,0,302,25.2
Southern Ill. (MVFC),12,7-5,39,33,1,0,11,0,302,25.2
Western Ill. (MVFC),12,4-8,40,37,1,0,8,0,303,25.3
Fordham (Patriot),14,12-2,47,37,2,0,10,1,355,25.4
Eastern Ky. (OVC),12,6-6,38,35,0,0,14,0,305,25.4
Alabama St. (SWAC),12,8-4,42,38,0,0,5,2,309,25.8
South Dakota (MVFC),12,4-8,43,36,0,0,5,0,309,25.8
Youngstown St. (MVFC),12,8-4,41,36,1,0,10,0,314,26.2
Florida A&M (MEAC),12,3-9,43,30,3,0,8,0,318,26.5
Jackson St. (SWAC),11,7-4,35,33,0,0,17,0,294,26.7
Howard (MEAC),12,6-6,43,35,1,0,9,0,322,26.8
Butler (Pioneer),13,9-4,47,41,1,0,8,0,349,26.8
Central Ark. (Southland),12,7-5,43,41,0,0,9,0,326,27.2
Delaware St. (MEAC),11,5-6,41,35,1,0,6,0,301,27.4
UT Martin (OVC),12,7-5,44,41,0,0,7,2,330,27.5
Portland St. (Big Sky),12,6-6,41,39,0,0,15,0,330,27.5
Sam Houston (Southland),14,9-5,51,48,0,0,11,0,387,27.6
Yale (Ivy League),10,5-5,37,32,1,0,7,0,277,27.7
Alabama A&M (SWAC),12,4-8,41,35,0,0,16,2,333,27.8
Samford (SoCon),13,8-5,47,44,0,0,12,1,364,28.0
Lafayette (Patriot),12,5-7,44,40,1,0,10,0,336,28.0
N.C. Central (MEAC),12,5-7,44,38,1,0,11,0,337,28.1
Mississippi Val. (SWAC),11,2-9,40,35,1,0,9,3,310,28.2
The Citadel (SoCon),12,5-7,45,39,3,0,8,0,339,28.3
Eastern Wash. (Big Sky),15,12-3,56,46,3,0,12,0,424,28.3
Penn (Ivy League),10,4-6,38,33,2,0,6,0,283,28.3
McNeese (Southland),13,10-3,48,46,0,0,12,0,370,28.5
Southern U. (SWAC),13,9-4,49,47,0,0,13,0,380,29.2
Tennessee Tech (OVC),12,5-7,46,42,1,0,11,0,353,29.4
Illinois St. (MVFC),11,5-6,44,40,0,0,7,0,325,29.5
Lamar University (Southland),12,5-7,47,42,0,0,10,1,356,29.7
Texas Southern (SWAC),11,2-9,43,38,0,0,11,0,329,29.9
Coastal Carolina (Big South),15,12-3,61,55,3,0,10,0,457,30.5
Morgan St. (MEAC),12,5-7,49,42,1,0,9,1,367,30.6
Holy Cross (Patriot),12,3-9,51,45,2,0,4,0,367,30.6
Hampton (MEAC),12,4-8,48,39,2,0,11,2,368,30.7
Lehigh (Patriot),11,8-3,45,37,4,0,9,0,342,31.1
Charlotte (FCS Independent),11,5-6,47,39,1,0,6,1,343,31.2
Northern Colo. (Big Sky),12,1-11,48,41,2,0,14,0,375,31.3
Delaware (CAA),12,7-5,50,41,1,0,12,0,379,31.6
Murray St. (OVC),12,6-6,50,47,0,0,11,1,382,31.8
Northwestern St. (Southland),12,6-6,52,47,2,0,8,1,389,32.4
Presbyterian (Big South),11,3-8,47,44,1,0,10,0,358,32.5
Colgate (Patriot),12,4-8,51,43,3,0,12,0,391,32.6
Stetson (Pioneer),11,2-9,48,44,0,0,8,2,360,32.7
Elon (SoCon),12,2-10,51,46,1,0,13,0,393,32.8
Sacramento St. (Big Sky),12,5-7,54,48,1,0,8,0,398,33.2
Idaho St. (Big Sky),12,3-9,51,46,0,1,15,0,399,33.3
Wagner (NEC),11,3-8,48,45,0,0,11,0,366,33.3
Georgetown (Patriot),11,2-9,50,43,2,0,7,0,368,33.5
Rhode Island (CAA),12,3-9,53,51,0,0,11,0,402,33.5
North Dakota (Big Sky),11,3-8,49,44,2,0,9,1,371,33.7
Jacksonville (Pioneer),11,5-6,50,45,0,0,10,0,375,34.1
UAlbany (CAA),12,1-11,52,40,2,0,18,1,412,34.3
VMI (Big South),12,2-10,55,48,1,0,12,0,416,34.7
Cornell (Ivy League),10,3-7,45,39,1,0,14,0,353,35.3
Central Conn. St. (NEC),12,4-8,56,47,3,0,12,0,425,35.4
Indiana St. (MVFC),12,1-11,57,56,0,0,11,0,431,35.9
Prairie View (SWAC),12,6-6,58,48,1,0,11,0,431,35.9
Southeast Mo. St. (OVC),12,3-9,57,56,0,1,13,1,441,36.8
Houston Christian (FCS Independent),7,3-4,35,33,0,0,5,1,260,37.1
Campbell (Pioneer),12,3-9,61,51,4,0,8,1,451,37.6
Grambling (SWAC),11,1-10,54,49,2,0,15,1,424,38.5
Western Caro. (SoCon),12,2-10,62,58,1,1,11,0,467,38.9
Austin Peay (OVC),12,0-12,65,60,1,0,8,0,476,39.7
Columbia (Ivy League),10,0-10,52,49,1,0,13,0,402,40.2
Davidson (Pioneer),11,0-11,61,51,1,1,8,0,445,40.5
Ark.-Pine Bluff (SWAC),11,2-9,61,47,3,0,7,3,446,40.5
Weber St. (Big Sky),12,2-10,69,60,0,1,7,0,497,41.4
Savannah St. (MEAC),12,1-11,72,63,2,0,6,0,517,43.1
Nicholls (Southland),12,4-8,69,66,0,1,12,1,520,43.3
Valparaiso (Pioneer),11,1-10,67,54,0,0,11,2,493,44.8
Morehead St. (Pioneer),12,3-9,77,70,3,0,6,0,556,46.3
SFA (Southland),12,3-9,80,70,4,0,10,2,592,49.3
Abilene Christian (FCS Independent),11,6-5,36,32,1,1,10,0,282,25.6
UIW (FCS Independent),11,6-5,39,35,0,1,8,0,295,26.8
