Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Mercer (Pioneer),12,10-2,49,24,9,12,45,0.918
Youngstown St. (MVFC),12,8-4,47,24,14,5,43,0.915
Coastal Carolina (Big South),15,12-3,81,43,21,9,73,0.901
McNeese (Southland),13,10-3,58,27,16,9,52,0.897
Cal Poly (Big Sky),12,6-6,38,22,9,3,34,0.895
North Dakota St. (MVFC),15,15-0,65,28,22,8,58,0.892
Jacksonville (Pioneer),11,5-6,44,18,14,7,39,0.886
Jacksonville St. (OVC),15,11-4,70,38,7,17,62,0.886
Tennessee Tech (OVC),12,5-7,42,23,8,6,37,0.881
Butler (Pioneer),13,9-4,56,25,15,9,49,0.875
Villanova (CAA),11,6-5,48,23,11,8,42,0.875
Princeton (Ivy League),10,8-2,63,25,23,7,55,0.873
Liberty (Big South),12,8-4,55,31,11,6,48,0.873
Georgetown (Patriot),11,2-9,31,15,9,3,27,0.871
North Dakota (Big Sky),11,3-8,31,14,7,6,27,0.871
William & Mary (CAA),12,7-5,38,14,6,13,33,0.868
Morehead St. (Pioneer),12,3-9,38,20,8,5,33,0.868
Grambling (SWAC),11,1-10,30,9,12,5,26,0.867
Southeastern La. (Southland),14,11-3,67,34,11,13,58,0.866
Brown (Ivy League),10,6-4,36,9,12,10,31,0.861
Monmouth (FCS Independent),12,6-6,36,11,13,7,31,0.861
Richmond (CAA),12,6-6,49,11,21,10,42,0.857
Southern Ill. (MVFC),12,7-5,56,14,20,14,48,0.857
Florida A&M (MEAC),12,3-9,21,8,7,3,18,0.857
Eastern Ill. (OVC),14,12-2,69,26,26,7,59,0.855
Montana St. (Big Sky),12,7-5,48,29,8,4,41,0.854
Jackson St. (SWAC),11,7-4,41,18,5,12,35,0.854
Yale (Ivy League),10,5-5,34,11,10,8,29,0.853
Illinois St. (MVFC),11,5-6,34,12,8,9,29,0.853
Lehigh (Patriot),11,8-3,54,19,20,7,46,0.852
Eastern Ky. (OVC),12,6-6,46,22,10,7,39,0.848
Charleston So. (Big South),13,10-3,46,19,9,11,39,0.848
Sam Houston (Southland),14,9-5,65,31,18,6,55,0.846
Harvard (Ivy League),10,9-1,52,20,12,12,44,0.846
Lafayette (Patriot),12,5-7,39,13,12,8,33,0.846
South Carolina St. (MEAC),13,9-4,50,21,8,13,42,0.840
Lamar University (Southland),12,5-7,50,13,21,8,42,0.840
Hampton (MEAC),12,4-8,36,10,8,12,30,0.833
Eastern Wash. (Big Sky),15,12-3,60,18,26,6,50,0.833
Southern Utah (Big Sky),13,8-5,48,15,9,16,40,0.833
