Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
South Carolina St. (MEAC),13,9-4,101,55,628,129,9.9
Sacred Heart (NEC),13,10-3,88,80,527,128,9.8
Alabama St. (SWAC),12,8-4,91,50,541,116,9.7
Mississippi Val. (SWAC),11,2-9,76,40,446,96,8.7
Tennessee St. (OVC),14,10-4,81,60,437,111,7.9
Alabama A&M (SWAC),12,4-8,47,90,347,92,7.7
Jackson St. (SWAC),11,7-4,61,46,325,84,7.6
Portland St. (Big Sky),12,6-6,69,44,292,91,7.6
Bryant (NEC),12,5-7,72,38,375,91,7.6
Southeastern La. (Southland),14,11-3,78,54,377,105,7.5
Central Ark. (Southland),12,7-5,71,38,319,90,7.5
Florida A&M (MEAC),12,3-9,77,24,383,89,7.4
Marist (Pioneer),11,8-3,61,40,343,81,7.4
Bethune-Cookman (MEAC),13,10-3,66,57,390,95,7.3
Lamar University (Southland),12,5-7,56,62,319,87,7.3
Jacksonville (Pioneer),11,5-6,62,34,323,79,7.2
N.C. A&T (MEAC),11,7-4,56,46,338,79,7.2
N.C. Central (MEAC),12,5-7,62,48,287,86,7.2
Gardner-Webb (Big South),12,7-5,58,56,398,86,7.2
Jacksonville St. (OVC),15,11-4,92,30,488,107,7.1
Brown (Ivy League),10,6-4,58,26,323,71,7.1
South Dakota (MVFC),12,4-8,78,14,323,85,7.1
Mercer (Pioneer),12,10-2,66,38,366,85,7.1
Eastern Ill. (OVC),14,12-2,69,60,377,99,7.1
Hampton (MEAC),12,4-8,62,45,334,85,7.0
Penn (Ivy League),10,4-6,59,22,276,70,7.0
Princeton (Ivy League),10,8-2,55,30,325,70,7.0
Tennessee Tech (OVC),12,5-7,50,67,301,84,7.0
Charlotte (FCS Independent),11,5-6,67,18,320,76,6.9
Bucknell (Patriot),11,6-5,64,24,323,76,6.9
Prairie View (SWAC),12,6-6,55,54,332,82,6.8
Saint Francis (PA) (NEC),11,5-6,55,40,286,75,6.8
James Madison (CAA),12,6-6,55,52,355,81,6.8
Monmouth (FCS Independent),12,6-6,60,40,286,80,6.7
Delaware St. (MEAC),11,5-6,49,48,289,73,6.6
New Hampshire (CAA),15,10-5,77,44,388,99,6.6
UNI (MVFC),12,7-5,71,16,358,79,6.6
Murray St. (OVC),12,6-6,66,26,312,79,6.6
Grambling (SWAC),11,1-10,57,30,269,72,6.5
Stetson (Pioneer),11,2-9,54,36,254,72,6.5
Stony Brook (CAA),11,5-6,59,26,290,72,6.5
Eastern Ky. (OVC),12,6-6,54,48,246,78,6.5
Morehead St. (Pioneer),12,3-9,57,42,279,78,6.5
Drake (Pioneer),11,6-5,64,14,282,71,6.5
Wofford (SoCon),11,5-6,55,32,217,71,6.5
Dayton (Pioneer),11,7-4,51,38,250,70,6.4
Liberty (Big South),12,8-4,55,42,283,76,6.3
UT Martin (OVC),12,7-5,50,50,326,75,6.3
Northwestern St. (Southland),12,6-6,54,41,290,75,6.2
Rhode Island (CAA),12,3-9,50,48,264,74,6.2
San Diego (Pioneer),11,8-3,55,24,268,67,6.1
Wagner (NEC),11,3-8,52,30,230,67,6.1
Howard (MEAC),12,6-6,51,44,276,73,6.1
William & Mary (CAA),12,7-5,59,28,323,73,6.1
Northern Colo. (Big Sky),12,1-11,50,46,243,73,6.1
Maine (CAA),13,10-3,61,34,354,78,6.0
Montana (Big Sky),13,10-3,52,52,286,78,6.0
Charleston So. (Big South),13,10-3,59,38,325,78,6.0
SFA (Southland),12,3-9,52,40,255,72,6.0
Montana St. (Big Sky),12,7-5,62,20,250,72,6.0
Alcorn (SWAC),12,9-3,53,38,246,72,6.0
Texas Southern (SWAC),11,2-9,55,22,246,66,6.0
Georgetown (Patriot),11,2-9,50,32,202,66,6.0
Southern Ill. (MVFC),12,7-5,51,40,307,71,5.9
Harvard (Ivy League),10,9-1,45,28,261,59,5.9
South Dakota St. (MVFC),14,9-5,66,32,311,82,5.9
Lafayette (Patriot),12,5-7,58,24,264,70,5.8
Norfolk St. (MEAC),12,3-9,53,34,256,70,5.8
Duquesne (NEC),11,7-4,46,36,189,64,5.8
Sam Houston (Southland),14,9-5,59,44,308,81,5.8
Samford (SoCon),13,8-5,60,30,305,75,5.8
Villanova (CAA),11,6-5,53,20,231,63,5.7
Western Ill. (MVFC),12,4-8,53,30,247,68,5.7
Idaho St. (Big Sky),12,3-9,47,42,251,68,5.7
UAlbany (CAA),12,1-11,50,36,251,68,5.7
Robert Morris (NEC),11,5-6,44,36,244,62,5.6
Campbell (Pioneer),12,3-9,52,30,271,67,5.6
Youngstown St. (MVFC),12,8-4,51,32,219,67,5.6
Butler (Pioneer),13,9-4,60,22,258,71,5.5
Southern Utah (Big Sky),13,8-5,62,18,296,71,5.5
Illinois St. (MVFC),11,5-6,45,30,263,60,5.5
Furman (SoCon),14,8-6,57,38,291,76,5.4
Cal Poly (Big Sky),12,6-6,46,38,225,65,5.4
Indiana St. (MVFC),12,1-11,45,40,253,65,5.4
