Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
North Dakota St. (MVFC),15,15-0,195,108,0.554
Coastal Carolina (Big South),15,12-3,193,99,0.513
Fordham (Patriot),14,12-2,210,105,0.500
San Diego (Pioneer),11,8-3,141,70,0.496
Lehigh (Patriot),11,8-3,152,75,0.493
Southeastern La. (Southland),14,11-3,213,105,0.493
Richmond (CAA),12,6-6,175,86,0.491
Towson (CAA),16,13-3,204,100,0.490
Prairie View (SWAC),12,6-6,198,96,0.485
Eastern Wash. (Big Sky),15,12-3,183,88,0.481
Liberty (Big South),12,8-4,146,69,0.473
Howard (MEAC),12,6-6,206,97,0.471
Holy Cross (Patriot),12,3-9,172,80,0.465
Southern Ill. (MVFC),12,7-5,183,85,0.464
Central Conn. St. (NEC),12,4-8,196,91,0.464
Youngstown St. (MVFC),12,8-4,147,67,0.456
Butler (Pioneer),13,9-4,200,90,0.450
Princeton (Ivy League),10,8-2,170,76,0.447
Marist (Pioneer),11,8-3,159,71,0.447
Maine (CAA),13,10-3,184,82,0.446
Eastern Ill. (OVC),14,12-2,230,102,0.443
Eastern Ky. (OVC),12,6-6,192,85,0.443
Chattanooga (SoCon),12,8-4,161,71,0.441
Cal Poly (Big Sky),12,6-6,185,81,0.438
North Dakota (Big Sky),11,3-8,160,70,0.438
Charleston So. (Big South),13,10-3,197,85,0.431
Montana (Big Sky),13,10-3,182,78,0.429
Nicholls (Southland),12,4-8,177,75,0.424
Duquesne (NEC),11,7-4,180,76,0.422
Mercer (Pioneer),12,10-2,152,64,0.421
Montana St. (Big Sky),12,7-5,157,66,0.420
Jackson St. (SWAC),11,7-4,169,71,0.420
South Dakota St. (MVFC),14,9-5,198,83,0.419
Bethune-Cookman (MEAC),13,10-3,179,75,0.419
Yale (Ivy League),10,5-5,153,64,0.418
McNeese (Southland),13,10-3,195,81,0.415
Sam Houston (Southland),14,9-5,183,76,0.415
Lamar University (Southland),12,5-7,200,83,0.415
Georgetown (Patriot),11,2-9,181,75,0.414
Delaware (CAA),12,7-5,169,70,0.414
Colgate (Patriot),12,4-8,150,62,0.413
Southern U. (SWAC),13,9-4,187,77,0.412
Wofford (SoCon),11,5-6,168,69,0.411
Dartmouth (Ivy League),10,6-4,166,68,0.410
New Hampshire (CAA),15,10-5,221,90,0.407
Portland St. (Big Sky),12,6-6,178,72,0.404
Samford (SoCon),13,8-5,186,75,0.403
Northwestern St. (Southland),12,6-6,184,74,0.402
Harvard (Ivy League),10,9-1,137,55,0.401
Tennessee St. (OVC),14,10-4,207,83,0.401
Villanova (CAA),11,6-5,125,50,0.400
Central Ark. (Southland),12,7-5,198,79,0.399
James Madison (CAA),12,6-6,183,73,0.399
Jacksonville (Pioneer),11,5-6,158,63,0.399
Furman (SoCon),14,8-6,184,73,0.397
Campbell (Pioneer),12,3-9,164,65,0.396
Charlotte (FCS Independent),11,5-6,159,63,0.396
Monmouth (FCS Independent),12,6-6,175,69,0.394
Houston Christian (FCS Independent),7,3-4,107,42,0.393
Lafayette (Patriot),12,5-7,158,62,0.392
Jacksonville St. (OVC),15,11-4,235,92,0.391
Alcorn (SWAC),12,9-3,169,66,0.391
Missouri St. (MVFC),12,5-7,183,71,0.388
Sacramento St. (Big Sky),12,5-7,195,75,0.385
Gardner-Webb (Big South),12,7-5,188,72,0.383
Presbyterian (Big South),11,3-8,141,54,0.383
Dayton (Pioneer),11,7-4,149,57,0.383
Stony Brook (CAA),11,5-6,152,58,0.382
UT Martin (OVC),12,7-5,176,67,0.381
The Citadel (SoCon),12,5-7,163,62,0.380
UC Davis (Big Sky),12,5-7,182,69,0.379
Bucknell (Patriot),11,6-5,161,61,0.379
William & Mary (CAA),12,7-5,164,62,0.378
Delaware St. (MEAC),11,5-6,167,63,0.377
Murray St. (OVC),12,6-6,175,66,0.377
UNI (MVFC),12,7-5,179,67,0.374
Drake (Pioneer),11,6-5,158,59,0.373
Morgan St. (MEAC),12,5-7,159,59,0.371
Sacred Heart (NEC),13,10-3,200,74,0.370
Ark.-Pine Bluff (SWAC),11,2-9,134,49,0.366
Brown (Ivy League),10,6-4,140,51,0.364
Northern Colo. (Big Sky),12,1-11,165,60,0.364
Cornell (Ivy League),10,3-7,127,46,0.362
Penn (Ivy League),10,4-6,163,59,0.362
Tennessee Tech (OVC),12,5-7,188,68,0.362
South Carolina St. (MEAC),13,9-4,200,72,0.360
Southeast Mo. St. (OVC),12,3-9,170,61,0.359
SFA (Southland),12,3-9,188,67,0.356
Idaho St. (Big Sky),12,3-9,205,73,0.356
Illinois St. (MVFC),11,5-6,167,59,0.353
Western Ill. (MVFC),12,4-8,193,68,0.352
Bryant (NEC),12,5-7,179,63,0.352
VMI (Big South),12,2-10,167,58,0.347
Alabama St. (SWAC),12,8-4,176,61,0.347
Southern Utah (Big Sky),13,8-5,191,66,0.346
Northern Ariz. (Big Sky),12,9-3,181,62,0.343
Morehead St. (Pioneer),12,3-9,181,62,0.343
N.C. A&T (MEAC),11,7-4,160,54,0.338
South Dakota (MVFC),12,4-8,184,62,0.337
Elon (SoCon),12,2-10,184,61,0.332
Davidson (Pioneer),11,0-11,175,58,0.331
Alabama A&M (SWAC),12,4-8,186,60,0.323
Valparaiso (Pioneer),11,1-10,162,52,0.321
Western Caro. (SoCon),12,2-10,178,57,0.320
Rhode Island (CAA),12,3-9,193,60,0.311
Grambling (SWAC),11,1-10,161,50,0.311
Wagner (NEC),11,3-8,190,59,0.311
Mississippi Val. (SWAC),11,2-9,174,54,0.310
Texas Southern (SWAC),11,2-9,165,51,0.309
N.C. Central (MEAC),12,5-7,176,54,0.307
Saint Francis (PA) (NEC),11,5-6,160,49,0.306
UAlbany (CAA),12,1-11,177,52,0.294
Indiana St. (MVFC),12,1-11,177,51,0.288
Robert Morris (NEC),11,5-6,150,43,0.287
Weber St. (Big Sky),12,2-10,206,59,0.286
Hampton (MEAC),12,4-8,179,50,0.279
Norfolk St. (MEAC),12,3-9,173,47,0.272
Florida A&M (MEAC),12,3-9,149,40,0.268
Stetson (Pioneer),11,2-9,170,45,0.265
Austin Peay (OVC),12,0-12,183,48,0.262
Savannah St. (MEAC),12,1-11,182,46,0.253
Columbia (Ivy League),10,0-10,145,25,0.172
Abilene Christian (FCS Independent),11,6-5,142,62,0.437
UIW (FCS Independent),11,6-5,159,54,0.340
