Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Central Conn. St. (NEC),12,4-8,5,40,0.42
Cal Poly (Big Sky),12,6-6,6,35,0.50
The Citadel (SoCon),12,5-7,7,32,0.58
Brown (Ivy League),10,6-4,6,55,0.60
SFA (Southland),12,3-9,8,63,0.67
Elon (SoCon),12,2-10,9,60,0.75
Sacred Heart (NEC),13,10-3,10,44,0.77
Princeton (Ivy League),10,8-2,8,64,0.80
Portland St. (Big Sky),12,6-6,10,51,0.83
Southeastern La. (Southland),14,11-3,12,63,0.86
Charlotte (FCS Independent),11,5-6,10,62,0.91
Sam Houston (Southland),14,9-5,13,74,0.93
Towson (CAA),16,13-3,15,99,0.94
Yale (Ivy League),10,5-5,10,88,1.00
Butler (Pioneer),13,9-4,13,66,1.00
Presbyterian (Big South),11,3-8,11,69,1.00
Howard (MEAC),12,6-6,13,87,1.08
Colgate (Patriot),12,4-8,13,82,1.08
Lehigh (Patriot),11,8-3,12,76,1.09
South Carolina St. (MEAC),13,9-4,15,87,1.15
Charleston So. (Big South),13,10-3,15,94,1.15
Liberty (Big South),12,8-4,14,79,1.17
Southern Ill. (MVFC),12,7-5,14,62,1.17
North Dakota St. (MVFC),15,15-0,18,87,1.20
Montana (Big Sky),13,10-3,17,93,1.31
Rhode Island (CAA),12,3-9,16,91,1.33
UNI (MVFC),12,7-5,16,105,1.33
Youngstown St. (MVFC),12,8-4,16,88,1.33
Coastal Carolina (Big South),15,12-3,20,150,1.33
Alcorn (SWAC),12,9-3,16,102,1.33
Missouri St. (MVFC),12,5-7,16,94,1.33
Dayton (Pioneer),11,7-4,15,81,1.36
Duquesne (NEC),11,7-4,15,106,1.36
Eastern Ill. (OVC),14,12-2,20,127,1.43
Delaware (CAA),12,7-5,18,159,1.50
Sacramento St. (Big Sky),12,5-7,19,95,1.58
Southeast Mo. St. (OVC),12,3-9,19,133,1.58
Prairie View (SWAC),12,6-6,19,116,1.58
Jackson St. (SWAC),11,7-4,18,119,1.64
Wofford (SoCon),11,5-6,18,90,1.64
Northwestern St. (Southland),12,6-6,20,126,1.67
Morehead St. (Pioneer),12,3-9,20,144,1.67
Jacksonville St. (OVC),15,11-4,25,160,1.67
UT Martin (OVC),12,7-5,20,187,1.67
Houston Christian (FCS Independent),7,3-4,12,96,1.71
South Dakota (MVFC),12,4-8,21,121,1.75
Mercer (Pioneer),12,10-2,21,99,1.75
UC Davis (Big Sky),12,5-7,21,131,1.75
Western Ill. (MVFC),12,4-8,21,124,1.75
Western Caro. (SoCon),12,2-10,21,141,1.75
Eastern Wash. (Big Sky),15,12-3,27,170,1.80
N.C. A&T (MEAC),11,7-4,20,178,1.82
Stetson (Pioneer),11,2-9,20,137,1.82
Richmond (CAA),12,6-6,22,155,1.83
Central Ark. (Southland),12,7-5,22,177,1.83
Chattanooga (SoCon),12,8-4,22,125,1.83
Furman (SoCon),14,8-6,26,190,1.86
Penn (Ivy League),10,4-6,19,126,1.90
Florida A&M (MEAC),12,3-9,23,148,1.92
Eastern Ky. (OVC),12,6-6,23,172,1.92
McNeese (Southland),13,10-3,25,161,1.92
Mississippi Val. (SWAC),11,2-9,22,135,2.00
Morgan St. (MEAC),12,5-7,24,138,2.00
William & Mary (CAA),12,7-5,24,138,2.00
Maine (CAA),13,10-3,27,141,2.08
Austin Peay (OVC),12,0-12,25,165,2.08
Alabama A&M (SWAC),12,4-8,25,164,2.08
Tennessee St. (OVC),14,10-4,30,206,2.14
Campbell (Pioneer),12,3-9,26,157,2.17
Northern Colo. (Big Sky),12,1-11,26,157,2.17
Alabama St. (SWAC),12,8-4,26,190,2.17
Southern Utah (Big Sky),13,8-5,29,173,2.23
UAlbany (CAA),12,1-11,27,191,2.25
Montana St. (Big Sky),12,7-5,27,180,2.25
Hampton (MEAC),12,4-8,27,146,2.25
Illinois St. (MVFC),11,5-6,25,147,2.27
Southern U. (SWAC),13,9-4,30,190,2.31
Murray St. (OVC),12,6-6,28,139,2.33
Northern Ariz. (Big Sky),12,9-3,28,176,2.33
Fordham (Patriot),14,12-2,33,181,2.36
Grambling (SWAC),11,1-10,26,181,2.36
Samford (SoCon),13,8-5,31,200,2.38
Holy Cross (Patriot),12,3-9,29,170,2.42
New Hampshire (CAA),15,10-5,38,236,2.53
Bucknell (Patriot),11,6-5,28,192,2.55
Stony Brook (CAA),11,5-6,28,194,2.55
Ark.-Pine Bluff (SWAC),11,2-9,28,208,2.55
James Madison (CAA),12,6-6,31,185,2.58
Idaho St. (Big Sky),12,3-9,31,233,2.58
San Diego (Pioneer),11,8-3,29,212,2.64
Villanova (CAA),11,6-5,29,136,2.64
Tennessee Tech (OVC),12,5-7,32,204,2.67
Valparaiso (Pioneer),11,1-10,30,194,2.73
Robert Morris (NEC),11,5-6,31,221,2.82
Nicholls (Southland),12,4-8,34,188,2.83
Lamar University (Southland),12,5-7,34,177,2.83
Monmouth (FCS Independent),12,6-6,34,222,2.83
Bethune-Cookman (MEAC),13,10-3,37,267,2.85
Dartmouth (Ivy League),10,6-4,29,173,2.90
Harvard (Ivy League),10,9-1,29,176,2.90
Georgetown (Patriot),11,2-9,32,185,2.91
Wagner (NEC),11,3-8,32,211,2.91
Marist (Pioneer),11,8-3,32,205,2.91
Jacksonville (Pioneer),11,5-6,32,210,2.91
Bryant (NEC),12,5-7,35,220,2.92
Gardner-Webb (Big South),12,7-5,35,186,2.92
Weber St. (Big Sky),12,2-10,35,223,2.92
North Dakota (Big Sky),11,3-8,33,170,3.00
Saint Francis (PA) (NEC),11,5-6,34,251,3.09
Delaware St. (MEAC),11,5-6,34,194,3.09
N.C. Central (MEAC),12,5-7,38,246,3.17
South Dakota St. (MVFC),14,9-5,47,294,3.36
Norfolk St. (MEAC),12,3-9,41,238,3.42
Lafayette (Patriot),12,5-7,42,259,3.50
VMI (Big South),12,2-10,43,362,3.58
Indiana St. (MVFC),12,1-11,45,262,3.75
Drake (Pioneer),11,6-5,42,258,3.82
Cornell (Ivy League),10,3-7,39,289,3.90
Columbia (Ivy League),10,0-10,39,284,3.90
Texas Southern (SWAC),11,2-9,46,325,4.18
Davidson (Pioneer),11,0-11,48,322,4.36
Savannah St. (MEAC),12,1-11,59,336,4.92
UIW (FCS Independent),11,6-5,25,187,2.27
Abilene Christian (FCS Independent),11,6-5,26,184,2.36
