Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
The Citadel (SoCon),12,5-7,35,311,25.92
Colgate (Patriot),12,4-8,40,318,26.50
William & Mary (CAA),12,7-5,49,386,32.17
Chattanooga (SoCon),12,8-4,47,394,32.83
Lehigh (Patriot),11,8-3,45,399,36.27
Youngstown St. (MVFC),12,8-4,48,438,36.50
Wofford (SoCon),11,5-6,51,406,36.91
Delaware St. (MEAC),11,5-6,60,432,39.27
North Dakota St. (MVFC),15,15-0,73,610,40.67
Columbia (Ivy League),10,0-10,48,408,40.80
South Dakota St. (MVFC),14,9-5,61,573,40.93
Southern Utah (Big Sky),13,8-5,63,533,41.00
UC Davis (Big Sky),12,5-7,53,496,41.33
Furman (SoCon),14,8-6,64,585,41.79
Bucknell (Patriot),11,6-5,54,464,42.18
Villanova (CAA),11,6-5,47,465,42.27
Liberty (Big South),12,8-4,59,516,43.00
Monmouth (FCS Independent),12,6-6,53,518,43.17
Morehead St. (Pioneer),12,3-9,69,519,43.25
Duquesne (NEC),11,7-4,56,476,43.27
Southeast Mo. St. (OVC),12,3-9,60,521,43.42
Holy Cross (Patriot),12,3-9,65,521,43.42
Montana (Big Sky),13,10-3,61,566,43.54
Indiana St. (MVFC),12,1-11,54,523,43.58
Stetson (Pioneer),11,2-9,54,482,43.82
Northern Colo. (Big Sky),12,1-11,56,527,43.92
Southern Ill. (MVFC),12,7-5,62,530,44.17
Mercer (Pioneer),12,10-2,62,538,44.83
New Hampshire (CAA),15,10-5,71,673,44.87
Missouri St. (MVFC),12,5-7,61,547,45.58
Tennessee Tech (OVC),12,5-7,80,547,45.58
UNI (MVFC),12,7-5,59,549,45.75
Sam Houston (Southland),14,9-5,76,641,45.79
Rhode Island (CAA),12,3-9,58,552,46.00
Butler (Pioneer),13,9-4,60,602,46.31
Elon (SoCon),12,2-10,65,556,46.33
Dayton (Pioneer),11,7-4,54,522,47.45
San Diego (Pioneer),11,8-3,55,524,47.64
Murray St. (OVC),12,6-6,66,577,48.08
Lafayette (Patriot),12,5-7,67,577,48.08
Drake (Pioneer),11,6-5,60,529,48.09
Samford (SoCon),13,8-5,72,636,48.92
Valparaiso (Pioneer),11,1-10,57,539,49.00
Wagner (NEC),11,3-8,57,541,49.18
VMI (Big South),12,2-10,76,597,49.75
Illinois St. (MVFC),11,5-6,64,548,49.82
Richmond (CAA),12,6-6,67,602,50.17
Coastal Carolina (Big South),15,12-3,89,753,50.20
Montana St. (Big Sky),12,7-5,68,603,50.25
Princeton (Ivy League),10,8-2,57,503,50.30
Lamar University (Southland),12,5-7,69,606,50.50
Yale (Ivy League),10,5-5,49,506,50.60
Gardner-Webb (Big South),12,7-5,75,612,51.00
Delaware (CAA),12,7-5,68,614,51.17
Sacramento St. (Big Sky),12,5-7,75,617,51.42
Western Caro. (SoCon),12,2-10,75,618,51.50
Penn (Ivy League),10,4-6,59,521,52.10
Charlotte (FCS Independent),11,5-6,70,587,53.36
Cal Poly (Big Sky),12,6-6,65,644,53.67
Austin Peay (OVC),12,0-12,80,645,53.75
Presbyterian (Big South),11,3-8,67,606,55.09
Southeastern La. (Southland),14,11-3,101,778,55.57
Davidson (Pioneer),11,0-11,63,612,55.64
Robert Morris (NEC),11,5-6,75,613,55.73
Stony Brook (CAA),11,5-6,69,617,56.09
Maine (CAA),13,10-3,77,731,56.23
McNeese (Southland),13,10-3,82,735,56.54
Harvard (Ivy League),10,9-1,72,568,56.80
South Dakota (MVFC),12,4-8,81,693,57.75
Savannah St. (MEAC),12,1-11,89,696,58.00
Nicholls (Southland),12,4-8,84,696,58.00
Central Conn. St. (NEC),12,4-8,84,700,58.33
Towson (CAA),16,13-3,110,936,58.50
Dartmouth (Ivy League),10,6-4,64,588,58.80
Marist (Pioneer),11,8-3,78,648,58.91
Charleston So. (Big South),13,10-3,96,768,59.08
UAlbany (CAA),12,1-11,78,710,59.17
Norfolk St. (MEAC),12,3-9,83,711,59.25
Georgetown (Patriot),11,2-9,82,652,59.27
Eastern Ky. (OVC),12,6-6,85,712,59.33
North Dakota (Big Sky),11,3-8,76,664,60.36
Howard (MEAC),12,6-6,87,726,60.50
Cornell (Ivy League),10,3-7,72,610,61.00
Central Ark. (Southland),12,7-5,75,736,61.33
Northern Ariz. (Big Sky),12,9-3,74,740,61.67
James Madison (CAA),12,6-6,78,741,61.75
Western Ill. (MVFC),12,4-8,88,751,62.58
Houston Christian (FCS Independent),7,3-4,51,442,63.14
Idaho St. (Big Sky),12,3-9,79,761,63.42
Fordham (Patriot),14,12-2,105,890,63.57
Alcorn (SWAC),12,9-3,86,764,63.67
Northwestern St. (Southland),12,6-6,92,765,63.75
Southern U. (SWAC),13,9-4,100,832,64.00
Brown (Ivy League),10,6-4,74,641,64.10
Morgan St. (MEAC),12,5-7,95,777,64.75
Bryant (NEC),12,5-7,85,778,64.83
Weber St. (Big Sky),12,2-10,73,780,65.00
Eastern Wash. (Big Sky),15,12-3,95,976,65.07
Sacred Heart (NEC),13,10-3,84,855,65.77
Florida A&M (MEAC),12,3-9,101,795,66.25
Jacksonville St. (OVC),15,11-4,106,1001,66.73
Jackson St. (SWAC),11,7-4,78,741,67.36
Ark.-Pine Bluff (SWAC),11,2-9,93,744,67.64
N.C. A&T (MEAC),11,7-4,80,748,68.00
Saint Francis (PA) (NEC),11,5-6,78,751,68.27
South Carolina St. (MEAC),13,9-4,94,892,68.62
Campbell (Pioneer),12,3-9,101,863,71.92
Mississippi Val. (SWAC),11,2-9,89,800,72.73
Alabama A&M (SWAC),12,4-8,92,899,74.92
Eastern Ill. (OVC),14,12-2,136,1055,75.36
Hampton (MEAC),12,4-8,105,915,76.25
Tennessee St. (OVC),14,10-4,123,1072,76.57
N.C. Central (MEAC),12,5-7,109,920,76.67
SFA (Southland),12,3-9,105,926,77.17
UT Martin (OVC),12,7-5,103,951,79.25
Texas Southern (SWAC),11,2-9,94,887,80.64
Portland St. (Big Sky),12,6-6,109,976,81.33
Prairie View (SWAC),12,6-6,111,981,81.75
Jacksonville (Pioneer),11,5-6,106,928,84.36
Grambling (SWAC),11,1-10,98,934,84.91
Bethune-Cookman (MEAC),13,10-3,132,1183,91.00
Alabama St. (SWAC),12,8-4,124,1123,93.58
UIW (FCS Independent),11,6-5,70,659,59.91
Abilene Christian (FCS Independent),11,6-5,75,711,64.64
