Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Jackson St. (SWAC),11,7-4,13,16,0.813
Coastal Carolina (Big South),15,12-3,8,10,0.800
Lehigh (Patriot),11,8-3,15,20,0.750
Alabama St. (SWAC),12,8-4,6,8,0.750
Sacred Heart (NEC),13,10-3,8,11,0.727
Towson (CAA),16,13-3,26,36,0.722
Mercer (Pioneer),12,10-2,15,21,0.714
Elon (SoCon),12,2-10,9,13,0.692
Howard (MEAC),12,6-6,17,25,0.680
North Dakota St. (MVFC),15,15-0,12,18,0.667
Brown (Ivy League),10,6-4,10,15,0.667
Youngstown St. (MVFC),12,8-4,10,15,0.667
Missouri St. (MVFC),12,5-7,10,15,0.667
Liberty (Big South),12,8-4,6,9,0.667
Central Conn. St. (NEC),12,4-8,17,26,0.654
Cornell (Ivy League),10,3-7,11,17,0.647
The Citadel (SoCon),12,5-7,23,36,0.639
Alcorn (SWAC),12,9-3,14,22,0.636
Penn (Ivy League),10,4-6,10,16,0.625
Murray St. (OVC),12,6-6,13,21,0.619
Stetson (Pioneer),11,2-9,16,26,0.615
Harvard (Ivy League),10,9-1,8,13,0.615
Presbyterian (Big South),11,3-8,11,18,0.611
Eastern Ill. (OVC),14,12-2,28,46,0.609
Cal Poly (Big Sky),12,6-6,14,23,0.609
Weber St. (Big Sky),12,2-10,14,23,0.609
McNeese (Southland),13,10-3,14,23,0.609
Montana (Big Sky),13,10-3,15,25,0.600
Holy Cross (Patriot),12,3-9,15,25,0.600
Sacramento St. (Big Sky),12,5-7,15,25,0.600
Northern Ariz. (Big Sky),12,9-3,9,15,0.600
Bucknell (Patriot),11,6-5,9,15,0.600
Samford (SoCon),13,8-5,6,10,0.600
Bethune-Cookman (MEAC),13,10-3,19,32,0.594
Austin Peay (OVC),12,0-12,13,22,0.591
North Dakota (Big Sky),11,3-8,10,17,0.588
New Hampshire (CAA),15,10-5,14,24,0.583
Georgetown (Patriot),11,2-9,12,21,0.571
Chattanooga (SoCon),12,8-4,12,21,0.571
Prairie View (SWAC),12,6-6,12,21,0.571
Delaware (CAA),12,7-5,8,14,0.571
Princeton (Ivy League),10,8-2,13,23,0.565
Grambling (SWAC),11,1-10,9,16,0.563
Tennessee Tech (OVC),12,5-7,14,25,0.560
Nicholls (Southland),12,4-8,14,25,0.560
Jacksonville St. (OVC),15,11-4,15,27,0.556
Fordham (Patriot),14,12-2,10,18,0.556
Charlotte (FCS Independent),11,5-6,11,20,0.550
Morgan St. (MEAC),12,5-7,12,22,0.545
Montana St. (Big Sky),12,7-5,6,11,0.545
Richmond (CAA),12,6-6,6,11,0.545
Dartmouth (Ivy League),10,6-4,13,24,0.542
Eastern Wash. (Big Sky),15,12-3,13,24,0.542
Villanova (CAA),11,6-5,7,13,0.538
Saint Francis (PA) (NEC),11,5-6,7,13,0.538
Hampton (MEAC),12,4-8,11,21,0.524
Southeast Mo. St. (OVC),12,3-9,13,25,0.520
Wofford (SoCon),11,5-6,18,35,0.514
UAlbany (CAA),12,1-11,20,40,0.500
Morehead St. (Pioneer),12,3-9,16,32,0.500
Norfolk St. (MEAC),12,3-9,12,24,0.500
South Carolina St. (MEAC),13,9-4,12,24,0.500
Idaho St. (Big Sky),12,3-9,11,22,0.500
Stony Brook (CAA),11,5-6,9,18,0.500
Furman (SoCon),14,8-6,8,16,0.500
Southern Utah (Big Sky),13,8-5,8,16,0.500
Delaware St. (MEAC),11,5-6,8,16,0.500
Illinois St. (MVFC),11,5-6,8,16,0.500
UNI (MVFC),12,7-5,6,12,0.500
Tennessee St. (OVC),14,10-4,6,12,0.500
Butler (Pioneer),13,9-4,13,27,0.481
UT Martin (OVC),12,7-5,13,27,0.481
Southeastern La. (Southland),14,11-3,11,23,0.478
Campbell (Pioneer),12,3-9,16,34,0.471
Western Ill. (MVFC),12,4-8,16,34,0.471
Colgate (Patriot),12,4-8,8,17,0.471
Maine (CAA),13,10-3,7,15,0.467
Sam Houston (Southland),14,9-5,13,28,0.464
Indiana St. (MVFC),12,1-11,12,26,0.462
Southern U. (SWAC),13,9-4,12,26,0.462
Yale (Ivy League),10,5-5,6,13,0.462
Southern Ill. (MVFC),12,7-5,6,13,0.462
James Madison (CAA),12,6-6,9,20,0.450
Central Ark. (Southland),12,7-5,12,27,0.444
Charleston So. (Big South),13,10-3,8,18,0.444
Western Caro. (SoCon),12,2-10,8,18,0.444
Davidson (Pioneer),11,0-11,12,28,0.429
Gardner-Webb (Big South),12,7-5,9,21,0.429
Portland St. (Big Sky),12,6-6,12,29,0.414
San Diego (Pioneer),11,8-3,7,17,0.412
Jacksonville (Pioneer),11,5-6,7,17,0.412
Marist (Pioneer),11,8-3,7,17,0.412
Wagner (NEC),11,3-8,9,22,0.409
South Dakota St. (MVFC),14,9-5,8,20,0.400
N.C. Central (MEAC),12,5-7,7,18,0.389
Lamar University (Southland),12,5-7,7,18,0.389
Alabama A&M (SWAC),12,4-8,10,26,0.385
Lafayette (Patriot),12,5-7,8,21,0.381
South Dakota (MVFC),12,4-8,8,21,0.381
SFA (Southland),12,3-9,11,29,0.379
N.C. A&T (MEAC),11,7-4,6,16,0.375
VMI (Big South),12,2-10,6,16,0.375
Ark.-Pine Bluff (SWAC),11,2-9,7,19,0.368
Valparaiso (Pioneer),11,1-10,8,22,0.364
Eastern Ky. (OVC),12,6-6,8,22,0.364
Savannah St. (MEAC),12,1-11,10,28,0.357
Texas Southern (SWAC),11,2-9,5,14,0.357
Dayton (Pioneer),11,7-4,7,20,0.350
Drake (Pioneer),11,6-5,6,19,0.316
Robert Morris (NEC),11,5-6,5,16,0.313
Houston Christian (FCS Independent),7,3-4,4,13,0.308
Bryant (NEC),12,5-7,9,31,0.290
Mississippi Val. (SWAC),11,2-9,7,25,0.280
Duquesne (NEC),11,7-4,3,11,0.273
Northwestern St. (Southland),12,6-6,3,11,0.273
Florida A&M (MEAC),12,3-9,3,11,0.273
Northern Colo. (Big Sky),12,1-11,7,26,0.269
Columbia (Ivy League),10,0-10,4,16,0.250
Rhode Island (CAA),12,3-9,6,25,0.240
Monmouth (FCS Independent),12,6-6,4,19,0.211
UC Davis (Big Sky),12,5-7,2,10,0.200
William & Mary (CAA),12,7-5,2,11,0.182
Abilene Christian (FCS Independent),11,6-5,12,19,0.632
UIW (FCS Independent),11,6-5,14,28,0.500
