Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Florida A&M (MEAC),12,3-9,155,273,1504,12,5.51,9.70,125.3
South Carolina St. (MEAC),13,9-4,175,366,1912,8,5.22,10.93,147.1
Western Ill. (MVFC),12,4-8,160,297,1788,13,6.02,11.18,149.0
Bethune-Cookman (MEAC),13,10-3,162,326,1939,13,5.95,11.97,149.2
Chattanooga (SoCon),12,8-4,173,282,1819,11,6.45,10.51,151.6
Norfolk St. (MEAC),12,3-9,148,284,1908,12,6.72,12.89,159.0
Saint Francis (PA) (NEC),11,5-6,158,297,1779,15,5.99,11.26,161.7
North Dakota St. (MVFC),15,15-0,223,440,2469,10,5.61,11.07,164.6
South Dakota (MVFC),12,4-8,167,300,2053,17,6.84,12.29,171.1
Gardner-Webb (Big South),12,7-5,185,341,2091,17,6.13,11.30,174.3
Tennessee St. (OVC),14,10-4,217,428,2451,15,5.73,11.29,175.1
Hampton (MEAC),12,4-8,192,369,2109,9,5.72,10.98,175.8
Maine (CAA),13,10-3,180,381,2300,17,6.04,12.78,176.9
Indiana St. (MVFC),12,1-11,172,279,2128,17,7.63,12.37,177.3
Morgan St. (MEAC),12,5-7,176,305,2140,15,7.02,12.16,178.3
Liberty (Big South),12,8-4,199,336,2143,15,6.38,10.77,178.6
Jacksonville St. (OVC),15,11-4,229,480,2757,22,5.74,12.04,183.8
Western Caro. (SoCon),12,2-10,167,270,2217,21,8.21,13.28,184.8
Austin Peay (OVC),12,0-12,188,280,2229,19,7.96,11.86,185.8
Robert Morris (NEC),11,5-6,173,329,2056,19,6.25,11.88,186.9
William & Mary (CAA),12,7-5,242,409,2249,8,5.50,9.29,187.4
N.C. A&T (MEAC),11,7-4,192,371,2064,16,5.56,10.75,187.6
Alcorn (SWAC),12,9-3,172,351,2259,18,6.44,13.13,188.3
Samford (SoCon),13,8-5,204,339,2463,15,7.27,12.07,189.5
Duquesne (NEC),11,7-4,175,324,2095,14,6.47,11.97,190.5
Northern Ariz. (Big Sky),12,9-3,186,365,2289,13,6.27,12.31,190.8
Howard (MEAC),12,6-6,184,339,2318,15,6.84,12.60,193.2
Central Conn. St. (NEC),12,4-8,165,295,2320,23,7.86,14.06,193.3
Fordham (Patriot),14,12-2,231,427,2719,19,6.37,11.77,194.2
Stony Brook (CAA),11,5-6,192,327,2147,19,6.57,11.18,195.2
Stetson (Pioneer),11,2-9,165,305,2148,16,7.04,13.02,195.3
Lamar University (Southland),12,5-7,211,380,2371,20,6.24,11.24,197.6
Presbyterian (Big South),11,3-8,143,251,2187,16,8.71,15.29,198.8
Alabama A&M (SWAC),12,4-8,167,325,2399,18,7.38,14.37,199.9
UC Davis (Big Sky),12,5-7,198,349,2400,12,6.88,12.12,200.0
Jacksonville (Pioneer),11,5-6,170,313,2201,16,7.03,12.95,200.1
UNI (MVFC),12,7-5,217,391,2435,15,6.23,11.22,202.9
Eastern Ill. (OVC),14,12-2,271,502,2857,21,5.69,10.54,204.1
Lafayette (Patriot),12,5-7,224,390,2456,21,6.30,10.96,204.7
Ark.-Pine Bluff (SWAC),11,2-9,167,265,2264,20,8.54,13.56,205.8
Savannah St. (MEAC),12,1-11,197,304,2479,26,8.15,12.58,206.6
Houston Christian (FCS Independent),7,3-4,110,205,1451,14,7.08,13.19,207.3
Delaware St. (MEAC),11,5-6,195,296,2284,20,7.72,11.71,207.6
Furman (SoCon),14,8-6,246,376,2907,15,7.73,11.82,207.6
Southeast Mo. St. (OVC),12,3-9,187,310,2506,16,8.08,13.40,208.8
Dartmouth (Ivy League),10,6-4,217,381,2102,11,5.52,9.69,210.2
Charleston So. (Big South),13,10-3,226,374,2745,15,7.34,12.15,211.2
Southern U. (SWAC),13,9-4,243,402,2747,20,6.83,11.30,211.3
Brown (Ivy League),10,6-4,179,341,2125,12,6.23,11.87,212.5
The Citadel (SoCon),12,5-7,217,328,2572,21,7.84,11.85,214.3
Texas Southern (SWAC),11,2-9,186,340,2387,17,7.02,12.83,217.0
Mississippi Val. (SWAC),11,2-9,186,338,2387,20,7.06,12.83,217.0
Missouri St. (MVFC),12,5-7,246,410,2616,19,6.38,10.63,218.0
Bryant (NEC),12,5-7,204,364,2627,23,7.22,12.88,218.9
Princeton (Ivy League),10,8-2,202,374,2192,14,5.86,10.85,219.2
South Dakota St. (MVFC),14,9-5,237,412,3073,18,7.46,12.97,219.5
Southern Utah (Big Sky),13,8-5,270,440,2854,22,6.49,10.57,219.5
Sacred Heart (NEC),13,10-3,236,459,2864,19,6.24,12.14,220.3
Richmond (CAA),12,6-6,231,374,2644,12,7.07,11.45,220.3
Monmouth (FCS Independent),12,6-6,209,384,2647,16,6.89,12.67,220.6
Wofford (SoCon),11,5-6,229,349,2427,12,6.95,10.60,220.6
Idaho St. (Big Sky),12,3-9,199,356,2657,21,7.46,13.35,221.4
UT Martin (OVC),12,7-5,215,393,2664,24,6.78,12.39,222.0
Southeastern La. (Southland),14,11-3,242,457,3117,22,6.82,12.88,222.6
Tennessee Tech (OVC),12,5-7,237,373,2676,22,7.17,11.29,223.0
Nicholls (Southland),12,4-8,235,366,2679,22,7.32,11.40,223.3
Wagner (NEC),11,3-8,209,322,2456,24,7.63,11.75,223.3
Rhode Island (CAA),12,3-9,215,335,2681,21,8.00,12.47,223.4
N.C. Central (MEAC),12,5-7,257,424,2691,15,6.35,10.47,224.3
Montana St. (Big Sky),12,7-5,255,404,2693,15,6.67,10.56,224.4
Illinois St. (MVFC),11,5-6,186,348,2470,26,7.10,13.28,224.5
Drake (Pioneer),11,6-5,226,391,2472,16,6.32,10.94,224.7
Jackson St. (SWAC),11,7-4,172,335,2503,20,7.47,14.55,227.5
