Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Missouri St. (MVFC),12,5-7,37,10,8,6,24,0.649
Central Ark. (Southland),12,7-5,38,9,11,5,25,0.658
Liberty (Big South),12,8-4,30,10,7,3,20,0.667
South Carolina St. (MEAC),13,9-4,33,10,5,7,22,0.667
Yale (Ivy League),10,5-5,33,11,6,5,22,0.667
North Dakota St. (MVFC),15,15-0,27,6,6,6,18,0.667
Butler (Pioneer),13,9-4,46,13,13,5,31,0.674
Furman (SoCon),14,8-6,55,20,8,10,38,0.691
Montana (Big Sky),13,10-3,41,10,12,7,29,0.707
N.C. Central (MEAC),12,5-7,59,23,10,9,42,0.712
Alabama St. (SWAC),12,8-4,35,10,12,3,25,0.714
Southeastern La. (Southland),14,11-3,49,18,12,5,35,0.714
Texas Southern (SWAC),11,2-9,49,19,8,8,35,0.714
Southern Utah (Big Sky),13,8-5,43,13,13,5,31,0.721
Marist (Pioneer),11,8-3,36,10,11,5,26,0.722
Stetson (Pioneer),11,2-9,36,14,5,7,26,0.722
Jacksonville St. (OVC),15,11-4,59,13,16,14,43,0.729
Sacred Heart (NEC),13,10-3,41,10,13,7,30,0.732
Robert Morris (NEC),11,5-6,34,9,9,7,25,0.735
South Dakota St. (MVFC),14,9-5,53,22,9,8,39,0.736
Cal Poly (Big Sky),12,6-6,38,5,14,9,28,0.737
Eastern Ill. (OVC),14,12-2,58,14,18,11,43,0.741
Davidson (Pioneer),11,0-11,59,28,10,6,44,0.746
Fordham (Patriot),14,12-2,52,21,11,7,39,0.750
UC Davis (Big Sky),12,5-7,40,17,6,7,30,0.750
Dayton (Pioneer),11,7-4,40,12,10,8,30,0.750
Bethune-Cookman (MEAC),13,10-3,36,10,9,8,27,0.750
N.C. A&T (MEAC),11,7-4,24,3,9,6,18,0.750
VMI (Big South),12,2-10,56,23,11,8,42,0.750
Grambling (SWAC),11,1-10,61,20,16,10,46,0.754
Towson (CAA),16,13-3,61,19,17,10,46,0.754
Florida A&M (MEAC),12,3-9,45,20,9,5,34,0.756
Monmouth (FCS Independent),12,6-6,41,11,11,9,31,0.756
Delaware St. (MEAC),11,5-6,41,14,11,6,31,0.756
William & Mary (CAA),12,7-5,33,11,6,8,25,0.758
Brown (Ivy League),10,6-4,29,12,7,3,22,0.759
Western Caro. (SoCon),12,2-10,54,23,12,6,41,0.759
UT Martin (OVC),12,7-5,38,13,12,4,29,0.763
Delaware (CAA),12,7-5,48,16,12,9,37,0.771
Sam Houston (Southland),14,9-5,48,15,14,8,37,0.771
Richmond (CAA),12,6-6,44,14,9,11,34,0.773
Maine (CAA),13,10-3,40,17,10,4,31,0.775
UNI (MVFC),12,7-5,40,9,11,11,31,0.775
Charleston So. (Big South),13,10-3,45,19,9,7,35,0.778
Coastal Carolina (Big South),15,12-3,68,26,18,9,53,0.779
Penn (Ivy League),10,4-6,41,14,15,3,32,0.780
Jackson St. (SWAC),11,7-4,41,10,9,13,32,0.780
South Dakota (MVFC),12,4-8,32,15,7,3,25,0.781
Wofford (SoCon),11,5-6,46,18,6,12,36,0.783
Southern Ill. (MVFC),12,7-5,42,9,15,9,33,0.786
James Madison (CAA),12,6-6,42,10,15,8,33,0.786
McNeese (Southland),13,10-3,47,15,13,9,37,0.787
North Dakota (Big Sky),11,3-8,48,21,10,7,38,0.792
Harvard (Ivy League),10,9-1,39,10,15,6,31,0.795
Western Ill. (MVFC),12,4-8,39,17,10,4,31,0.795
The Citadel (SoCon),12,5-7,49,21,12,6,39,0.796
Murray St. (OVC),12,6-6,59,27,13,7,47,0.797
Columbia (Ivy League),10,0-10,60,20,19,9,48,0.800
Gardner-Webb (Big South),12,7-5,30,12,9,3,24,0.800
Northern Ariz. (Big Sky),12,9-3,30,8,9,7,24,0.800
Hampton (MEAC),12,4-8,56,30,5,10,45,0.804
Charlotte (FCS Independent),11,5-6,51,27,10,4,41,0.804
Tennessee St. (OVC),14,10-4,36,10,10,9,29,0.806
Duquesne (NEC),11,7-4,31,13,7,5,25,0.806
Nicholls (Southland),12,4-8,68,31,15,9,55,0.809
Norfolk St. (MEAC),12,3-9,42,16,7,11,34,0.810
Eastern Ky. (OVC),12,6-6,42,12,14,8,34,0.810
UAlbany (CAA),12,1-11,58,25,11,11,47,0.810
Bryant (NEC),12,5-7,37,10,13,7,30,0.811
Indiana St. (MVFC),12,1-11,53,23,11,9,43,0.811
Savannah St. (MEAC),12,1-11,69,32,18,6,56,0.812
Sacramento St. (Big Sky),12,5-7,48,20,14,5,39,0.813
Rhode Island (CAA),12,3-9,48,19,11,9,39,0.813
New Hampshire (CAA),15,10-5,59,16,17,15,48,0.814
Morgan St. (MEAC),12,5-7,49,24,8,8,40,0.816
Portland St. (Big Sky),12,6-6,49,14,15,11,40,0.816
Howard (MEAC),12,6-6,44,22,8,6,36,0.818
Mississippi Val. (SWAC),11,2-9,44,16,12,8,36,0.818
Alabama A&M (SWAC),12,4-8,44,15,7,14,36,0.818
Idaho St. (Big Sky),12,3-9,55,19,13,13,45,0.818
Eastern Wash. (Big Sky),15,12-3,61,23,17,10,50,0.820
Dartmouth (Ivy League),10,6-4,34,9,7,12,28,0.824
Youngstown St. (MVFC),12,8-4,46,12,19,7,38,0.826
San Diego (Pioneer),11,8-3,30,8,13,4,25,0.833
Mercer (Pioneer),12,10-2,36,15,11,4,30,0.833
Samford (SoCon),13,8-5,42,20,6,9,35,0.833
Georgetown (Patriot),11,2-9,55,21,20,5,46,0.836
Lamar University (Southland),12,5-7,49,21,14,6,41,0.837
Holy Cross (Patriot),12,3-9,43,21,13,2,36,0.837
Villanova (CAA),11,6-5,37,14,9,8,31,0.838
Bucknell (Patriot),11,6-5,31,11,8,7,26,0.839
Wagner (NEC),11,3-8,50,17,15,10,42,0.840
Prairie View (SWAC),12,6-6,57,23,14,11,48,0.842
Morehead St. (Pioneer),12,3-9,59,29,18,3,50,0.847
Southern U. (SWAC),13,9-4,59,21,16,13,50,0.847
Alcorn (SWAC),12,9-3,40,17,10,7,34,0.850
Tennessee Tech (OVC),12,5-7,40,16,11,7,34,0.850
Drake (Pioneer),11,6-5,27,6,11,6,23,0.852
Montana St. (Big Sky),12,7-5,41,19,11,5,35,0.854
Valparaiso (Pioneer),11,1-10,55,28,11,8,47,0.855
Cornell (Ivy League),10,3-7,49,15,13,14,42,0.857
Ark.-Pine Bluff (SWAC),11,2-9,49,27,10,5,42,0.857
Weber St. (Big Sky),12,2-10,56,27,15,6,48,0.857
Presbyterian (Big South),11,3-8,50,25,8,10,43,0.860
Lehigh (Patriot),11,8-3,46,23,8,9,40,0.870
Colgate (Patriot),12,4-8,54,25,12,10,47,0.870
Lafayette (Patriot),12,5-7,47,16,18,7,41,0.872
Elon (SoCon),12,2-10,48,24,7,11,42,0.875
Saint Francis (PA) (NEC),11,5-6,33,10,11,8,29,0.879
Stony Brook (CAA),11,5-6,34,8,12,10,30,0.882
Princeton (Ivy League),10,8-2,28,11,7,7,25,0.893
Campbell (Pioneer),12,3-9,47,24,13,5,42,0.894
Central Conn. St. (NEC),12,4-8,48,20,14,9,43,0.896
Northwestern St. (Southland),12,6-6,48,25,10,8,43,0.896
Jacksonville (Pioneer),11,5-6,48,28,6,9,43,0.896
SFA (Southland),12,3-9,58,26,17,9,52,0.897
Southeast Mo. St. (OVC),12,3-9,60,36,7,11,54,0.900
Houston Christian (FCS Independent),7,3-4,32,18,7,4,29,0.906
Chattanooga (SoCon),12,8-4,33,14,4,12,30,0.909
Austin Peay (OVC),12,0-12,56,34,11,6,51,0.911
Northern Colo. (Big Sky),12,1-11,47,15,17,11,43,0.915
Illinois St. (MVFC),11,5-6,38,14,14,7,35,0.921
UIW (FCS Independent),11,6-5,38,15,8,7,30,0.789
Abilene Christian (FCS Independent),11,6-5,42,11,13,10,34,0.810
