Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
North Dakota St. (MVFC),15,15-0,54,205,0.263
South Carolina St. (MEAC),13,9-4,55,201,0.274
Tennessee St. (OVC),14,10-4,52,190,0.274
Alabama A&M (SWAC),12,4-8,48,159,0.302
Stetson (Pioneer),11,2-9,45,148,0.304
N.C. A&T (MEAC),11,7-4,57,182,0.313
Brown (Ivy League),10,6-4,46,145,0.317
Monmouth (FCS Independent),12,6-6,55,173,0.318
UT Martin (OVC),12,7-5,58,181,0.320
Norfolk St. (MEAC),12,3-9,53,165,0.321
Gardner-Webb (Big South),12,7-5,55,171,0.322
Alabama St. (SWAC),12,8-4,68,210,0.324
Princeton (Ivy League),10,8-2,49,150,0.327
Drake (Pioneer),11,6-5,59,179,0.330
William & Mary (CAA),12,7-5,61,185,0.330
Bethune-Cookman (MEAC),13,10-3,54,163,0.331
Marist (Pioneer),11,8-3,55,166,0.331
Eastern Ill. (OVC),14,12-2,77,231,0.333
Jackson St. (SWAC),11,7-4,53,159,0.333
Charleston So. (Big South),13,10-3,51,153,0.333
Jacksonville St. (OVC),15,11-4,82,245,0.335
Alcorn (SWAC),12,9-3,57,168,0.339
Saint Francis (PA) (NEC),11,5-6,56,165,0.339
Northern Ariz. (Big Sky),12,9-3,61,175,0.349
Robert Morris (NEC),11,5-6,60,172,0.349
Bryant (NEC),12,5-7,65,185,0.351
Howard (MEAC),12,6-6,57,162,0.352
Liberty (Big South),12,8-4,56,159,0.352
Southeastern La. (Southland),14,11-3,72,203,0.355
Duquesne (NEC),11,7-4,58,163,0.356
Western Ill. (MVFC),12,4-8,61,171,0.357
Tennessee Tech (OVC),12,5-7,64,178,0.360
Richmond (CAA),12,6-6,57,158,0.361
Texas Southern (SWAC),11,2-9,56,155,0.361
UNI (MVFC),12,7-5,71,196,0.362
Wagner (NEC),11,3-8,56,154,0.364
Dartmouth (Ivy League),10,6-4,62,170,0.365
Missouri St. (MVFC),12,5-7,69,189,0.365
