Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
South Dakota (MVFC),12,4-8,3,13,0.231
Gardner-Webb (Big South),12,7-5,6,24,0.250
Southeastern La. (Southland),14,11-3,8,31,0.258
Drake (Pioneer),11,6-5,6,22,0.273
Dayton (Pioneer),11,7-4,6,22,0.273
Houston Christian (FCS Independent),7,3-4,3,11,0.273
Maine (CAA),13,10-3,6,21,0.286
The Citadel (SoCon),12,5-7,5,17,0.294
Central Ark. (Southland),12,7-5,5,17,0.294
Northern Ariz. (Big Sky),12,9-3,5,17,0.294
Bethune-Cookman (MEAC),13,10-3,7,23,0.304
Stony Brook (CAA),11,5-6,5,16,0.313
Sacred Heart (NEC),13,10-3,9,27,0.333
Penn (Ivy League),10,4-6,5,15,0.333
South Carolina St. (MEAC),13,9-4,9,26,0.346
N.C. A&T (MEAC),11,7-4,8,23,0.348
Youngstown St. (MVFC),12,8-4,7,20,0.350
South Dakota St. (MVFC),14,9-5,6,17,0.353
San Diego (Pioneer),11,8-3,6,17,0.353
Nicholls (Southland),12,4-8,6,16,0.375
Mississippi Val. (SWAC),11,2-9,6,16,0.375
Alcorn (SWAC),12,9-3,8,21,0.381
Illinois St. (MVFC),11,5-6,5,13,0.385
UT Martin (OVC),12,7-5,10,26,0.385
Montana St. (Big Sky),12,7-5,7,18,0.389
Eastern Ill. (OVC),14,12-2,14,36,0.389
Sam Houston (Southland),14,9-5,9,23,0.391
UNI (MVFC),12,7-5,12,30,0.400
Jackson St. (SWAC),11,7-4,6,15,0.400
North Dakota (Big Sky),11,3-8,6,15,0.400
Tennessee St. (OVC),14,10-4,15,37,0.405
Liberty (Big South),12,8-4,9,22,0.409
Grambling (SWAC),11,1-10,7,17,0.412
Robert Morris (NEC),11,5-6,8,19,0.421
Austin Peay (OVC),12,0-12,6,14,0.429
Saint Francis (PA) (NEC),11,5-6,6,14,0.429
Morehead St. (Pioneer),12,3-9,12,28,0.429
Colgate (Patriot),12,4-8,6,14,0.429
UC Davis (Big Sky),12,5-7,10,23,0.435
Charlotte (FCS Independent),11,5-6,7,16,0.438
Missouri St. (MVFC),12,5-7,11,25,0.440
Howard (MEAC),12,6-6,11,25,0.440
Stetson (Pioneer),11,2-9,12,27,0.444
North Dakota St. (MVFC),15,15-0,12,27,0.444
Princeton (Ivy League),10,8-2,4,9,0.444
Sacramento St. (Big Sky),12,5-7,9,20,0.450
New Hampshire (CAA),15,10-5,15,33,0.455
Cal Poly (Big Sky),12,6-6,11,24,0.458
Charleston So. (Big South),13,10-3,12,26,0.462
McNeese (Southland),13,10-3,13,28,0.464
Samford (SoCon),13,8-5,8,17,0.471
Delaware St. (MEAC),11,5-6,9,19,0.474
Weber St. (Big Sky),12,2-10,9,19,0.474
Harvard (Ivy League),10,9-1,10,21,0.476
Duquesne (NEC),11,7-4,11,23,0.478
Dartmouth (Ivy League),10,6-4,12,25,0.480
Lamar University (Southland),12,5-7,12,25,0.480
Portland St. (Big Sky),12,6-6,12,25,0.480
Alabama St. (SWAC),12,8-4,13,26,0.500
Alabama A&M (SWAC),12,4-8,7,14,0.500
Fordham (Patriot),14,12-2,7,14,0.500
Chattanooga (SoCon),12,8-4,8,16,0.500
Bryant (NEC),12,5-7,8,16,0.500
Norfolk St. (MEAC),12,3-9,8,16,0.500
Monmouth (FCS Independent),12,6-6,10,20,0.500
Campbell (Pioneer),12,3-9,9,18,0.500
Butler (Pioneer),13,9-4,16,31,0.516
VMI (Big South),12,2-10,13,25,0.520
Mercer (Pioneer),12,10-2,12,23,0.522
Prairie View (SWAC),12,6-6,12,23,0.522
Towson (CAA),16,13-3,24,46,0.522
Elon (SoCon),12,2-10,11,21,0.524
Yale (Ivy League),10,5-5,10,19,0.526
Brown (Ivy League),10,6-4,10,19,0.526
Jacksonville (Pioneer),11,5-6,10,19,0.526
Idaho St. (Big Sky),12,3-9,9,17,0.529
Coastal Carolina (Big South),15,12-3,18,34,0.529
James Madison (CAA),12,6-6,9,17,0.529
Western Caro. (SoCon),12,2-10,8,15,0.533
Cornell (Ivy League),10,3-7,8,15,0.533
Wagner (NEC),11,3-8,5,9,0.556
Northern Colo. (Big Sky),12,1-11,9,16,0.563
Northwestern St. (Southland),12,6-6,12,21,0.571
Montana (Big Sky),13,10-3,8,14,0.571
Wofford (SoCon),11,5-6,12,21,0.571
Southern U. (SWAC),13,9-4,12,21,0.571
Tennessee Tech (OVC),12,5-7,16,28,0.571
Lehigh (Patriot),11,8-3,12,21,0.571
