Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Houston Christian (FCS Independent),7,3-4,72,59,10,141
N.C. A&T (MEAC),11,7-4,52,100,15,167
Drake (Pioneer),11,6-5,57,103,12,172
Princeton (Ivy League),10,8-2,63,96,16,175
Duquesne (NEC),11,7-4,82,90,12,184
Robert Morris (NEC),11,5-6,83,90,11,184
Gardner-Webb (Big South),12,7-5,77,96,12,185
Penn (Ivy League),10,4-6,79,97,10,186
Brown (Ivy League),10,6-4,87,86,15,188
Saint Francis (PA) (NEC),11,5-6,86,82,21,189
Bucknell (Patriot),11,6-5,57,121,12,190
Bethune-Cookman (MEAC),13,10-3,72,88,31,191
South Carolina St. (MEAC),13,9-4,84,86,21,191
Western Ill. (MVFC),12,4-8,96,79,19,194
Dartmouth (Ivy League),10,6-4,77,103,16,196
Marist (Pioneer),11,8-3,73,106,18,197
Jackson St. (SWAC),11,7-4,81,99,18,198
San Diego (Pioneer),11,8-3,78,105,16,199
Liberty (Big South),12,8-4,88,100,12,200
Norfolk St. (MEAC),12,3-9,108,79,13,200
Dayton (Pioneer),11,7-4,77,108,18,203
Stony Brook (CAA),11,5-6,79,100,24,203
Chattanooga (SoCon),12,8-4,112,82,10,204
Wagner (NEC),11,3-8,78,111,16,205
Illinois St. (MVFC),11,5-6,92,102,12,206
Mercer (Pioneer),12,10-2,79,118,11,208
Monmouth (FCS Independent),12,6-6,79,113,16,208
Delaware St. (MEAC),11,5-6,105,99,6,210
Missouri St. (MVFC),12,5-7,95,98,17,210
Harvard (Ivy League),10,9-1,55,134,22,211
Northern Ariz. (Big Sky),12,9-3,84,101,27,212
Villanova (CAA),11,6-5,76,126,10,212
North Dakota St. (MVFC),15,15-0,76,119,18,213
Bryant (NEC),12,5-7,86,109,19,214
Alabama A&M (SWAC),12,4-8,101,92,22,215
William & Mary (CAA),12,7-5,95,108,13,216
South Dakota (MVFC),12,4-8,109,93,16,218
Florida A&M (MEAC),12,3-9,126,78,16,220
Yale (Ivy League),10,5-5,105,102,13,220
Stetson (Pioneer),11,2-9,121,87,12,220
Richmond (CAA),12,6-6,81,123,18,222
Cal Poly (Big Sky),12,6-6,83,119,20,222
Eastern Ky. (OVC),12,6-6,80,120,23,223
Montana St. (Big Sky),12,7-5,85,126,13,224
Howard (MEAC),12,6-6,101,111,13,225
UT Martin (OVC),12,7-5,100,102,24,226
Southern Ill. (MVFC),12,7-5,93,114,19,226
UNI (MVFC),12,7-5,98,113,17,228
James Madison (CAA),12,6-6,75,139,15,229
Alcorn (SWAC),12,9-3,113,97,21,231
Sacred Heart (NEC),13,10-3,80,129,23,232
Tennessee St. (OVC),14,10-4,99,101,33,233
Mississippi Val. (SWAC),11,2-9,109,106,18,233
UC Davis (Big Sky),12,5-7,113,106,15,234
Southern Utah (Big Sky),13,8-5,88,137,10,235
Wofford (SoCon),11,5-6,101,119,15,235
Rhode Island (CAA),12,3-9,101,119,15,235
Tennessee Tech (OVC),12,5-7,105,121,11,237
Charleston So. (Big South),13,10-3,101,120,16,237
Indiana St. (MVFC),12,1-11,124,98,16,238
Maine (CAA),13,10-3,111,103,25,239
Lamar University (Southland),12,5-7,118,110,12,240
North Dakota (Big Sky),11,3-8,104,114,23,241
Central Ark. (Southland),12,7-5,95,130,17,242
Morgan St. (MEAC),12,5-7,123,97,22,242
The Citadel (SoCon),12,5-7,114,120,8,242
Texas Southern (SWAC),11,2-9,114,102,27,243
Cornell (Ivy League),10,3-7,103,128,14,245
Lafayette (Patriot),12,5-7,119,109,19,247
Central Conn. St. (NEC),12,4-8,136,90,22,248
Presbyterian (Big South),11,3-8,159,72,17,248
Alabama St. (SWAC),12,8-4,99,125,26,250
Samford (SoCon),13,8-5,128,107,16,251
Lehigh (Patriot),11,8-3,120,120,11,251
Idaho St. (Big Sky),12,3-9,119,115,21,255
Northwestern St. (Southland),12,6-6,111,124,21,256
Sacramento St. (Big Sky),12,5-7,102,131,24,257
Montana (Big Sky),13,10-3,102,143,12,257
Jacksonville (Pioneer),11,5-6,137,97,23,257
Valparaiso (Pioneer),11,1-10,114,128,16,258
Georgetown (Patriot),11,2-9,104,137,17,258
Austin Peay (OVC),12,0-12,140,101,18,259
McNeese (Southland),13,10-3,111,125,24,260
Youngstown St. (MVFC),12,8-4,103,143,17,263
Charlotte (FCS Independent),11,5-6,127,128,13,268
South Dakota St. (MVFC),14,9-5,117,136,15,268
Northern Colo. (Big Sky),12,1-11,102,145,21,268
Portland St. (Big Sky),12,6-6,101,141,27,269
Butler (Pioneer),13,9-4,82,179,8,269
Ark.-Pine Bluff (SWAC),11,2-9,159,93,17,269
VMI (Big South),12,2-10,131,125,15,271
Colgate (Patriot),12,4-8,130,132,9,271
Columbia (Ivy League),10,0-10,118,141,13,272
Elon (SoCon),12,2-10,141,113,18,272
Davidson (Pioneer),11,0-11,146,110,17,273
Campbell (Pioneer),12,3-9,121,121,32,274
Hampton (MEAC),12,4-8,160,96,19,275
Savannah St. (MEAC),12,1-11,158,105,13,276
Eastern Ill. (OVC),14,12-2,123,127,26,276
Weber St. (Big Sky),12,2-10,139,114,24,277
Southeastern La. (Southland),14,11-3,120,138,20,278
Western Caro. (SoCon),12,2-10,159,100,19,278
Prairie View (SWAC),12,6-6,117,148,14,279
Grambling (SWAC),11,1-10,131,132,16,279
Delaware (CAA),12,7-5,131,132,17,280
UAlbany (CAA),12,1-11,124,140,18,282
Southern U. (SWAC),13,9-4,145,118,21,284
Southeast Mo. St. (OVC),12,3-9,157,116,11,285
Holy Cross (Patriot),12,3-9,119,150,17,286
Fordham (Patriot),14,12-2,145,126,23,294
Nicholls (Southland),12,4-8,152,122,20,294
Furman (SoCon),14,8-6,166,122,11,299
SFA (Southland),12,3-9,119,149,32,300
Morehead St. (Pioneer),12,3-9,168,124,12,304
N.C. Central (MEAC),12,5-7,149,127,30,306
New Hampshire (CAA),15,10-5,138,155,17,310
Sam Houston (Southland),14,9-5,127,159,27,313
Murray St. (OVC),12,6-6,153,138,23,314
Jacksonville St. (OVC),15,11-4,158,128,33,319
Towson (CAA),16,13-3,129,193,24,346
Coastal Carolina (Big South),15,12-3,168,165,22,355
Eastern Wash. (Big Sky),15,12-3,153,187,29,369
UIW (FCS Independent),11,6-5,84,109,15,208
Abilene Christian (FCS Independent),11,6-5,109,109,20,238
