Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Furman (SoCon),14,8-6,607,2758,4.54,27,197.0
Jacksonville St. (OVC),15,11-4,684,2965,4.33,19,197.7
Prairie View (SWAC),12,6-6,461,2392,5.19,30,199.3
Southern U. (SWAC),13,9-4,571,2609,4.57,28,200.7
Colgate (Patriot),12,4-8,476,2409,5.06,30,200.8
Lehigh (Patriot),11,8-3,452,2216,4.90,27,201.5
Lamar University (Southland),12,5-7,490,2420,4.94,25,201.7
UAlbany (CAA),12,1-11,520,2421,4.66,32,201.8
Fordham (Patriot),14,12-2,539,2834,5.26,27,202.4
Central Conn. St. (NEC),12,4-8,529,2443,4.62,26,203.6
Valparaiso (Pioneer),11,1-10,470,2315,4.93,32,210.5
VMI (Big South),12,2-10,508,2548,5.02,30,212.3
N.C. Central (MEAC),12,5-7,573,2571,4.49,26,214.3
Morgan St. (MEAC),12,5-7,442,2581,5.84,31,215.1
Rhode Island (CAA),12,3-9,482,2594,5.38,29,216.2
Coastal Carolina (Big South),15,12-3,655,3271,4.99,32,218.1
Elon (SoCon),12,2-10,546,2701,4.95,29,225.1
Presbyterian (Big South),11,3-8,538,2495,4.64,29,226.8
Stetson (Pioneer),11,2-9,460,2536,5.51,28,230.5
Hampton (MEAC),12,4-8,603,2775,4.60,32,231.3
Grambling (SWAC),11,1-10,472,2546,5.39,27,231.5
Austin Peay (OVC),12,0-12,513,2851,5.56,44,237.6
Idaho St. (Big Sky),12,3-9,515,2863,5.56,26,238.6
Weber St. (Big Sky),12,2-10,538,2906,5.40,35,242.2
Columbia (Ivy League),10,0-10,515,2429,4.72,25,242.9
Jacksonville (Pioneer),11,5-6,548,2721,4.97,30,247.4
Murray St. (OVC),12,6-6,625,2982,4.77,33,248.5
Davidson (Pioneer),11,0-11,499,2813,5.64,33,255.7
Savannah St. (MEAC),12,1-11,565,3091,5.47,42,257.6
Southeast Mo. St. (OVC),12,3-9,575,3165,5.50,40,263.8
Nicholls (Southland),12,4-8,483,3249,6.73,41,270.8
Ark.-Pine Bluff (SWAC),11,2-9,510,3045,5.97,40,276.8
Western Caro. (SoCon),12,2-10,557,3325,5.97,36,277.1
Morehead St. (Pioneer),12,3-9,528,3367,6.38,44,280.6
UIW (FCS Independent),11,6-5,407,1622,3.99,16,147.5
Abilene Christian (FCS Independent),11,6-5,405,2035,5.02,16,185.0
