Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Brown (Ivy League),10,6-4,58,864,0,14.90
Portland St. (Big Sky),12,6-6,53,790,0,14.91
Eastern Ill. (OVC),14,12-2,73,1097,1,15.03
Alcorn (SWAC),12,9-3,51,789,0,15.47
Columbia (Ivy League),10,0-10,16,249,0,15.56
N.C. Central (MEAC),12,5-7,28,464,0,16.57
Yale (Ivy League),10,5-5,38,630,1,16.58
Drake (Pioneer),11,6-5,36,603,0,16.75
Lamar University (Southland),12,5-7,52,875,1,16.83
Towson (CAA),16,13-3,87,1470,0,16.90
Penn (Ivy League),10,4-6,33,570,0,17.27
Murray St. (OVC),12,6-6,52,905,0,17.40
Southeastern La. (Southland),14,11-3,69,1217,0,17.64
Saint Francis (PA) (NEC),11,5-6,39,689,1,17.67
Mississippi Val. (SWAC),11,2-9,36,637,0,17.69
Coastal Carolina (Big South),15,12-3,97,1720,0,17.73
Southeast Mo. St. (OVC),12,3-9,40,711,1,17.78
Butler (Pioneer),13,9-4,68,1212,1,17.82
Liberty (Big South),12,8-4,34,607,0,17.85
Charleston So. (Big South),13,10-3,50,893,1,17.86
Bryant (NEC),12,5-7,51,916,0,17.96
UT Martin (OVC),12,7-5,41,749,0,18.27
Harvard (Ivy League),10,9-1,42,768,0,18.29
Alabama A&M (SWAC),12,4-8,35,642,0,18.34
San Diego (Pioneer),11,8-3,58,1073,0,18.50
Texas Southern (SWAC),11,2-9,29,537,1,18.52
Sam Houston (Southland),14,9-5,68,1261,0,18.54
Tennessee St. (OVC),14,10-4,56,1044,0,18.64
The Citadel (SoCon),12,5-7,40,746,0,18.65
Gardner-Webb (Big South),12,7-5,49,917,0,18.71
Delaware (CAA),12,7-5,48,899,0,18.73
Central Conn. St. (NEC),12,4-8,55,1033,0,18.78
McNeese (Southland),13,10-3,54,1025,1,18.98
New Hampshire (CAA),15,10-5,78,1487,1,19.06
South Carolina St. (MEAC),13,9-4,56,1069,0,19.09
Norfolk St. (MEAC),12,3-9,40,764,0,19.10
Sacred Heart (NEC),13,10-3,73,1397,2,19.14
North Dakota St. (MVFC),15,15-0,79,1514,1,19.16
Morgan St. (MEAC),12,5-7,43,825,1,19.19
Jacksonville St. (OVC),15,11-4,58,1118,0,19.28
Lehigh (Patriot),11,8-3,41,794,0,19.37
Eastern Wash. (Big Sky),15,12-3,71,1378,0,19.41
Delaware St. (MEAC),11,5-6,24,466,2,19.42
Stony Brook (CAA),11,5-6,34,662,0,19.47
Lafayette (Patriot),12,5-7,54,1053,0,19.50
Presbyterian (Big South),11,3-8,37,723,0,19.54
Samford (SoCon),13,8-5,43,844,0,19.63
Campbell (Pioneer),12,3-9,45,891,1,19.80
William & Mary (CAA),12,7-5,35,694,1,19.83
Youngstown St. (MVFC),12,8-4,36,716,0,19.89
Central Ark. (Southland),12,7-5,64,1277,1,19.95
Southern Ill. (MVFC),12,7-5,50,998,1,19.96
Alabama St. (SWAC),12,8-4,58,1159,1,19.98
Eastern Ky. (OVC),12,6-6,42,840,0,20.00
Elon (SoCon),12,2-10,30,602,0,20.07
Bucknell (Patriot),11,6-5,39,784,0,20.10
Southern U. (SWAC),13,9-4,55,1107,0,20.13
UAlbany (CAA),12,1-11,47,946,1,20.13
Holy Cross (Patriot),12,3-9,32,649,0,20.28
Princeton (Ivy League),10,8-2,58,1183,0,20.40
Jacksonville (Pioneer),11,5-6,53,1082,0,20.42
Cal Poly (Big Sky),12,6-6,36,739,1,20.53
Maine (CAA),13,10-3,63,1297,0,20.59
South Dakota St. (MVFC),14,9-5,44,906,1,20.59
Sacramento St. (Big Sky),12,5-7,44,907,0,20.61
