Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
South Carolina St. (MEAC),13,9-4,887,3094,3.49,18,24,238.0
Bethune-Cookman (MEAC),13,10-3,763,3321,4.35,23,28,255.5
North Dakota St. (MVFC),15,15-0,909,3838,4.22,17,20,255.9
N.C. A&T (MEAC),11,7-4,756,3057,4.04,20,23,277.9
Gardner-Webb (Big South),12,7-5,768,3561,4.64,32,36,296.8
Tennessee St. (OVC),14,10-4,929,4157,4.47,28,32,296.9
Western Ill. (MVFC),12,4-8,781,3664,4.69,36,40,305.3
William & Mary (CAA),12,7-5,844,3666,4.34,19,20,305.5
Liberty (Big South),12,8-4,752,3767,5.01,27,28,313.9
Saint Francis (PA) (NEC),11,5-6,737,3494,4.74,29,30,317.6
Drake (Pioneer),11,6-5,747,3516,4.71,26,28,319.6
Florida A&M (MEAC),12,3-9,804,3851,4.79,36,43,320.9
Norfolk St. (MEAC),12,3-9,788,3861,4.90,31,34,321.8
Bucknell (Patriot),11,6-5,735,3569,4.86,28,31,324.5
Stony Brook (CAA),11,5-6,710,3579,5.04,28,30,325.4
Duquesne (NEC),11,7-4,742,3581,4.83,29,33,325.5
Chattanooga (SoCon),12,8-4,748,3947,5.28,28,29,328.9
Sacred Heart (NEC),13,10-3,945,4315,4.57,31,35,331.9
UNI (MVFC),12,7-5,865,4014,4.64,24,28,334.5
Robert Morris (NEC),11,5-6,747,3709,4.97,32,33,337.2
Brown (Ivy League),10,6-4,693,3417,4.93,27,28,341.7
Maine (CAA),13,10-3,875,4449,5.08,37,39,342.2
Alabama A&M (SWAC),12,4-8,776,4115,5.30,38,41,342.9
Monmouth (FCS Independent),12,6-6,785,4121,5.25,30,35,343.4
Marist (Pioneer),11,8-3,769,3791,4.93,29,29,344.6
Princeton (Ivy League),10,8-2,713,3457,4.85,28,32,345.7
South Dakota (MVFC),12,4-8,798,4155,5.21,37,43,346.3
Northern Ariz. (Big Sky),12,9-3,787,4180,5.31,30,33,348.3
Missouri St. (MVFC),12,5-7,854,4181,4.90,31,36,348.4
James Madison (CAA),12,6-6,868,4198,4.84,35,36,349.8
Southern Utah (Big Sky),13,8-5,872,4548,5.22,36,39,349.8
Dartmouth (Ivy League),10,6-4,754,3515,4.66,22,23,351.5
Charleston So. (Big South),13,10-3,792,4570,5.77,39,40,351.5
Alcorn (SWAC),12,9-3,824,4257,5.17,37,38,354.8
San Diego (Pioneer),11,8-3,723,3939,5.45,33,34,358.1
Richmond (CAA),12,6-6,780,4299,5.51,30,34,358.3
Cal Poly (Big Sky),12,6-6,828,4320,5.22,29,33,360.0
Mercer (Pioneer),12,10-2,773,4333,5.61,38,40,361.1
Southern Ill. (MVFC),12,7-5,814,4349,5.34,34,39,362.4
Bryant (NEC),12,5-7,811,4353,5.37,37,40,362.8
Indiana St. (MVFC),12,1-11,847,4387,5.18,44,57,365.6
Jackson St. (SWAC),11,7-4,731,4022,5.50,32,35,365.6
Towson (CAA),16,13-3,1149,5873,5.11,48,50,367.1
Howard (MEAC),12,6-6,821,4407,5.37,40,43,367.3
Villanova (CAA),11,6-5,749,4044,5.40,29,31,367.6
Harvard (Ivy League),10,9-1,760,3677,4.84,29,30,367.7
Eastern Ky. (OVC),12,6-6,815,4418,5.42,36,38,368.2
UT Martin (OVC),12,7-5,848,4424,5.22,40,44,368.7
Illinois St. (MVFC),11,5-6,752,4070,5.41,44,44,370.0
Wagner (NEC),11,3-8,735,4082,5.55,45,48,371.1
Montana St. (Big Sky),12,7-5,815,4470,5.48,36,40,372.5
Mississippi Val. (SWAC),11,2-9,789,4105,5.20,37,40,373.2
Eastern Ill. (OVC),14,12-2,1067,5238,4.91,38,40,374.1
Dayton (Pioneer),11,7-4,763,4120,5.40,32,34,374.5
Delaware St. (MEAC),11,5-6,735,4127,5.61,37,41,375.2
Montana (Big Sky),13,10-3,924,4953,5.36,34,38,381.0
