Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Cal Poly (Big Sky),12,6-6,680,3709,5.45,31,309.1
Mercer (Pioneer),12,10-2,562,3335,5.93,33,277.9
Portland St. (Big Sky),12,6-6,558,3330,5.97,36,277.5
The Citadel (SoCon),12,5-7,629,3279,5.21,34,273.3
Wofford (SoCon),11,5-6,647,2969,4.59,24,269.9
Sam Houston (Southland),14,9-5,655,3710,5.66,40,265.0
North Dakota St. (MVFC),15,15-0,649,3860,5.95,35,257.3
Coastal Carolina (Big South),15,12-3,657,3782,5.76,50,252.1
Villanova (CAA),11,6-5,480,2770,5.77,27,251.8
Bethune-Cookman (MEAC),13,10-3,672,3159,4.70,39,243.0
Towson (CAA),16,13-3,712,3840,5.39,55,240.0
Jacksonville St. (OVC),15,11-4,758,3586,4.73,48,239.1
Sacred Heart (NEC),13,10-3,560,3077,5.49,25,236.7
Alabama St. (SWAC),12,8-4,571,2836,4.97,28,236.3
Southeastern La. (Southland),14,11-3,647,3271,5.06,42,233.6
Campbell (Pioneer),12,3-9,531,2800,5.27,26,233.3
Charleston So. (Big South),13,10-3,640,3028,4.73,22,232.9
Dartmouth (Ivy League),10,6-4,491,2193,4.47,22,219.3
Princeton (Ivy League),10,8-2,453,2178,4.81,29,217.8
Eastern Ill. (OVC),14,12-2,611,3040,4.98,35,217.1
Prairie View (SWAC),12,6-6,507,2591,5.11,31,215.9
Chattanooga (SoCon),12,8-4,531,2549,4.80,24,212.4
Butler (Pioneer),13,9-4,533,2737,5.14,33,210.5
McNeese (Southland),13,10-3,562,2716,4.83,32,208.9
Brown (Ivy League),10,6-4,367,2077,5.66,18,207.7
Charlotte (FCS Independent),11,5-6,439,2275,5.18,23,206.8
Alcorn (SWAC),12,9-3,509,2446,4.81,30,203.8
Southeast Mo. St. (OVC),12,3-9,522,2436,4.67,17,203.0
Howard (MEAC),12,6-6,538,2401,4.46,22,200.1
Eastern Ky. (OVC),12,6-6,589,2384,4.05,26,198.7
Nicholls (Southland),12,4-8,479,2378,4.96,23,198.2
Youngstown St. (MVFC),12,8-4,448,2345,5.23,31,195.4
Jackson St. (SWAC),11,7-4,499,2135,4.28,20,194.1
New Hampshire (CAA),15,10-5,597,2893,4.85,30,192.9
Yale (Ivy League),10,5-5,406,1925,4.74,16,192.5
