Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Eastern Ill. (OVC),14,12-2,1219,8253,6.77,90,589.5
SFA (Southland),12,3-9,1044,6864,6.57,58,572.0
Portland St. (Big Sky),12,6-6,923,6486,7.03,57,540.5
Eastern Wash. (Big Sky),15,12-3,1036,8002,7.72,80,533.5
Jacksonville (Pioneer),11,5-6,818,5750,7.03,57,522.7
Prairie View (SWAC),12,6-6,1026,6211,6.05,62,517.6
Fordham (Patriot),14,12-2,1110,7214,6.50,62,515.3
Princeton (Ivy League),10,8-2,896,5116,5.71,56,511.6
San Diego (Pioneer),11,8-3,771,5359,6.95,55,487.2
Southeastern La. (Southland),14,11-3,1044,6766,6.48,64,483.3
Coastal Carolina (Big South),15,12-3,1054,7162,6.80,80,477.5
Towson (CAA),16,13-3,1125,7462,6.63,74,466.4
Butler (Pioneer),13,9-4,1000,5951,5.95,55,457.8
North Dakota St. (MVFC),15,15-0,1009,6862,6.80,70,457.5
Montana (Big Sky),13,10-3,921,5890,6.40,63,453.1
Central Ark. (Southland),12,7-5,973,5435,5.59,47,452.9
McNeese (Southland),13,10-3,955,5862,6.14,61,450.9
Sam Houston (Southland),14,9-5,988,6308,6.38,73,450.6
Mercer (Pioneer),12,10-2,820,5395,6.58,56,449.6
Charlotte (FCS Independent),11,5-6,827,4934,5.97,45,448.5
Lehigh (Patriot),11,8-3,814,4910,6.03,46,446.4
Brown (Ivy League),10,6-4,705,4454,6.32,37,445.4
Cal Poly (Big Sky),12,6-6,912,5323,5.84,45,443.6
Richmond (CAA),12,6-6,913,5297,5.80,39,441.4
Jacksonville St. (OVC),15,11-4,1155,6619,5.73,61,441.3
Campbell (Pioneer),12,3-9,866,5236,6.05,44,436.3
Villanova (CAA),11,6-5,732,4788,6.54,42,435.3
Alabama St. (SWAC),12,8-4,917,5220,5.69,48,435.0
New Hampshire (CAA),15,10-5,1087,6486,5.97,55,432.4
Alcorn (SWAC),12,9-3,879,5174,5.89,53,431.2
Maine (CAA),13,10-3,908,5542,6.10,46,426.3
Harvard (Ivy League),10,9-1,731,4261,5.83,44,426.1
Dartmouth (Ivy League),10,6-4,795,4249,5.34,36,424.9
Lamar University (Southland),12,5-7,934,5079,5.44,47,423.3
Liberty (Big South),12,8-4,787,5050,6.42,57,420.8
Ark.-Pine Bluff (SWAC),11,2-9,769,4607,5.99,39,418.8
Montana St. (Big Sky),12,7-5,851,5023,5.90,47,418.6
Nicholls (Southland),12,4-8,869,5021,5.78,42,418.4
Delaware (CAA),12,7-5,828,5004,6.04,51,417.0
Marist (Pioneer),11,8-3,786,4582,5.83,51,416.5
Samford (SoCon),13,8-5,911,5403,5.93,45,415.6
Jackson St. (SWAC),11,7-4,825,4566,5.53,36,415.1
Sacramento St. (Big Sky),12,5-7,915,4937,5.40,43,411.4
Sacred Heart (NEC),13,10-3,909,5293,5.82,48,407.2
James Madison (CAA),12,6-6,902,4884,5.41,39,407.0
Howard (MEAC),12,6-6,934,4847,5.19,38,403.9
Yale (Ivy League),10,5-5,747,4033,5.40,34,403.3
Central Conn. St. (NEC),12,4-8,837,4826,5.77,45,402.2
Youngstown St. (MVFC),12,8-4,744,4802,6.45,54,400.2
Murray St. (OVC),12,6-6,882,4783,5.42,42,398.6
UT Martin (OVC),12,7-5,891,4765,5.35,35,397.1
Bethune-Cookman (MEAC),13,10-3,932,5146,5.52,49,395.8
Holy Cross (Patriot),12,3-9,890,4744,5.33,41,395.3
Idaho St. (Big Sky),12,3-9,957,4694,4.90,31,391.2
Northwestern St. (Southland),12,6-6,855,4685,5.48,40,390.4
Lafayette (Patriot),12,5-7,810,4664,5.76,38,388.7
Southern U. (SWAC),13,9-4,884,5034,5.69,48,387.2
Southern Ill. (MVFC),12,7-5,865,4619,5.34,39,384.9
South Dakota St. (MVFC),14,9-5,952,5385,5.66,48,384.6
Dayton (Pioneer),11,7-4,746,4175,5.60,40,379.5
Cornell (Ivy League),10,3-7,653,3715,5.69,31,371.5
Northern Colo. (Big Sky),12,1-11,777,4454,5.73,31,371.2
Morehead St. (Pioneer),12,3-9,908,4423,4.87,36,368.6
Charleston So. (Big South),13,10-3,901,4777,5.30,38,367.5
Monmouth (FCS Independent),12,6-6,828,4401,5.32,37,366.8
North Dakota (Big Sky),11,3-8,750,4016,5.35,29,365.1
Drake (Pioneer),11,6-5,777,4011,5.16,33,364.6
Chattanooga (SoCon),12,8-4,791,4337,5.48,40,361.4
Western Caro. (SoCon),12,2-10,831,4319,5.20,30,359.9
Stony Brook (CAA),11,5-6,744,3954,5.31,29,359.5
Gardner-Webb (Big South),12,7-5,899,4288,4.77,29,357.3
Colgate (Patriot),12,4-8,780,4281,5.49,37,356.8
The Citadel (SoCon),12,5-7,782,4280,5.47,39,356.7
Elon (SoCon),12,2-10,859,4277,4.98,29,356.4
Valparaiso (Pioneer),11,1-10,747,3909,5.23,31,355.4
Wofford (SoCon),11,5-6,784,3908,4.98,29,355.3
UAlbany (CAA),12,1-11,860,4251,4.94,27,354.3
Eastern Ky. (OVC),12,6-6,875,4236,4.84,40,353.0
UNI (MVFC),12,7-5,800,4233,5.29,32,352.8
