Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Tennessee St. (OVC),14,10-4,46,43,1,1,18,2,381,27.2
Sacramento St. (Big Sky),12,5-7,44,41,0,0,7,0,326,27.2
Holy Cross (Patriot),12,3-9,44,39,0,0,7,0,324,27.0
Yale (Ivy League),10,5-5,34,27,1,0,12,0,269,26.9
Nicholls (Southland),12,4-8,43,37,0,0,9,0,322,26.8
Eastern Ky. (OVC),12,6-6,42,40,1,0,9,0,321,26.8
The Citadel (SoCon),12,5-7,42,40,0,0,8,1,318,26.5
Lafayette (Patriot),12,5-7,42,37,1,0,9,0,318,26.5
Chattanooga (SoCon),12,8-4,43,43,0,0,5,0,316,26.3
Howard (MEAC),12,6-6,40,24,5,0,14,0,316,26.3
UNI (MVFC),12,7-5,36,34,1,0,21,0,315,26.3
Cornell (Ivy League),10,3-7,35,32,0,0,6,1,262,26.2
Tennessee Tech (OVC),12,5-7,41,40,0,0,9,0,313,26.1
Monmouth (FCS Independent),12,6-6,39,33,3,0,10,0,303,25.3
Drake (Pioneer),11,6-5,37,27,2,0,7,0,274,24.9
Illinois St. (MVFC),11,5-6,35,35,0,0,9,0,272,24.7
Houston Christian (FCS Independent),7,3-4,23,22,0,1,3,0,171,24.4
Charleston So. (Big South),13,10-3,40,32,2,0,11,2,313,24.1
Bryant (NEC),12,5-7,39,32,2,0,5,1,287,23.9
North Dakota (Big Sky),11,3-8,34,27,2,0,9,0,262,23.8
UT Martin (OVC),12,7-5,35,33,1,0,12,1,283,23.6
Presbyterian (Big South),11,3-8,37,33,0,0,1,0,258,23.5
Northern Ariz. (Big Sky),12,9-3,36,29,0,0,11,0,278,23.2
Penn (Ivy League),10,4-6,31,26,2,0,4,1,230,23.0
Morehead St. (Pioneer),12,3-9,36,30,0,0,9,0,273,22.8
Furman (SoCon),14,8-6,37,34,1,0,20,0,318,22.7
Idaho St. (Big Sky),12,3-9,31,25,3,0,18,0,271,22.6
Duquesne (NEC),11,7-4,28,25,1,0,15,3,246,22.4
Stony Brook (CAA),11,5-6,30,29,0,0,12,0,245,22.3
Colgate (Patriot),12,4-8,38,26,2,0,2,1,266,22.2
Gardner-Webb (Big South),12,7-5,32,27,1,0,14,0,263,21.9
Southeast Mo. St. (OVC),12,3-9,37,25,0,0,5,0,262,21.8
Bucknell (Patriot),11,6-5,30,28,1,0,10,0,240,21.8
Robert Morris (NEC),11,5-6,31,25,0,0,9,1,240,21.8
Hampton (MEAC),12,4-8,30,25,1,0,18,0,261,21.8
Saint Francis (PA) (NEC),11,5-6,30,20,3,0,11,0,239,21.7
Elon (SoCon),12,2-10,31,31,0,0,13,1,258,21.5
Western Ill. (MVFC),12,4-8,36,30,1,0,3,0,257,21.4
Wofford (SoCon),11,5-6,31,29,0,0,6,0,233,21.2
William & Mary (CAA),12,7-5,30,27,0,0,15,0,252,21.0
Valparaiso (Pioneer),11,1-10,31,24,2,0,5,0,229,20.8
Indiana St. (MVFC),12,1-11,33,28,2,0,6,0,248,20.7
Georgetown (Patriot),11,2-9,30,25,1,0,6,1,227,20.6
Morgan St. (MEAC),12,5-7,31,26,1,0,10,0,244,20.3
Southern Utah (Big Sky),13,8-5,29,24,1,0,20,0,260,20.0
Northern Colo. (Big Sky),12,1-11,32,29,1,1,4,0,237,19.8
Grambling (SWAC),11,1-10,29,20,1,0,6,1,216,19.6
VMI (Big South),12,2-10,30,28,0,0,9,0,235,19.6
Western Caro. (SoCon),12,2-10,30,23,1,0,10,0,235,19.6
UC Davis (Big Sky),12,5-7,25,24,0,0,17,1,227,18.9
N.C. Central (MEAC),12,5-7,29,24,0,0,9,0,225,18.8
Mississippi Val. (SWAC),11,2-9,27,19,2,0,6,0,203,18.5
UAlbany (CAA),12,1-11,27,22,1,0,11,1,221,18.4
Stetson (Pioneer),11,2-9,25,20,1,0,7,1,195,17.7
South Dakota (MVFC),12,4-8,25,21,1,0,12,0,209,17.4
Wagner (NEC),11,3-8,21,20,0,0,12,0,182,16.5
Alabama A&M (SWAC),12,4-8,26,18,1,0,5,3,197,16.4
Florida A&M (MEAC),12,3-9,26,23,0,0,4,1,193,16.1
Weber St. (Big Sky),12,2-10,26,15,2,0,5,0,190,15.8
Texas Southern (SWAC),11,2-9,19,18,0,0,13,1,173,15.7
Delaware St. (MEAC),11,5-6,23,16,0,0,5,0,169,15.4
Savannah St. (MEAC),12,1-11,23,16,0,0,6,1,174,14.5
Norfolk St. (MEAC),12,3-9,21,15,0,0,9,0,168,14.0
Davidson (Pioneer),11,0-11,23,2,7,0,0,0,154,14.0
Rhode Island (CAA),12,3-9,20,15,0,0,8,0,159,13.3
Austin Peay (OVC),12,0-12,9,9,0,0,9,0,90,7.5
Columbia (Ivy League),10,0-10,9,7,0,0,4,0,73,7.3
Abilene Christian (FCS Independent),11,6-5,68,59,1,1,10,0,501,45.5
UIW (FCS Independent),11,6-5,36,27,1,0,7,1,268,24.4
