Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Eastern Ill. (OVC),14,12-2,95,78,2,0,7,1,675,48.2
Princeton (Ivy League),10,8-2,59,45,7,0,8,0,437,43.7
Jacksonville (Pioneer),11,5-6,61,61,0,0,11,0,460,41.8
Sam Houston (Southland),14,9-5,79,74,0,0,8,2,576,41.1
Coastal Carolina (Big South),15,12-3,84,63,6,0,12,0,615,41.0
McNeese (Southland),13,10-3,69,61,1,0,13,2,520,40.0
Eastern Wash. (Big Sky),15,12-3,83,74,1,0,6,0,592,39.5
San Diego (Pioneer),11,8-3,57,54,0,0,10,2,430,39.1
Prairie View (SWAC),12,6-6,64,62,0,0,6,2,468,39.0
North Dakota St. (MVFC),15,15-0,79,77,0,0,10,0,581,38.7
SFA (Southland),12,3-9,60,58,0,0,14,1,462,38.5
Southeastern La. (Southland),14,11-3,70,66,0,1,16,1,538,38.4
Mercer (Pioneer),12,10-2,60,56,0,1,13,1,459,38.3
Montana (Big Sky),13,10-3,66,59,1,0,11,0,490,37.7
Fordham (Patriot),14,12-2,67,63,2,0,19,0,526,37.6
Liberty (Big South),12,8-4,60,59,1,0,8,1,447,37.3
Harvard (Ivy League),10,9-1,47,45,1,0,14,0,371,37.1
Alcorn (SWAC),12,9-3,58,49,2,0,12,2,441,36.8
Towson (CAA),16,13-3,81,70,4,0,7,0,585,36.6
Jacksonville St. (OVC),15,11-4,65,62,0,0,24,2,528,35.2
Portland St. (Big Sky),12,6-6,59,52,1,0,3,1,419,34.9
Sacred Heart (NEC),13,10-3,57,55,1,0,17,0,450,34.6
Marist (Pioneer),11,8-3,54,40,1,0,4,0,378,34.4
Youngstown St. (MVFC),12,8-4,56,49,1,0,6,0,405,33.8
Lamar University (Southland),12,5-7,52,49,0,0,12,2,401,33.4
Alabama St. (SWAC),12,8-4,52,47,0,0,14,0,401,33.4
Charlotte (FCS Independent),11,5-6,48,42,3,0,9,2,367,33.4
Butler (Pioneer),13,9-4,58,54,0,0,9,2,433,33.3
Central Ark. (Southland),12,7-5,52,49,1,0,11,1,398,33.2
Montana St. (Big Sky),12,7-5,53,36,9,1,7,0,395,32.9
Delaware (CAA),12,7-5,54,43,3,1,6,0,393,32.8
Lehigh (Patriot),11,8-3,47,42,0,0,8,0,348,31.6
Brown (Ivy League),10,6-4,39,38,0,0,13,0,311,31.1
New Hampshire (CAA),15,10-5,60,43,6,0,15,1,462,30.8
Villanova (CAA),11,6-5,45,43,0,0,8,0,337,30.6
Southern U. (SWAC),13,9-4,53,44,2,0,10,0,396,30.5
Dayton (Pioneer),11,7-4,44,41,0,0,10,0,335,30.5
Samford (SoCon),13,8-5,48,40,3,0,19,0,391,30.1
Murray St. (OVC),12,6-6,47,42,2,0,10,0,358,29.8
Maine (CAA),13,10-3,49,45,0,0,16,0,387,29.8
Bethune-Cookman (MEAC),13,10-3,53,37,6,0,6,0,385,29.6
Campbell (Pioneer),12,3-9,48,39,1,0,6,1,349,29.1
South Dakota St. (MVFC),14,9-5,53,49,0,0,12,1,405,28.9
South Carolina St. (MEAC),13,9-4,46,40,0,0,17,4,375,28.8
Dartmouth (Ivy League),10,6-4,39,37,0,0,5,0,286,28.6
Southern Ill. (MVFC),12,7-5,41,40,0,0,18,1,342,28.5
Cal Poly (Big Sky),12,6-6,46,40,1,0,8,0,342,28.5
Jackson St. (SWAC),11,7-4,39,34,1,0,12,3,312,28.4
James Madison (CAA),12,6-6,44,35,2,0,12,0,339,28.3
Ark.-Pine Bluff (SWAC),11,2-9,41,35,1,0,9,0,310,28.2
Central Conn. St. (NEC),12,4-8,45,40,0,0,9,0,337,28.1
Richmond (CAA),12,6-6,40,28,5,0,18,0,332,27.7
Northwestern St. (Southland),12,6-6,42,37,0,0,13,1,330,27.5
N.C. A&T (MEAC),11,7-4,39,36,0,0,10,1,302,27.5
Missouri St. (MVFC),12,5-7,44,38,1,0,8,0,328,27.3
