Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Brown (Ivy League),10,6-4,11,7,0,0.64
UC Davis (Big Sky),12,5-7,19,32,0,1.68
Dartmouth (Ivy League),10,6-4,12,27,0,2.25
Davidson (Pioneer),11,0-11,17,39,0,2.29
North Dakota St. (MVFC),15,15-0,8,21,0,2.63
Gardner-Webb (Big South),12,7-5,19,57,0,3.00
Fordham (Patriot),14,12-2,13,41,0,3.15
Lehigh (Patriot),11,8-3,15,48,0,3.20
Rhode Island (CAA),12,3-9,19,61,0,3.21
Southern U. (SWAC),13,9-4,10,37,0,3.70
Presbyterian (Big South),11,3-8,15,59,0,3.93
Central Ark. (Southland),12,7-5,16,71,0,4.44
Murray St. (OVC),12,6-6,21,95,0,4.52
Mercer (Pioneer),12,10-2,19,89,0,4.68
Maine (CAA),13,10-3,22,106,0,4.82
Sam Houston (Southland),14,9-5,13,63,0,4.85
UAlbany (CAA),12,1-11,17,83,0,4.88
Charlotte (FCS Independent),11,5-6,14,69,0,4.93
Portland St. (Big Sky),12,6-6,17,87,0,5.12
Coastal Carolina (Big South),15,12-3,23,118,0,5.13
Towson (CAA),16,13-3,17,88,1,5.18
Campbell (Pioneer),12,3-9,16,84,0,5.25
Elon (SoCon),12,2-10,23,122,0,5.30
Jackson St. (SWAC),11,7-4,14,76,0,5.43
Norfolk St. (MEAC),12,3-9,35,192,0,5.49
Harvard (Ivy League),10,9-1,10,55,0,5.50
Dayton (Pioneer),11,7-4,20,111,0,5.55
Alcorn (SWAC),12,9-3,13,73,1,5.62
Sacramento St. (Big Sky),12,5-7,27,154,0,5.70
Eastern Ky. (OVC),12,6-6,24,137,0,5.71
South Dakota St. (MVFC),14,9-5,19,110,0,5.79
Western Caro. (SoCon),12,2-10,29,168,1,5.79
Penn (Ivy League),10,4-6,25,146,1,5.84
Holy Cross (Patriot),12,3-9,17,103,0,6.06
Yale (Ivy League),10,5-5,26,158,0,6.08
New Hampshire (CAA),15,10-5,22,134,0,6.09
Delaware (CAA),12,7-5,25,153,0,6.12
Southern Ill. (MVFC),12,7-5,14,87,0,6.21
Alabama A&M (SWAC),12,4-8,15,97,0,6.47
McNeese (Southland),13,10-3,15,97,0,6.47
Bucknell (Patriot),11,6-5,23,150,0,6.52
James Madison (CAA),12,6-6,23,150,0,6.52
Western Ill. (MVFC),12,4-8,19,124,1,6.53
Mississippi Val. (SWAC),11,2-9,21,138,0,6.57
N.C. Central (MEAC),12,5-7,33,218,1,6.61
Butler (Pioneer),13,9-4,20,137,1,6.85
Monmouth (FCS Independent),12,6-6,20,137,0,6.85
Robert Morris (NEC),11,5-6,24,165,0,6.88
Columbia (Ivy League),10,0-10,35,247,0,7.06
William & Mary (CAA),12,7-5,15,110,0,7.33
Eastern Ill. (OVC),14,12-2,17,126,1,7.41
Charleston So. (Big South),13,10-3,9,67,0,7.44
UT Martin (OVC),12,7-5,23,173,0,7.52
Sacred Heart (NEC),13,10-3,21,158,0,7.52
Princeton (Ivy League),10,8-2,13,98,1,7.54
Northern Colo. (Big Sky),12,1-11,20,151,0,7.55
San Diego (Pioneer),11,8-3,18,136,0,7.56
Illinois St. (MVFC),11,5-6,24,186,0,7.75
Furman (SoCon),14,8-6,30,236,0,7.87
Samford (SoCon),13,8-5,27,213,1,7.89
Villanova (CAA),11,6-5,10,79,0,7.90
Stony Brook (CAA),11,5-6,21,167,0,7.95
Bryant (NEC),12,5-7,38,303,2,7.97
Southern Utah (Big Sky),13,8-5,21,169,0,8.05
Cornell (Ivy League),10,3-7,19,155,1,8.16
Morehead St. (Pioneer),12,3-9,24,196,1,8.17
Richmond (CAA),12,6-6,17,141,0,8.29
Idaho St. (Big Sky),12,3-9,23,192,0,8.35
N.C. A&T (MEAC),11,7-4,14,117,0,8.36
Liberty (Big South),12,8-4,16,134,1,8.38
UNI (MVFC),12,7-5,28,237,1,8.46
Montana (Big Sky),13,10-3,19,163,1,8.58
Northern Ariz. (Big Sky),12,9-3,25,218,0,8.72
Montana St. (Big Sky),12,7-5,20,176,1,8.80
Missouri St. (MVFC),12,5-7,12,107,1,8.92
Saint Francis (PA) (NEC),11,5-6,27,241,0,8.93
Duquesne (NEC),11,7-4,19,170,0,8.95
Eastern Wash. (Big Sky),15,12-3,24,215,0,8.96
Austin Peay (OVC),12,0-12,35,318,0,9.09
Jacksonville (Pioneer),11,5-6,15,137,1,9.13
Drake (Pioneer),11,6-5,24,220,0,9.17
The Citadel (SoCon),12,5-7,17,156,0,9.18
Tennessee St. (OVC),14,10-4,18,166,1,9.22
Marist (Pioneer),11,8-3,18,166,0,9.22
Delaware St. (MEAC),11,5-6,18,167,1,9.28
Colgate (Patriot),12,4-8,24,224,1,9.33
Hampton (MEAC),12,4-8,20,192,0,9.60
Jacksonville St. (OVC),15,11-4,24,231,1,9.63
South Carolina St. (MEAC),13,9-4,18,180,1,10.00
Southeastern La. (Southland),14,11-3,14,142,0,10.14
Cal Poly (Big Sky),12,6-6,27,280,2,10.37
Lafayette (Patriot),12,5-7,19,200,1,10.53
Southeast Mo. St. (OVC),12,3-9,19,203,0,10.68
Savannah St. (MEAC),12,1-11,33,355,2,10.76
Alabama St. (SWAC),12,8-4,28,303,1,10.82
Wagner (NEC),11,3-8,26,284,1,10.92
Stetson (Pioneer),11,2-9,25,278,0,11.12
Ark.-Pine Bluff (SWAC),11,2-9,17,193,0,11.35
Nicholls (Southland),12,4-8,14,159,0,11.36
Georgetown (Patriot),11,2-9,24,273,0,11.38
SFA (Southland),12,3-9,11,127,2,11.55
Weber St. (Big Sky),12,2-10,30,347,0,11.57
Grambling (SWAC),11,1-10,37,431,1,11.65
Florida A&M (MEAC),12,3-9,36,420,1,11.67
Central Conn. St. (NEC),12,4-8,18,212,1,11.78
North Dakota (Big Sky),11,3-8,25,295,0,11.80
