Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Michigan (Big Ten),13,8-5,37,555,0,15.00
Kansas St. (Big 12),13,8-5,38,630,0,16.58
Bowling Green (MAC),12,2-10,44,735,0,16.70
New Mexico (Mountain West),12,3-9,9,151,0,16.78
UTEP (C-USA),12,0-12,11,186,0,16.91
Iowa (Big Ten),13,8-5,37,632,0,17.08
Tulane (AAC),12,5-7,34,587,0,17.26
Fla. Atlantic (C-USA),14,11-3,23,399,0,17.35
Stanford (Pac-12),14,9-5,26,452,0,17.38
Ohio St. (Big Ten),14,12-2,82,1428,2,17.41
Ohio (MAC),13,9-4,73,1272,0,17.42
Air Force (Mountain West),12,5-7,30,529,0,17.63
Marshall (C-USA),13,8-5,31,550,0,17.74
Memphis (AAC),13,10-3,73,1296,0,17.75
San Jose St. (Mountain West),13,2-11,9,161,0,17.89
Mississippi St. (SEC),13,9-4,29,520,0,17.93
Virginia Tech (ACC),13,9-4,16,288,0,18.00
Rutgers (Big Ten),12,4-8,30,541,0,18.03
Northwestern (Big Ten),13,10-3,45,814,0,18.09
Fresno St. (Mountain West),14,10-4,39,707,0,18.13
Utah St. (Mountain West),13,6-7,36,653,1,18.14
BYU (FBS Independent),13,4-9,32,591,0,18.47
Navy (AAC),13,7-6,50,929,1,18.58
Alabama (SEC),14,13-1,52,973,0,18.71
Washington (Pac-12),13,10-3,65,1218,0,18.74
Central Mich. (MAC),13,8-5,44,828,0,18.82
Oregon St. (Pac-12),12,1-11,36,680,0,18.89
TCU (Big 12),14,11-3,48,910,0,18.96
North Carolina (ACC),12,3-9,28,536,1,19.14
Charlotte (C-USA),12,1-11,23,441,0,19.17
FIU (C-USA),13,8-5,32,615,0,19.22
Illinois (Big Ten),12,2-10,11,212,0,19.27
Western Mich. (MAC),12,6-6,54,1044,0,19.33
Arkansas (SEC),12,4-8,38,735,1,19.34
Oklahoma St. (Big 12),13,10-3,66,1278,1,19.36
Duke (ACC),13,7-6,52,1008,0,19.38
Maryland (Big Ten),12,4-8,49,951,0,19.41
Wisconsin (Big Ten),14,13-1,29,565,0,19.48
Penn St. (Big Ten),13,11-2,53,1034,0,19.51
Georgia (SEC),15,13-2,29,566,0,19.52
UTSA (C-USA),11,6-5,36,706,0,19.61
Clemson (ACC),14,12-2,59,1159,0,19.64
West Virginia (Big 12),13,7-6,45,884,0,19.64
NIU (MAC),13,8-5,46,904,1,19.65
App State (Sun Belt),13,9-4,50,989,1,19.78
Louisville (ACC),13,8-5,66,1306,1,19.79
Colorado (Pac-12),12,5-7,24,478,0,19.92
Cincinnati (AAC),12,4-8,33,658,1,19.94
Ball St. (MAC),12,2-10,36,718,0,19.94
LSU (SEC),13,9-4,38,760,0,20.00
Toledo (MAC),14,11-3,51,1020,0,20.00
Western Ky. (C-USA),13,6-7,36,722,0,20.06
Louisiana Tech (C-USA),13,7-6,53,1063,1,20.06
Akron (MAC),14,7-7,46,924,0,20.09
NC State (ACC),13,9-4,54,1085,1,20.09
Old Dominion (C-USA),12,5-7,37,744,0,20.11
Tulsa (AAC),12,2-10,37,747,0,20.19
Buffalo (MAC),12,6-6,38,768,0,20.21
Ole Miss (SEC),12,6-6,51,1038,0,20.35
Hawaii (Mountain West),12,3-9,47,957,2,20.36
UCF (AAC),13,13-0,78,1589,1,20.37
Army West Point (FBS Independent),13,10-3,48,981,1,20.44
Kentucky (SEC),13,7-6,35,716,0,20.46
Idaho (Sun Belt),12,4-8,24,492,0,20.50
Florida St. (ACC),13,7-6,33,677,0,20.52
South Carolina (SEC),13,9-4,21,431,0,20.52
Wyoming (Mountain West),13,8-5,33,682,0,20.67
Temple (AAC),13,7-6,47,976,0,20.77
San Diego St. (Mountain West),13,10-3,44,917,0,20.84
Ga. Southern (Sun Belt),12,2-10,7,146,0,20.86
Michigan St. (Big Ten),13,10-3,47,982,1,20.89
California (Pac-12),12,5-7,32,680,0,21.25
Houston (AAC),12,7-5,36,767,1,21.31
Arkansas St. (Sun Belt),12,7-5,49,1048,3,21.39
Eastern Mich. (MAC),12,5-7,40,856,0,21.40
UNLV (Mountain West),12,5-7,50,1072,0,21.44
Colorado St. (Mountain West),13,7-6,35,751,0,21.46
Wake Forest (ACC),13,8-5,48,1030,0,21.46
Troy (Sun Belt),13,11-2,49,1053,0,21.49
Missouri (SEC),13,7-6,39,851,1,21.82
Miami (OH) (MAC),12,5-7,30,655,2,21.83
Vanderbilt (SEC),12,5-7,16,350,0,21.88
Minnesota (Big Ten),12,5-7,35,768,0,21.94
Boise St. (Mountain West),14,11-3,30,659,0,21.97
Syracuse (ACC),12,4-8,32,708,0,22.13
Oregon (Pac-12),13,7-6,42,930,0,22.14
Louisiana (Sun Belt),12,5-7,40,886,1,22.15
Boston College (ACC),13,7-6,31,690,0,22.26
Arizona (Pac-12),13,7-6,28,625,0,22.32
Texas A&M (SEC),13,7-6,43,963,1,22.40
Notre Dame (FBS Independent),13,10-3,57,1286,0,22.56
Utah (Pac-12),13,7-6,29,657,0,22.66
Tennessee (SEC),12,4-8,17,392,0,23.06
North Texas (C-USA),14,9-5,53,1223,2,23.08
Oklahoma (Big 12),14,12-2,21,485,0,23.10
UConn (AAC),12,3-9,22,509,0,23.14
Nevada (Mountain West),12,3-9,27,625,1,23.15
South Alabama (Sun Belt),12,4-8,39,903,1,23.15
Arizona St. (Pac-12),13,7-6,22,511,1,23.23
Georgia St. (Sun Belt),12,7-5,37,863,1,23.32
Massachusetts (FBS Independent),12,4-8,45,1050,1,23.33
ULM (Sun Belt),12,4-8,43,1004,1,23.35
Nebraska (Big Ten),12,4-8,31,726,1,23.42
Purdue (Big Ten),13,7-6,26,609,0,23.42
UAB (C-USA),13,8-5,37,868,1,23.46
Miami (FL) (ACC),13,10-3,41,962,1,23.46
Washington St. (Pac-12),13,9-4,44,1039,0,23.61
Texas St. (Sun Belt),12,2-10,29,685,1,23.62
Kansas (Big 12),12,1-11,29,688,1,23.72
Iowa St. (Big 12),13,8-5,31,737,1,23.77
Southern California (Pac-12),14,11-3,48,1156,1,24.08
SMU (AAC),13,7-6,55,1329,0,24.16
South Fla. (AAC),12,10-2,47,1136,1,24.17
Southern Miss. (C-USA),13,8-5,32,781,0,24.41
UCLA (Pac-12),13,6-7,48,1172,0,24.42
Virginia (ACC),13,6-7,35,856,0,24.46
Georgia Tech (ACC),11,5-6,44,1077,1,24.48
Baylor (Big 12),12,1-11,42,1032,1,24.57
Indiana (Big Ten),12,5-7,26,647,1,24.88
Texas (Big 12),13,7-6,35,877,0,25.06
Pittsburgh (ACC),12,5-7,28,706,1,25.21
Kent St. (MAC),12,2-10,27,687,1,25.44
Rice (C-USA),12,1-11,8,204,0,25.50
Texas Tech (Big 12),13,6-7,32,831,0,25.97
Middle Tenn. (C-USA),13,7-6,29,766,0,26.41
Florida (SEC),11,4-7,9,239,0,26.56
East Carolina (AAC),12,3-9,20,533,1,26.65
New Mexico St. (Independent),13,7-6,38,1019,2,26.82
Auburn (SEC),14,10-4,25,680,1,27.20
Liberty (Independent),11,6-5,41,797,1,19.44
Coastal Carolina (Sun Belt),12,3-9,46,1082,4,23.52
