Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Minnesota (Big Ten),12,5-7,39,340,28.33
Boston College (ACC),13,7-6,47,388,29.85
Washington (Pac-12),13,10-3,54,445,34.23
Georgia Tech (ACC),11,5-6,44,394,35.82
Old Dominion (CUSA),12,5-7,48,430,35.83
Army West Point (FBS Independent),13,10-3,55,472,36.31
Arizona St. (Pac-12),13,7-6,50,487,37.46
Penn St. (Big Ten),13,11-2,54,490,37.69
South Carolina (SEC),13,9-4,62,494,38.00
Texas St. (Sun Belt),12,2-10,53,458,38.17
Pittsburgh (ACC),12,5-7,46,458,38.17
Rice (CUSA),12,1-11,53,460,38.33
Auburn (SEC),14,10-4,63,537,38.36
Air Force (Mountain West),12,5-7,48,465,38.75
BYU (FBS Independent),13,4-9,59,509,39.15
Iowa St. (Big 12),13,8-5,57,516,39.69
UNLV (Mountain West),12,5-7,56,479,39.92
Ball St. (MAC),12,2-10,49,479,39.92
Wyoming (Mountain West),13,8-5,55,522,40.15
Louisiana Tech (CUSA),13,7-6,61,527,40.54
Louisiana (Sun Belt),12,5-7,58,487,40.58
Navy (AAC),13,7-6,53,528,40.62
Alabama (SEC),14,13-1,70,569,40.64
Iowa (Big Ten),13,8-5,66,534,41.08
Tennessee (SEC),12,4-8,67,497,41.42
Duke (ACC),13,7-6,62,541,41.62
Wake Forest (ACC),13,8-5,69,544,41.85
Arkansas (SEC),12,4-8,58,505,42.08
Virginia Tech (ACC),13,9-4,60,548,42.15
Nevada (Mountain West),12,3-9,58,519,43.25
Clemson (ACC),14,12-2,69,608,43.43
Fresno St. (Mountain West),14,10-4,74,610,43.57
North Texas (CUSA),14,9-5,69,613,43.79
ULM (Sun Belt),12,4-8,64,531,44.25
Texas A&M (SEC),13,7-6,67,588,45.23
Ohio (MAC),13,9-4,67,590,45.38
Virginia (ACC),13,6-7,63,592,45.54
Oklahoma St. (Big 12),13,10-3,66,592,45.54
Kansas St. (Big 12),13,8-5,67,596,45.85
Kansas (Big 12),12,1-11,66,553,46.08
Stanford (Pac-12),14,9-5,81,662,47.29
Georgia St. (Sun Belt),12,7-5,62,569,47.42
Idaho (Sun Belt),12,4-8,64,571,47.58
Kentucky (SEC),13,7-6,71,626,48.15
Tulane (AAC),12,5-7,70,579,48.25
Notre Dame (FBS Independent),13,10-3,75,633,48.69
Western Ky. (CUSA),13,6-7,74,633,48.69
UConn (AAC),12,3-9,63,586,48.83
Northwestern (Big Ten),13,10-3,64,637,49.00
Syracuse (ACC),12,4-8,74,593,49.42
Buffalo (MAC),12,6-6,67,597,49.75
Boise St. (Mountain West),14,11-3,82,700,50.00
Rutgers (Big Ten),12,4-8,71,601,50.08
Vanderbilt (SEC),12,5-7,69,601,50.08
Wisconsin (Big Ten),14,13-1,75,703,50.21
Miami (FL) (ACC),13,10-3,69,656,50.46
Purdue (Big Ten),13,7-6,75,658,50.62
LSU (SEC),13,9-4,75,658,50.62
Louisville (ACC),13,8-5,82,664,51.08
New Mexico (Mountain West),12,3-9,73,613,51.08
Washington St. (Pac-12),13,9-4,73,666,51.23
UTEP (CUSA),12,0-12,70,625,52.08
Fla. Atlantic (CUSA),14,11-3,82,733,52.36
Western Mich. (MAC),12,6-6,68,639,53.25
San Jose St. (Mountain West),13,2-11,84,694,53.38
TCU (Big 12),14,11-3,89,750,53.57
UAB (CUSA),13,8-5,76,697,53.62
Florida St. (ACC),13,7-6,78,699,53.77
Houston (AAC),12,7-5,72,646,53.83
Ga. Southern (Sun Belt),12,2-10,77,648,54.00
Arizona (Pac-12),13,7-6,68,705,54.23
Mississippi St. (SEC),13,9-4,80,710,54.62
NC State (ACC),13,9-4,78,712,54.77
California (Pac-12),12,5-7,78,658,54.83
NIU (MAC),13,8-5,80,722,55.54
Georgia (SEC),15,13-2,95,835,55.67
Colorado (Pac-12),12,5-7,75,668,55.67
Baylor (Big 12),12,1-11,88,671,55.92
Utah St. (Mountain West),13,6-7,80,729,56.08
New Mexico St. (Independent),13,7-6,89,729,56.08
Massachusetts (FBS Independent),12,4-8,79,679,56.58
South Alabama (Sun Belt),12,4-8,73,679,56.58
Colorado St. (Mountain West),13,7-6,81,741,57.00
Michigan (Big Ten),13,8-5,86,743,57.15
Oklahoma (Big 12),14,12-2,82,808,57.71
Troy (Sun Belt),13,11-2,91,751,57.77
UTSA (CUSA),11,6-5,79,641,58.27
San Diego St. (Mountain West),13,10-3,85,758,58.31
Eastern Mich. (MAC),12,5-7,74,702,58.50
Florida (SEC),11,4-7,88,646,58.73
East Carolina (AAC),12,3-9,80,705,58.75
Indiana (Big Ten),12,5-7,71,707,58.92
Michigan St. (Big Ten),13,10-3,84,768,59.08
SMU (AAC),13,7-6,83,769,59.15
Missouri (SEC),13,7-6,96,774,59.54
West Virginia (Big 12),13,7-6,79,776,59.69
Marshall (CUSA),13,8-5,85,777,59.77
Tulsa (AAC),12,2-10,84,720,60.00
Nebraska (Big Ten),12,4-8,75,728,60.67
Utah (Pac-12),13,7-6,88,789,60.69
Central Mich. (MAC),13,8-5,83,804,61.85
Middle Tenn. (CUSA),13,7-6,84,809,62.23
Akron (MAC),14,7-7,88,873,62.36
Ole Miss (SEC),12,6-6,91,749,62.42
App State (Sun Belt),13,9-4,91,831,63.92
Illinois (Big Ten),12,2-10,85,768,64.00
Miami (OH) (MAC),12,5-7,86,769,64.08
Charlotte (CUSA),12,1-11,78,771,64.25
Maryland (Big Ten),12,4-8,83,774,64.50
FIU (CUSA),13,8-5,84,844,64.92
Texas (Big 12),13,7-6,92,869,66.85
Southern Miss. (CUSA),13,8-5,99,872,67.08
Ohio St. (Big Ten),14,12-2,97,943,67.36
Toledo (MAC),14,11-3,106,951,67.93
Oregon St. (Pac-12),12,1-11,84,816,68.00
UCF (AAC),13,13-0,109,888,68.31
Hawaii (Mountain West),12,3-9,93,826,68.83
Bowling Green (MAC),12,2-10,89,827,68.92
Arkansas St. (Sun Belt),12,7-5,94,828,69.00
Temple (AAC),13,7-6,101,902,69.38
Southern California (Pac-12),14,11-3,107,975,69.64
North Carolina (ACC),12,3-9,93,872,72.67
Cincinnati (AAC),12,4-8,94,876,73.00
Kent St. (MAC),12,2-10,94,895,74.58
UCLA (Pac-12),13,6-7,106,977,75.15
Texas Tech (Big 12),13,6-7,104,996,76.62
Memphis (AAC),13,10-3,111,1006,77.38
South Fla. (AAC),12,10-2,111,1032,86.00
