Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
UTSA (CUSA),11,6-5,76,75,15,166
Mississippi St. (SEC),13,9-4,80,72,23,175
Michigan (Big Ten),13,8-5,79,75,25,179
Florida (SEC),11,4-7,82,92,18,192
Wisconsin (Big Ten),14,13-1,79,97,20,196
San Diego St. (Mountain West),13,10-3,98,85,16,199
Virginia Tech (ACC),13,9-4,83,101,16,200
Georgia Tech (ACC),11,5-6,93,99,9,201
Michigan St. (Big Ten),13,10-3,63,122,21,206
Clemson (ACC),14,12-2,99,89,19,207
Minnesota (Big Ten),12,5-7,101,95,12,208
Indiana (Big Ten),12,5-7,98,84,28,210
LSU (SEC),13,9-4,83,109,19,211
Duke (ACC),13,7-6,103,87,22,212
Air Force (Mountain West),12,5-7,114,81,17,212
Washington St. (Pac-12),13,9-4,102,93,18,213
Alabama (SEC),14,13-1,76,114,25,215
Washington (Pac-12),13,10-3,93,115,11,219
NIU (MAC),13,8-5,84,116,21,221
App State (Sun Belt),13,9-4,95,109,18,222
Georgia St. (Sun Belt),12,7-5,83,128,11,222
Eastern Mich. (MAC),12,5-7,96,104,23,223
Western Mich. (MAC),12,6-6,98,104,22,224
Miami (OH) (MAC),12,5-7,97,98,30,225
Ga. Southern (Sun Belt),12,2-10,96,108,22,226
Penn St. (Big Ten),13,11-2,87,122,17,226
Florida St. (ACC),13,7-6,90,120,16,226
Utah (Pac-12),13,7-6,87,117,23,227
Massachusetts (FBS Independent),12,4-8,112,98,18,228
Texas (Big 12),13,7-6,81,130,18,229
Southern Miss. (CUSA),13,8-5,95,107,27,229
Navy (AAC),13,7-6,101,115,17,233
TCU (Big 12),14,11-3,79,128,26,233
Auburn (SEC),14,10-4,100,111,22,233
Arkansas St. (Sun Belt),12,7-5,88,120,25,233
Georgia (SEC),15,13-2,108,103,23,234
New Mexico (Mountain West),12,3-9,87,131,17,235
Ohio St. (Big Ten),14,12-2,77,127,31,235
Boston College (ACC),13,7-6,111,115,9,235
South Fla. (AAC),12,10-2,85,123,28,236
Army West Point (FBS Independent),13,10-3,115,106,15,236
Ohio (MAC),13,9-4,74,142,20,236
Pittsburgh (ACC),12,5-7,90,131,17,238
Fresno St. (Mountain West),14,10-4,92,132,15,239
Kent St. (MAC),12,2-10,111,96,34,241
Ball St. (MAC),12,2-10,105,122,15,242
Tulane (AAC),12,5-7,120,109,13,242
Rutgers (Big Ten),12,4-8,97,130,16,243
Wyoming (Mountain West),13,8-5,128,98,18,244
Iowa (Big Ten),13,8-5,96,130,18,244
Idaho (Sun Belt),12,4-8,112,121,12,245
Virginia (ACC),13,6-7,125,101,19,245
Syracuse (ACC),12,4-8,109,122,17,248
Troy (Sun Belt),13,11-2,93,136,19,248
Northwestern (Big Ten),13,10-3,83,149,17,249
Central Mich. (MAC),13,8-5,117,108,24,249
Texas St. (Sun Belt),12,2-10,89,148,12,249
Purdue (Big Ten),13,7-6,88,138,24,250
Boise St. (Mountain West),14,11-3,98,134,18,250
Western Ky. (CUSA),13,6-7,111,126,13,250
Marshall (CUSA),13,8-5,88,135,27,250
Vanderbilt (SEC),12,5-7,125,99,26,250
UAB (CUSA),13,8-5,110,113,31,254
NC State (ACC),13,9-4,99,136,19,254
Middle Tenn. (CUSA),13,7-6,110,119,26,255
Texas A&M (SEC),13,7-6,108,127,21,256
Arkansas (SEC),12,4-8,128,115,14,257
Buffalo (MAC),12,6-6,136,105,17,258
South Alabama (Sun Belt),12,4-8,98,139,21,258
Iowa St. (Big 12),13,8-5,97,148,15,260
Notre Dame (FBS Independent),13,10-3,110,131,19,260
Tennessee (SEC),12,4-8,154,92,16,262
Rice (CUSA),12,1-11,121,130,11,262
