Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Alabama (SEC),14,13-1,913,3646,3.99,17,18,260.4
Wisconsin (Big Ten),14,13-1,831,3669,4.42,18,21,262.1
Michigan (Big Ten),13,8-5,779,3523,4.52,27,30,271.0
Clemson (ACC),14,12-2,908,3874,4.27,21,22,276.7
UTSA (C-USA),11,6-5,636,3166,4.98,23,24,287.8
Georgia (SEC),15,13-2,943,4424,4.69,27,28,294.9
Michigan St. (Big Ten),13,10-3,794,3869,4.87,27,31,297.6
Washington (Pac-12),13,10-3,876,3874,4.42,21,24,298.0
Ohio St. (Big Ten),14,12-2,948,4213,4.44,29,35,300.9
Mississippi St. (SEC),13,9-4,761,3982,5.23,31,34,306.3
San Diego St. (Mountain West),13,10-3,804,4088,5.08,31,34,314.5
LSU (SEC),13,9-4,811,4108,5.07,27,27,316.0
Virginia Tech (ACC),13,9-4,820,4151,5.06,23,24,319.3
Auburn (SEC),14,10-4,957,4471,4.67,27,31,319.4
Fresno St. (Mountain West),14,10-4,924,4488,4.86,27,30,320.6
Washington St. (Pac-12),13,9-4,820,4203,5.13,37,41,323.3
Penn St. (Big Ten),13,11-2,898,4283,4.77,27,27,329.5
Florida St. (ACC),13,7-6,906,4304,4.75,34,34,331.1
TCU (Big 12),14,11-3,916,4640,5.07,31,32,331.4
Southern Miss. (C-USA),13,8-5,855,4315,5.05,37,40,331.9
Duke (ACC),13,7-6,828,4324,5.22,32,34,332.6
Boise St. (Mountain West),14,11-3,965,4657,4.83,37,42,332.6
Wyoming (Mountain West),13,8-5,933,4358,4.67,27,27,335.2
Troy (Sun Belt),13,11-2,916,4381,4.78,27,30,337.0
Utah (Pac-12),13,7-6,868,4399,5.07,31,33,338.4
NIU (MAC),13,8-5,953,4401,4.62,30,33,338.5
Indiana (Big Ten),12,5-7,829,4081,4.92,36,39,340.1
Marshall (C-USA),13,8-5,897,4442,4.95,31,32,341.7
App State (Sun Belt),13,9-4,839,4453,5.31,28,30,342.5
Minnesota (Big Ten),12,5-7,754,4160,5.52,35,36,346.7
Florida (SEC),11,4-7,670,3842,5.73,32,36,349.3
Army West Point (FBS Independent),13,10-3,727,4546,6.25,37,39,349.7
Georgia Tech (ACC),11,5-6,706,3897,5.52,32,35,354.3
Northwestern (Big Ten),13,10-3,926,4644,5.02,31,33,357.2
Middle Tenn. (C-USA),13,7-6,939,4645,4.95,37,39,357.3
Iowa (Big Ten),13,8-5,914,4647,5.08,29,30,357.5
South Fla. (AAC),12,10-2,892,4317,4.84,34,37,359.8
Miami (FL) (ACC),13,10-3,989,4717,4.77,29,30,362.8
Eastern Mich. (MAC),12,5-7,817,4363,5.34,33,35,363.6
Virginia (ACC),13,6-7,879,4746,5.40,43,49,365.1
UAB (C-USA),13,8-5,882,4753,5.39,37,39,365.6
Texas (Big 12),13,7-6,916,4753,5.19,31,33,365.6
Iowa St. (Big 12),13,8-5,882,4760,5.40,33,34,366.2
South Carolina (SEC),13,9-4,924,4772,5.16,29,30,367.1
Miami (OH) (MAC),12,5-7,814,4411,5.42,32,37,367.6
Oregon (Pac-12),13,7-6,946,4799,5.07,44,47,369.2
Notre Dame (FBS Independent),13,10-3,951,4799,5.05,32,34,369.2
Navy (AAC),13,7-6,780,4814,6.17,41,43,370.3
Central Mich. (MAC),13,8-5,959,4820,5.03,40,44,370.8
Ohio (MAC),13,9-4,912,4831,5.30,36,38,371.6
BYU (FBS Independent),13,4-9,906,4847,5.35,34,37,372.8
Purdue (Big Ten),13,7-6,926,4881,5.27,31,32,375.5
Western Ky. (C-USA),13,6-7,888,4903,5.52,38,42,377.2
Arkansas St. (Sun Belt),12,7-5,857,4530,5.29,35,40,377.5
Western Mich. (MAC),12,6-6,806,4542,5.64,45,47,378.5
Temple (AAC),13,7-6,919,4959,5.40,39,40,381.5
Boston College (ACC),13,7-6,926,4977,5.37,36,37,382.8
NC State (ACC),13,9-4,898,4995,5.56,37,40,384.2
Toledo (MAC),14,11-3,958,5390,5.63,47,48,385.0
Louisiana Tech (C-USA),13,7-6,897,5012,5.59,38,41,385.5
Georgia St. (Sun Belt),12,7-5,802,4654,5.80,37,38,387.8
Louisville (ACC),13,8-5,899,5045,5.61,42,47,388.1
Fla. Atlantic (C-USA),14,11-3,1051,5454,5.19,40,40,389.6
Idaho (Sun Belt),12,4-8,835,4685,5.61,35,36,390.4
Vanderbilt (SEC),12,5-7,807,4717,5.85,46,48,393.1
Air Force (Mountain West),12,5-7,694,4727,6.81,47,49,393.9
Oklahoma (Big 12),14,12-2,947,5529,5.84,47,47,394.9
Southern California (Pac-12),14,11-3,985,5539,5.62,42,46,395.6
Pittsburgh (ACC),12,5-7,798,4759,5.96,38,41,396.6
New Mexico (Mountain West),12,3-9,779,4776,6.13,48,50,398.0
Buffalo (MAC),12,6-6,870,4778,5.49,39,39,398.2
Rutgers (Big Ten),12,4-8,836,4783,5.72,40,41,398.6
Utah St. (Mountain West),13,6-7,1002,5185,5.17,37,43,398.8
New Mexico St. (Independent),13,7-6,972,5211,5.36,46,50,400.8
Massachusetts (FBS Independent),12,4-8,844,4859,5.76,44,47,404.9
Stanford (Pac-12),14,9-5,949,5672,5.98,38,39,405.1
Kent St. (MAC),12,2-10,789,4900,6.21,50,56,408.3
Texas A&M (SEC),13,7-6,943,5310,5.63,47,51,408.5
Oklahoma St. (Big 12),13,10-3,966,5321,5.51,42,48,409.3
Ga. Southern (Sun Belt),12,2-10,746,4925,6.60,49,52,410.4
Tennessee (SEC),12,4-8,834,4955,5.94,44,45,412.9
Missouri (SEC),13,7-6,962,5383,5.60,47,50,414.1
FIU (C-USA),13,8-5,896,5394,6.02,47,47,414.9
South Alabama (Sun Belt),12,4-8,852,5013,5.88,36,38,417.8
Illinois (Big Ten),12,2-10,887,5021,5.66,47,50,418.4
Maryland (Big Ten),12,4-8,896,5033,5.62,52,59,419.4
Ball St. (MAC),12,2-10,764,5059,6.62,56,65,421.6
Houston (AAC),12,7-5,944,5066,5.37,29,32,422.2
Rice (C-USA),12,1-11,795,5110,6.43,50,55,425.8
Kansas St. (Big 12),13,8-5,953,5548,5.82,40,40,426.8
Kentucky (SEC),13,7-6,893,5550,6.22,44,46,426.9
Old Dominion (C-USA),12,5-7,885,5132,5.80,49,51,427.7
UCF (AAC),13,13-0,969,5563,5.74,40,43,427.9
Cincinnati (AAC),12,4-8,879,5142,5.85,42,46,428.5
California (Pac-12),12,5-7,888,5159,5.81,39,40,429.9
North Texas (C-USA),14,9-5,1013,6040,5.96,59,63,431.4
Colorado St. (Mountain West),13,7-6,892,5611,6.29,43,46,431.6
Tulane (AAC),12,5-7,783,5233,6.68,45,47,436.1
North Carolina (ACC),12,3-9,895,5233,5.85,43,48,436.1
Nebraska (Big Ten),12,4-8,826,5234,6.34,52,58,436.2
Arkansas (SEC),12,4-8,815,5259,6.45,51,56,438.3
Texas St. (Sun Belt),12,2-10,852,5267,6.18,42,48,438.9
Akron (MAC),14,7-7,1030,6200,6.02,48,49,442.9
Texas Tech (Big 12),13,6-7,998,5769,5.78,49,52,443.8
Syracuse (ACC),12,4-8,832,5328,6.40,47,49,444.0
West Virginia (Big 12),13,7-6,944,5792,6.14,50,50,445.5
UTEP (C-USA),12,0-12,859,5359,6.24,56,60,446.6
Arizona St. (Pac-12),13,7-6,924,5846,6.33,51,54,449.7
Colorado (Pac-12),12,5-7,884,5407,6.12,40,42,450.6
Charlotte (C-USA),12,1-11,886,5455,6.16,44,51,454.6
Baylor (Big 12),12,1-11,849,5483,6.46,47,52,456.9
Wake Forest (ACC),13,8-5,1069,5945,5.56,44,45,457.3
UNLV (Mountain West),12,5-7,878,5504,6.27,48,49,458.7
Hawaii (Mountain West),12,3-9,814,5505,6.76,52,55,458.8
Ole Miss (SEC),12,6-6,895,5514,6.16,47,51,459.5
Memphis (AAC),13,10-3,1054,6061,5.75,56,56,466.2
Kansas (Big 12),12,1-11,873,5620,6.44,62,68,468.3
Arizona (Pac-12),13,7-6,1015,6125,6.03,57,59,471.2
Nevada (Mountain West),12,3-9,924,5656,6.12,48,51,471.3
Oregon St. (Pac-12),12,1-11,859,5677,6.61,64,67,473.1
SMU (AAC),13,7-6,940,6197,6.59,59,62,476.7
UCLA (Pac-12),13,6-7,1004,6288,6.26,54,58,483.7
Louisiana (Sun Belt),12,5-7,899,5912,6.58,60,64,492.7
San Jose St. (Mountain West),13,2-11,1045,6491,6.21,65,70,499.3
