Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Eastern Mich. (MAC),12,5-7,2,10,0.200
Duke (ACC),13,7-6,6,27,0.222
San Diego St. (Mountain West),13,10-3,4,18,0.222
Texas St. (Sun Belt),12,2-10,4,16,0.250
Fresno St. (Mountain West),14,10-4,7,24,0.292
Georgia (SEC),15,13-2,5,17,0.294
Texas (Big 12),13,7-6,6,20,0.300
Ball St. (MAC),12,2-10,4,12,0.333
Arkansas St. (Sun Belt),12,7-5,4,11,0.364
Northwestern (Big Ten),13,10-3,8,22,0.364
South Fla. (AAC),12,10-2,7,19,0.368
Alabama (SEC),14,13-1,7,19,0.368
Mississippi St. (SEC),13,9-4,6,16,0.375
Colorado (Pac-12),12,5-7,6,16,0.375
LSU (SEC),13,9-4,8,21,0.381
Stanford (Pac-12),14,9-5,7,18,0.389
Arizona St. (Pac-12),13,7-6,7,18,0.389
Colorado St. (Mountain West),13,7-6,7,18,0.389
Tennessee (SEC),12,4-8,4,10,0.400
UTSA (CUSA),11,6-5,6,15,0.400
Ohio (MAC),13,9-4,12,30,0.400
Charlotte (CUSA),12,1-11,6,15,0.400
Miami (OH) (MAC),12,5-7,10,25,0.400
Miami (FL) (ACC),13,10-3,9,22,0.409
Boston College (ACC),13,7-6,7,17,0.412
Minnesota (Big Ten),12,5-7,7,17,0.412
Oregon (Pac-12),13,7-6,10,24,0.417
Washington St. (Pac-12),13,9-4,8,19,0.421
Toledo (MAC),14,11-3,11,26,0.423
Massachusetts (FBS Independent),12,4-8,9,21,0.429
FIU (CUSA),13,8-5,12,28,0.429
Virginia Tech (ACC),13,9-4,10,23,0.435
UConn (AAC),12,3-9,10,23,0.435
Iowa St. (Big 12),13,8-5,7,16,0.438
Ga. Southern (Sun Belt),12,2-10,7,16,0.438
Fla. Atlantic (CUSA),14,11-3,14,32,0.438
Penn St. (Big Ten),13,11-2,11,25,0.440
Marshall (CUSA),13,8-5,11,25,0.440
Southern Miss. (CUSA),13,8-5,8,18,0.444
California (Pac-12),12,5-7,8,18,0.444
SMU (AAC),13,7-6,13,29,0.448
Middle Tenn. (CUSA),13,7-6,15,33,0.455
Michigan (Big Ten),13,8-5,5,11,0.455
Notre Dame (FBS Independent),13,10-3,11,24,0.458
Utah St. (Mountain West),13,6-7,12,26,0.462
Troy (Sun Belt),13,11-2,14,30,0.467
Auburn (SEC),14,10-4,14,30,0.467
Pittsburgh (ACC),12,5-7,8,17,0.471
Tulsa (AAC),12,2-10,8,17,0.471
Central Mich. (MAC),13,8-5,9,19,0.474
Bowling Green (MAC),12,2-10,9,19,0.474
UAB (CUSA),13,8-5,9,19,0.474
