Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Troy (Sun Belt),13,11-2,44,6,13,8,27,0.614
TCU (Big 12),14,11-3,36,5,11,9,25,0.694
Army West Point (FBS Independent),13,10-3,34,11,8,5,24,0.706
Southern California (Pac-12),14,11-3,52,16,11,10,37,0.712
Wisconsin (Big Ten),14,13-1,35,6,5,14,25,0.714
UTSA (C-USA),11,6-5,25,7,7,4,18,0.720
Virginia Tech (ACC),13,9-4,29,6,7,8,21,0.724
Ohio St. (Big Ten),14,12-2,40,11,12,6,29,0.725
Virginia (ACC),13,6-7,44,18,9,5,32,0.727
Louisiana Tech (C-USA),13,7-6,41,17,3,10,30,0.732
Marshall (C-USA),13,8-5,41,11,10,9,30,0.732
Northwestern (Big Ten),13,10-3,41,11,12,7,30,0.732
South Alabama (Sun Belt),12,4-8,58,13,14,16,43,0.741
Miami (OH) (MAC),12,5-7,35,7,10,9,26,0.743
Buffalo (MAC),12,6-6,39,16,7,6,29,0.744
Tulane (AAC),12,5-7,39,19,6,4,29,0.744
Central Mich. (MAC),13,8-5,51,17,9,12,38,0.745
Alabama (SEC),14,13-1,32,9,6,9,24,0.750
San Diego St. (Mountain West),13,10-3,33,12,7,6,25,0.758
Arizona (Pac-12),13,7-6,63,27,15,6,48,0.762
Pittsburgh (ACC),12,5-7,34,10,8,8,26,0.765
Wyoming (Mountain West),13,8-5,34,15,3,8,26,0.765
Houston (AAC),12,7-5,48,18,5,14,37,0.771
Fla. Atlantic (C-USA),14,11-3,48,16,11,10,37,0.771
Georgia (SEC),15,13-2,40,7,12,12,31,0.775
Georgia St. (Sun Belt),12,7-5,40,11,13,7,31,0.775
North Carolina (ACC),12,3-9,51,14,13,13,40,0.784
Kansas St. (Big 12),13,8-5,47,13,11,13,37,0.787
Notre Dame (FBS Independent),13,10-3,48,8,17,13,38,0.792
FIU (C-USA),13,8-5,53,19,15,8,42,0.792
Clemson (ACC),14,12-2,29,4,9,10,23,0.793
UNLV (Mountain West),12,5-7,63,27,10,13,50,0.794
Ga. Southern (Sun Belt),12,2-10,39,14,13,4,31,0.795
NC State (ACC),13,9-4,44,12,12,11,35,0.795
Idaho (Sun Belt),12,4-8,49,13,10,16,39,0.796
Hawaii (Mountain West),12,3-9,50,16,17,7,40,0.800
Iowa (Big Ten),13,8-5,40,8,10,14,32,0.800
UAB (C-USA),13,8-5,40,13,9,10,32,0.800
Mississippi St. (SEC),13,9-4,30,13,4,7,24,0.800
Akron (MAC),14,7-7,55,19,15,10,44,0.800
New Mexico St. (Independent),13,7-6,46,17,10,10,37,0.804
Arkansas St. (Sun Belt),12,7-5,31,14,5,6,25,0.806
Memphis (AAC),13,10-3,57,23,13,10,46,0.807
California (Pac-12),12,5-7,47,15,10,13,38,0.809
Boston College (ACC),13,7-6,42,18,5,11,34,0.810
