Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
UCF (AAC),13,13-0,84,80,1,0,13,1,627,48.2
Memphis (AAC),13,10-3,79,76,0,0,14,0,592,45.5
Oklahoma (Big 12),14,12-2,83,81,1,0,17,0,632,45.1
Oklahoma St. (Big 12),13,10-3,74,70,1,0,23,0,585,45.0
Arizona (Pac-12),13,7-6,71,67,1,0,14,0,537,41.3
Ohio St. (Big Ten),14,12-2,75,71,1,0,17,1,576,41.1
Penn St. (Big Ten),13,11-2,72,71,0,0,9,2,534,41.1
Fla. Atlantic (C-USA),14,11-3,75,65,4,0,15,0,568,40.6
Ohio (MAC),13,9-4,66,61,1,0,15,2,508,39.1
South Fla. (AAC),12,10-2,57,52,1,0,21,0,459,38.3
Louisville (ACC),13,8-5,64,58,1,0,17,0,495,38.1
SMU (AAC),13,7-6,64,57,1,1,15,1,492,37.8
Arkansas St. (Sun Belt),12,7-5,59,48,1,0,16,1,454,37.8
Missouri (SEC),13,7-6,63,59,0,0,17,0,488,37.5
Alabama (SEC),14,13-1,66,64,1,0,19,0,519,37.1
Toledo (MAC),14,11-3,62,56,2,1,25,0,509,36.4
Washington (Pac-12),13,10-3,62,58,1,0,13,0,471,36.2
Oregon (Pac-12),13,7-6,63,63,0,0,9,0,468,36.0
North Texas (C-USA),14,9-5,63,55,2,0,20,0,497,35.5
Georgia (SEC),15,13-2,67,64,1,0,21,0,531,35.4
Wake Forest (ACC),13,8-5,57,52,0,0,21,1,459,35.3
West Virginia (Big 12),13,7-6,59,56,3,0,11,0,449,34.5
Texas Tech (Big 12),13,6-7,59,56,0,0,12,0,446,34.3
Notre Dame (FBS Independent),13,10-3,57,55,2,0,14,1,445,34.2
Western Mich. (MAC),12,6-6,52,46,2,0,15,0,407,33.9
ULM (Sun Belt),12,4-8,54,45,2,1,10,1,407,33.9
Auburn (SEC),14,10-4,58,57,0,0,23,0,474,33.9
Wisconsin (Big Ten),14,13-1,60,59,1,0,16,2,473,33.8
TCU (Big 12),14,11-3,62,56,0,0,14,0,470,33.6
App State (Sun Belt),13,9-4,55,52,0,0,17,1,435,33.5
Colorado St. (Mountain West),13,7-6,56,53,0,0,15,0,434,33.4
Clemson (ACC),14,12-2,62,58,0,0,12,0,466,33.3
Ole Miss (SEC),12,6-6,48,43,2,0,19,1,394,32.8
Texas A&M (SEC),13,7-6,53,51,0,0,18,1,425,32.7
Southern California (Pac-12),14,11-3,60,58,1,0,12,0,456,32.6
Boise St. (Mountain West),14,11-3,57,57,0,0,18,1,455,32.5
UCLA (Pac-12),13,6-7,53,49,2,0,17,0,422,32.5
Stanford (Pac-12),14,9-5,56,54,0,0,21,0,453,32.4
Kansas St. (Big 12),13,8-5,51,49,1,0,21,0,420,32.3
NC State (ACC),13,9-4,56,49,2,0,10,0,419,32.2
Mississippi St. (SEC),13,9-4,53,50,1,0,14,2,416,32.0
Arizona St. (Pac-12),13,7-6,51,49,0,0,19,1,414,31.8
Troy (Sun Belt),13,11-2,54,47,3,0,11,0,410,31.5
Air Force (Mountain West),12,5-7,50,45,1,0,10,0,377,31.4
San Diego St. (Mountain West),13,10-3,52,52,0,0,12,0,400,30.8
Army West Point (FBS Independent),13,10-3,56,50,2,0,3,0,399,30.7
Massachusetts (FBS Independent),12,4-8,47,42,1,0,13,1,367,30.6
Louisiana Tech (C-USA),13,7-6,46,43,0,1,25,0,396,30.5
Navy (AAC),13,7-6,52,48,1,0,10,2,396,30.5
Washington St. (Pac-12),13,9-4,48,46,0,0,20,0,394,30.3
Utah St. (Mountain West),13,6-7,48,47,0,0,19,0,392,30.2
Utah (Pac-12),13,7-6,42,40,1,0,30,0,384,29.5
Texas (Big 12),13,7-6,50,48,0,0,11,1,383,29.5
Tulsa (AAC),12,2-10,45,44,0,1,12,0,352,29.3
New Mexico St. (Independent),13,7-6,50,40,1,0,13,0,381,29.3
Iowa St. (Big 12),13,8-5,47,45,1,0,17,0,380,29.2
Northwestern (Big Ten),13,10-3,49,45,1,0,13,0,380,29.2
Southern Miss. (C-USA),13,8-5,47,42,2,0,17,0,379,29.2
Miami (FL) (ACC),13,10-3,47,45,0,0,17,0,378,29.1
NIU (MAC),13,8-5,50,49,0,0,9,0,376,28.9
UNLV (Mountain West),12,5-7,40,38,1,0,22,0,346,28.8
Arkansas (SEC),12,4-8,46,41,2,0,8,0,345,28.8
Buffalo (MAC),12,6-6,43,37,1,0,15,0,342,28.5
Central Mich. (MAC),13,8-5,50,45,1,0,7,1,370,28.5
Houston (AAC),12,7-5,43,43,0,0,12,1,339,28.3
Iowa (Big Ten),13,8-5,48,44,0,0,11,1,367,28.2
Nevada (Mountain West),12,3-9,45,40,2,0,8,0,338,28.2
Louisiana (Sun Belt),12,5-7,45,36,0,1,10,0,338,28.2
Virginia Tech (ACC),13,9-4,45,42,0,0,18,0,366,28.2
Georgia Tech (ACC),11,5-6,42,34,1,0,7,0,309,28.1
Florida St. (ACC),13,7-6,44,42,0,0,18,1,362,27.8
UAB (C-USA),13,8-5,46,40,2,0,13,1,361,27.8
California (Pac-12),12,5-7,39,35,2,0,20,0,333,27.8
Tulane (AAC),12,5-7,44,37,1,0,9,0,330,27.5
Syracuse (ACC),12,4-8,37,35,1,1,22,1,329,27.4
LSU (SEC),13,9-4,44,40,1,0,16,0,354,27.2
Fresno St. (Mountain West),14,10-4,43,41,0,0,25,3,380,27.1
Indiana (Big Ten),12,5-7,39,38,0,0,16,1,322,26.8
Marshall (C-USA),13,8-5,45,41,2,0,10,1,347,26.7
