Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Navy (AAC),13,7-6,471:56,36:18
Wisconsin (Big Ten),14,13-1,496:49,35:29
Michigan St. (Big Ten),13,10-3,459:06,35:18
Army West Point (FBS Independent),13,10-3,451:29,34:43
Ga. Southern (Sun Belt),12,2-10,407:52,33:59
Georgia Tech (ACC),11,5-6,368:35,33:30
Air Force (Mountain West),12,5-7,401:31,33:27
Mississippi St. (SEC),13,9-4,434:00,33:23
UTSA (C-USA),11,6-5,365:25,33:13
Ball St. (MAC),12,2-10,398:01,33:10
NC State (ACC),13,9-4,425:39,32:44
Virginia Tech (ACC),13,9-4,424:54,32:41
Tulane (AAC),12,5-7,391:02,32:35
LSU (SEC),13,9-4,423:34,32:34
Utah (Pac-12),13,7-6,422:46,32:31
Pittsburgh (ACC),12,5-7,389:33,32:27
Washington St. (Pac-12),13,9-4,421:30,32:25
New Mexico (Mountain West),12,3-9,388:53,32:24
Georgia (SEC),15,13-2,481:48,32:07
Michigan (Big Ten),13,8-5,415:23,31:57
Colorado St. (Mountain West),13,7-6,415:06,31:55
San Diego St. (Mountain West),13,10-3,414:52,31:54
Oklahoma (Big 12),14,12-2,445:33,31:49
Toledo (MAC),14,11-3,442:36,31:36
Hawaii (Mountain West),12,3-9,377:38,31:28
Kent St. (MAC),12,2-10,377:10,31:25
Miami (OH) (MAC),12,5-7,377:06,31:25
Arkansas (SEC),12,4-8,376:57,31:24
Arizona St. (Pac-12),13,7-6,408:12,31:24
Duke (ACC),13,7-6,407:56,31:22
Auburn (SEC),14,10-4,439:03,31:21
App State (Sun Belt),13,9-4,407:09,31:19
Texas (Big 12),13,7-6,407:05,31:18
Fresno St. (Mountain West),14,10-4,437:56,31:16
Boise St. (Mountain West),14,11-3,437:32,31:15
East Carolina (AAC),12,3-9,374:16,31:11
UNLV (Mountain West),12,5-7,374:15,31:11
Florida (SEC),11,4-7,341:35,31:03
Marshall (C-USA),13,8-5,403:20,31:01
Georgia St. (Sun Belt),12,7-5,372:12,31:01
Minnesota (Big Ten),12,5-7,371:26,30:57
Ohio (MAC),13,9-4,402:00,30:55
Southern California (Pac-12),14,11-3,432:44,30:54
Northwestern (Big Ten),13,10-3,401:43,30:54
Florida St. (ACC),13,7-6,400:35,30:48
Idaho (Sun Belt),12,4-8,369:46,30:48
FIU (C-USA),13,8-5,398:57,30:41
TCU (Big 12),14,11-3,429:36,30:41
Clemson (ACC),14,12-2,429:24,30:40
Western Mich. (MAC),12,6-6,367:46,30:38
Kansas St. (Big 12),13,8-5,397:58,30:36
Nebraska (Big Ten),12,4-8,367:12,30:36
South Fla. (AAC),12,10-2,365:52,30:29
Virginia (ACC),13,6-7,396:04,30:28
Boston College (ACC),13,7-6,395:36,30:25
Louisville (ACC),13,8-5,395:28,30:25
Temple (AAC),13,7-6,395:01,30:23
Penn St. (Big Ten),13,11-2,394:31,30:20
Kentucky (SEC),13,7-6,394:21,30:20
Southern Miss. (C-USA),13,8-5,393:52,30:17
Stanford (Pac-12),14,9-5,423:45,30:16
North Texas (C-USA),14,9-5,423:38,30:15
Iowa St. (Big 12),13,8-5,393:22,30:15
Louisiana Tech (C-USA),13,7-6,392:21,30:10
Syracuse (ACC),12,4-8,361:53,30:09
Iowa (Big Ten),13,8-5,390:35,30:02
Eastern Mich. (MAC),12,5-7,359:34,29:57
Baylor (Big 12),12,1-11,357:39,29:48
Buffalo (MAC),12,6-6,357:29,29:47
Alabama (SEC),14,13-1,416:33,29:45
ULM (Sun Belt),12,4-8,356:32,29:42
Rice (C-USA),12,1-11,355:17,29:36
South Alabama (Sun Belt),12,4-8,355:16,29:36
Louisiana (Sun Belt),12,5-7,354:55,29:34
UConn (AAC),12,3-9,354:47,29:33
SMU (AAC),13,7-6,384:06,29:32
Texas St. (Sun Belt),12,2-10,354:14,29:31
Texas Tech (Big 12),13,6-7,383:27,29:29
California (Pac-12),12,5-7,353:50,29:29
Middle Tenn. (C-USA),13,7-6,382:47,29:26
Western Ky. (C-USA),13,6-7,381:53,29:22
Vanderbilt (SEC),12,5-7,352:26,29:22
Massachusetts (FBS Independent),12,4-8,350:37,29:13
Oregon St. (Pac-12),12,1-11,350:19,29:11
Texas A&M (SEC),13,7-6,379:26,29:11
Purdue (Big Ten),13,7-6,376:09,28:56
Arkansas St. (Sun Belt),12,7-5,346:17,28:51
Colorado (Pac-12),12,5-7,346:13,28:51
Akron (MAC),14,7-7,402:27,28:44
South Carolina (SEC),13,9-4,373:08,28:42
Old Dominion (C-USA),12,5-7,343:40,28:38
Arizona (Pac-12),13,7-6,372:08,28:37
UAB (C-USA),13,8-5,371:51,28:36
NIU (MAC),13,8-5,371:38,28:35
Central Mich. (MAC),13,8-5,370:49,28:31
Washington (Pac-12),13,10-3,370:47,28:31
Rutgers (Big Ten),12,4-8,342:05,28:30
Ohio St. (Big Ten),14,12-2,397:40,28:24
Indiana (Big Ten),12,5-7,340:37,28:23
New Mexico St. (Independent),13,7-6,367:33,28:16
Oregon (Pac-12),13,7-6,367:11,28:14
Illinois (Big Ten),12,2-10,338:56,28:14
Tennessee (SEC),12,4-8,338:46,28:13
Oklahoma St. (Big 12),13,10-3,365:27,28:06
UCF (AAC),13,13-0,365:01,28:04
Houston (AAC),12,7-5,336:31,28:02
Tulsa (AAC),12,2-10,336:14,28:01
BYU (FBS Independent),13,4-9,362:33,27:53
Wyoming (Mountain West),13,8-5,359:32,27:39
Notre Dame (FBS Independent),13,10-3,358:53,27:36
Troy (Sun Belt),13,11-2,358:45,27:35
UTEP (C-USA),12,0-12,330:52,27:34
Kansas (Big 12),12,1-11,330:09,27:30
Fla. Atlantic (C-USA),14,11-3,384:28,27:27
Maryland (Big Ten),12,4-8,327:17,27:16
West Virginia (Big 12),13,7-6,354:16,27:15
Bowling Green (MAC),12,2-10,326:36,27:13
Charlotte (C-USA),12,1-11,326:28,27:12
Wake Forest (ACC),13,8-5,351:41,27:03
Utah St. (Mountain West),13,6-7,346:24,26:38
Cincinnati (AAC),12,4-8,319:10,26:35
North Carolina (ACC),12,3-9,318:33,26:32
Miami (FL) (ACC),13,10-3,344:42,26:30
UCLA (Pac-12),13,6-7,344:12,26:28
Memphis (AAC),13,10-3,343:16,26:24
Nevada (Mountain West),12,3-9,308:48,25:44
Ole Miss (SEC),12,6-6,302:35,25:12
Missouri (SEC),13,7-6,325:17,25:01
San Jose St. (Mountain West),13,2-11,322:22,24:47
Coastal Carolina (Sun Belt),12,3-9,363:42,30:18
Liberty (Independent),11,6-5,312:47,28:26
