Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Michigan (Big Ten),13,8-5,47,180,0.261
Virginia Tech (ACC),13,9-4,49,187,0.262
Texas (Big 12),13,7-6,54,199,0.271
Washington St. (Pac-12),13,9-4,49,172,0.285
Wisconsin (Big Ten),14,13-1,55,189,0.291
Clemson (ACC),14,12-2,65,222,0.293
New Mexico St. (Independent),13,7-6,55,186,0.296
Indiana (Big Ten),12,5-7,55,184,0.299
Ohio (MAC),13,9-4,58,194,0.299
Mississippi St. (SEC),13,9-4,52,171,0.304
NIU (MAC),13,8-5,67,220,0.305
Georgia Tech (ACC),11,5-6,43,139,0.309
Syracuse (ACC),12,4-8,51,164,0.311
TCU (Big 12),14,11-3,66,211,0.313
Kent St. (MAC),12,2-10,46,146,0.315
Duke (ACC),13,7-6,57,178,0.320
Ohio St. (Big Ten),14,12-2,69,215,0.321
Michigan St. (Big Ten),13,10-3,57,174,0.328
Georgia (SEC),15,13-2,71,216,0.329
Auburn (SEC),14,10-4,73,222,0.329
Arkansas St. (Sun Belt),12,7-5,61,185,0.330
Florida (SEC),11,4-7,46,139,0.331
App State (Sun Belt),13,9-4,60,181,0.331
Oregon (Pac-12),13,7-6,66,198,0.333
West Virginia (Big 12),13,7-6,65,195,0.333
Akron (MAC),14,7-7,65,190,0.342
Toledo (MAC),14,11-3,67,195,0.344
Southern Miss. (C-USA),13,8-5,65,188,0.346
Iowa (Big Ten),13,8-5,65,188,0.346
Alabama (SEC),14,13-1,74,214,0.346
Texas A&M (SEC),13,7-6,67,193,0.347
Middle Tenn. (C-USA),13,7-6,71,204,0.348
Fresno St. (Mountain West),14,10-4,70,201,0.348
UTSA (C-USA),11,6-5,46,132,0.348
Central Mich. (MAC),13,8-5,73,209,0.349
Penn St. (Big Ten),13,11-2,73,209,0.349
Notre Dame (FBS Independent),13,10-3,73,207,0.353
LSU (SEC),13,9-4,63,178,0.354
Utah St. (Mountain West),13,6-7,75,211,0.355
Southern California (Pac-12),14,11-3,74,207,0.357
Purdue (Big Ten),13,7-6,74,206,0.359
Marshall (C-USA),13,8-5,68,189,0.360
Texas St. (Sun Belt),12,2-10,61,169,0.361
Northwestern (Big Ten),13,10-3,73,202,0.361
Florida St. (ACC),13,7-6,72,199,0.362
UAB (C-USA),13,8-5,68,187,0.364
South Fla. (AAC),12,10-2,71,195,0.364
Wyoming (Mountain West),13,8-5,75,205,0.366
Virginia (ACC),13,6-7,69,188,0.367
Eastern Mich. (MAC),12,5-7,64,174,0.368
Boston College (ACC),13,7-6,77,208,0.370
Massachusetts (FBS Independent),12,4-8,67,180,0.372
Vanderbilt (SEC),12,5-7,62,166,0.373
North Carolina (ACC),12,3-9,70,187,0.374
Washington (Pac-12),13,10-3,76,201,0.378
Utah (Pac-12),13,7-6,73,193,0.378
Oklahoma (Big 12),14,12-2,73,192,0.380
Western Mich. (MAC),12,6-6,64,168,0.381
Boise St. (Mountain West),14,11-3,78,204,0.382
New Mexico (Mountain West),12,3-9,62,162,0.383
Temple (AAC),13,7-6,74,193,0.383
FIU (C-USA),13,8-5,61,159,0.384
UCLA (Pac-12),13,6-7,71,185,0.384
Minnesota (Big Ten),12,5-7,63,164,0.384
Rutgers (Big Ten),12,4-8,68,177,0.384
Georgia St. (Sun Belt),12,7-5,67,174,0.385
Miami (OH) (MAC),12,5-7,69,178,0.388
Oklahoma St. (Big 12),13,10-3,80,206,0.388
Troy (Sun Belt),13,11-2,81,208,0.389
San Diego St. (Mountain West),13,10-3,69,177,0.390
Baylor (Big 12),12,1-11,66,169,0.391
Houston (AAC),12,7-5,79,202,0.391
Ga. Southern (Sun Belt),12,2-10,58,148,0.392
Fla. Atlantic (C-USA),14,11-3,85,216,0.394
Miami (FL) (ACC),13,10-3,87,220,0.395
South Carolina (SEC),13,9-4,76,191,0.398
Wake Forest (ACC),13,8-5,90,226,0.398
Kansas (Big 12),12,1-11,71,177,0.401
Army West Point (FBS Independent),13,10-3,55,137,0.401
Idaho (Sun Belt),12,4-8,72,178,0.404
Kentucky (SEC),13,7-6,75,185,0.405
Pittsburgh (ACC),12,5-7,69,170,0.406
BYU (FBS Independent),13,4-9,76,187,0.406
Iowa St. (Big 12),13,8-5,77,189,0.407
UCF (AAC),13,13-0,82,201,0.408
Kansas St. (Big 12),13,8-5,80,194,0.412
Louisville (ACC),13,8-5,74,179,0.413
Louisiana Tech (C-USA),13,7-6,72,174,0.414
Ole Miss (SEC),12,6-6,78,188,0.415
Buffalo (MAC),12,6-6,77,184,0.418
NC State (ACC),13,9-4,80,191,0.419
Texas Tech (Big 12),13,6-7,83,197,0.421
