Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Cincinnati (AAC),12,4-8,44,9,15,9,33,0.750
Rice (C-USA),12,1-11,27,16,1,3,20,0.741
Western Ky. (C-USA),13,6-7,50,16,15,6,37,0.740
UConn (AAC),12,3-9,42,13,9,9,31,0.738
South Alabama (Sun Belt),12,4-8,38,9,8,11,28,0.737
BYU (FBS Independent),13,4-9,38,10,7,11,28,0.737
NC State (ACC),13,9-4,60,27,9,8,44,0.733
Southern California (Pac-12),14,11-3,59,19,15,9,43,0.729
Akron (MAC),14,7-7,33,13,7,4,24,0.727
Arkansas St. (Sun Belt),12,7-5,64,13,22,11,46,0.719
New Mexico (Mountain West),12,3-9,32,13,4,6,23,0.719
Hawaii (Mountain West),12,3-9,43,13,13,4,30,0.698
Texas Tech (Big 12),13,6-7,62,15,18,10,43,0.694
Charlotte (C-USA),12,1-11,26,11,4,3,18,0.692
Georgia St. (Sun Belt),12,7-5,36,10,6,8,24,0.667
San Jose St. (Mountain West),13,2-11,29,4,9,6,19,0.655
Kent St. (MAC),12,2-10,25,5,3,8,16,0.640
Liberty (Independent),11,6-5,40,14,9,12,35,0.875
Coastal Carolina (Sun Belt),12,3-9,32,12,9,6,27,0.844
