Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Army West Point (FBS Independent),13,10-3,785,4710,6.00,50,362.3
Navy (AAC),13,7-6,822,4568,5.56,42,351.4
Arizona (Pac-12),13,7-6,613,4021,6.56,48,309.3
Air Force (Mountain West),12,5-7,765,3689,4.82,38,307.4
Georgia Tech (ACC),11,5-6,632,3381,5.35,30,307.4
Fla. Atlantic (C-USA),14,11-3,665,3994,6.01,52,285.3
Notre Dame (FBS Independent),13,10-3,560,3501,6.25,35,269.3
South Fla. (AAC),12,10-2,634,3169,5.00,30,264.1
Georgia (SEC),15,13-2,670,3876,5.79,42,258.4
San Diego St. (Mountain West),13,10-3,575,3282,5.71,33,252.5
Mississippi St. (SEC),13,9-4,634,3272,5.16,30,251.7
Oregon (Pac-12),13,7-6,628,3263,5.20,40,251.0
Alabama (SEC),14,13-1,612,3509,5.73,36,250.6
Tulsa (AAC),12,2-10,592,2967,5.01,36,247.3
Louisville (ACC),13,8-5,495,3186,6.44,33,245.1
Ohio (MAC),13,9-4,554,3179,5.74,44,244.5
Ohio St. (Big Ten),14,12-2,589,3405,5.78,34,243.2
UNLV (Mountain West),12,5-7,528,2882,5.46,29,240.2
New Mexico (Mountain West),12,3-9,542,2825,5.21,21,235.4
Tulane (AAC),12,5-7,575,2778,4.83,31,231.5
Western Mich. (MAC),12,6-6,562,2697,4.80,26,224.8
App State (Sun Belt),13,9-4,530,2907,5.48,27,223.6
Wisconsin (Big Ten),14,13-1,629,3121,4.96,28,222.9
Ga. Southern (Sun Belt),12,2-10,644,2668,4.14,19,222.3
Boston College (ACC),13,7-6,618,2865,4.64,24,220.4
Auburn (SEC),14,10-4,642,3056,4.76,34,218.3
Oklahoma (Big 12),14,12-2,546,3049,5.58,33,217.8
LSU (SEC),13,9-4,563,2699,4.79,25,207.6
Toledo (MAC),14,11-3,558,2856,5.12,32,204.0
Stanford (Pac-12),14,9-5,480,2833,5.90,31,202.4
Colorado St. (Mountain West),13,7-6,518,2603,5.03,26,200.2
Kansas St. (Big 12),13,8-5,519,2584,4.98,29,198.8
UCF (AAC),13,13-0,500,2583,5.17,39,198.7
Memphis (AAC),13,10-3,453,2562,5.66,33,197.1
Clemson (ACC),14,12-2,578,2717,4.70,40,194.1
Missouri (SEC),13,7-6,486,2516,5.18,16,193.5
Wake Forest (ACC),13,8-5,537,2456,4.57,22,188.9
Rice (C-USA),12,1-11,486,2244,4.62,20,187.0
Southern California (Pac-12),14,11-3,543,2591,4.77,29,185.1
UTSA (C-USA),11,6-5,445,2030,4.56,11,184.5
Southern Miss. (C-USA),13,8-5,498,2399,4.82,19,184.5
SMU (AAC),13,7-6,486,2397,4.93,26,184.4
Louisiana (Sun Belt),12,5-7,452,2204,4.88,27,183.7
Washington (Pac-12),13,10-3,473,2382,5.04,37,183.2
UAB (C-USA),13,8-5,530,2381,4.49,27,183.2
Minnesota (Big Ten),12,5-7,525,2189,4.17,20,182.4
Oklahoma St. (Big 12),13,10-3,505,2337,4.63,34,179.8
NIU (MAC),13,8-5,558,2312,4.14,18,177.8
Michigan (Big Ten),13,8-5,529,2310,4.37,26,177.7
NC State (ACC),13,9-4,496,2293,4.62,35,176.4
Arizona St. (Pac-12),13,7-6,565,2276,4.03,27,175.1
Northwestern (Big Ten),13,10-3,537,2264,4.22,30,174.2
TCU (Big 12),14,11-3,533,2438,4.57,27,174.1
Virginia Tech (ACC),13,9-4,584,2254,3.86,19,173.4
