Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Alabama (SEC),14,13-1,18,15,0,0,14,1,167,11.9
Clemson (ACC),14,12-2,22,22,0,0,12,0,190,13.6
Wisconsin (Big Ten),14,13-1,21,21,0,0,16,0,195,13.9
Virginia Tech (ACC),13,9-4,24,24,0,0,8,0,192,14.8
Washington (Pac-12),13,10-3,24,23,0,0,14,0,209,16.1
Georgia (SEC),15,13-2,28,27,0,0,17,0,246,16.4
Penn St. (Big Ten),13,11-2,27,20,1,0,10,0,214,16.5
UTSA (C-USA),11,6-5,24,22,0,0,7,0,187,17.0
Wyoming (Mountain West),13,8-5,27,27,0,0,13,0,228,17.5
Fresno St. (Mountain West),14,10-4,30,27,1,0,14,0,251,17.9
Troy (Sun Belt),13,11-2,30,23,1,0,11,1,240,18.5
Auburn (SEC),14,10-4,31,29,1,0,14,0,259,18.5
Michigan (Big Ten),13,8-5,30,29,0,0,12,0,245,18.8
LSU (SEC),13,9-4,27,24,2,0,18,1,246,18.9
TCU (Big 12),14,11-3,32,30,0,0,14,1,266,19.0
Ohio St. (Big Ten),14,12-2,35,33,1,0,7,0,266,19.0
Marshall (C-USA),13,8-5,32,28,0,0,13,0,259,19.9
Iowa (Big Ten),13,8-5,30,29,0,0,16,1,259,19.9
Michigan St. (Big Ten),13,10-3,31,30,1,0,14,0,260,20.0
Northwestern (Big Ten),13,10-3,33,31,0,0,10,1,261,20.1
San Diego St. (Mountain West),13,10-3,34,28,2,0,9,0,263,20.2
App State (Sun Belt),13,9-4,30,29,0,0,18,0,263,20.2
Duke (ACC),13,7-6,34,32,0,0,9,0,263,20.2
Purdue (Big Ten),13,7-6,32,28,0,0,15,1,267,20.5
South Carolina (SEC),13,9-4,30,26,0,0,21,0,269,20.7
Iowa St. (Big 12),13,8-5,34,30,1,0,12,0,272,20.9
Mississippi St. (SEC),13,9-4,34,33,0,1,11,0,272,20.9
Miami (FL) (ACC),13,10-3,30,26,2,0,21,0,273,21.0
Texas (Big 12),13,7-6,33,30,0,0,16,0,276,21.2
Florida St. (ACC),13,7-6,34,28,1,0,14,0,276,21.2
Notre Dame (FBS Independent),13,10-3,34,31,1,0,14,0,279,21.5
Army West Point (FBS Independent),13,10-3,39,34,0,0,6,0,286,22.0
NIU (MAC),13,8-5,33,31,0,0,19,0,286,22.0
Stanford (Pac-12),14,9-5,39,35,2,0,15,0,318,22.7
Fla. Atlantic (C-USA),14,11-3,40,35,1,0,13,1,318,22.7
Minnesota (Big Ten),12,5-7,36,29,1,0,9,0,274,22.8
Boston College (ACC),13,7-6,37,34,0,0,13,1,297,22.8
Boise St. (Mountain West),14,11-3,42,39,0,0,9,1,320,22.9
Utah (Pac-12),13,7-6,33,29,1,0,24,0,301,23.2
Eastern Mich. (MAC),12,5-7,35,34,0,0,12,0,280,23.3
South Fla. (AAC),12,10-2,37,32,1,1,8,0,282,23.5
Houston (AAC),12,7-5,32,31,0,0,21,0,286,23.8
Miami (OH) (MAC),12,5-7,37,35,1,0,10,0,289,24.1
Ohio (MAC),13,9-4,38,32,1,0,17,1,315,24.2
Southern Miss. (C-USA),13,8-5,40,33,0,0,15,0,318,24.5
Middle Tenn. (C-USA),13,7-6,39,37,0,0,16,1,321,24.7
BYU (FBS Independent),13,4-9,37,34,0,0,21,1,321,24.7
Georgia St. (Sun Belt),12,7-5,38,36,0,0,11,0,297,24.8
Buffalo (MAC),12,6-6,39,35,1,0,9,0,298,24.8
Kansas St. (Big 12),13,8-5,40,34,1,0,17,0,327,25.2
NC State (ACC),13,9-4,40,36,1,0,16,1,328,25.2
UCF (AAC),13,13-0,43,36,1,0,11,0,329,25.3
Indiana (Big Ten),12,5-7,39,38,1,0,10,0,304,25.3
Louisiana Tech (C-USA),13,7-6,41,33,3,0,15,0,330,25.4
UAB (C-USA),13,8-5,39,30,2,1,21,0,333,25.6
Idaho (Sun Belt),12,4-8,36,31,1,0,20,0,309,25.8
Arkansas St. (Sun Belt),12,7-5,40,34,3,0,9,1,309,25.8
Temple (AAC),13,7-6,40,39,0,1,18,0,335,25.8
Washington St. (Pac-12),13,9-4,41,40,1,0,15,1,335,25.8
Southern California (Pac-12),14,11-3,46,43,1,0,15,0,366,26.1
Toledo (MAC),14,11-3,48,43,0,0,12,0,367,26.2
Navy (AAC),13,7-6,43,37,3,1,13,0,342,26.3
South Alabama (Sun Belt),12,4-8,38,31,1,0,19,0,318,26.5
Georgia Tech (ACC),11,5-6,35,30,1,0,16,1,292,26.5
Pittsburgh (ACC),12,5-7,41,41,0,0,10,1,319,26.6
Western Ky. (C-USA),13,6-7,42,41,1,0,18,0,349,26.8
Utah St. (Mountain West),13,6-7,43,40,0,0,16,2,350,26.9
Oklahoma (Big 12),14,12-2,47,42,2,0,17,0,379,27.1
Florida (SEC),11,4-7,36,36,0,0,16,0,300,27.3
Louisville (ACC),13,8-5,47,45,1,0,9,0,356,27.4
Central Mich. (MAC),13,8-5,44,41,0,0,17,1,358,27.5
Colorado St. (Mountain West),13,7-6,46,46,0,0,13,0,361,27.8
Akron (MAC),14,7-7,49,45,1,0,17,0,392,28.0
Colorado (Pac-12),12,5-7,42,39,1,0,15,0,338,28.2
Kentucky (SEC),13,7-6,46,43,0,0,16,0,367,28.2
Wake Forest (ACC),13,8-5,45,40,1,1,18,0,368,28.3
Rutgers (Big Ten),12,4-8,41,40,0,0,18,0,340,28.3
Virginia (ACC),13,6-7,49,44,1,0,9,1,369,28.4
California (Pac-12),12,5-7,40,38,0,0,21,0,341,28.4
FIU (C-USA),13,8-5,47,39,4,0,13,1,370,28.5
Western Mich. (MAC),12,6-6,47,43,1,0,7,0,348,29.0
Oregon (Pac-12),13,7-6,47,47,0,0,16,0,377,29.0
Tennessee (SEC),12,4-8,45,38,1,0,13,0,349,29.1
Tulane (AAC),12,5-7,47,45,0,0,7,1,350,29.2
Oklahoma St. (Big 12),13,10-3,48,47,1,0,15,0,382,29.4
New Mexico St. (Independent),13,7-6,50,43,1,1,13,0,386,29.7
Texas A&M (SEC),13,7-6,51,48,3,0,13,0,399,30.7
North Carolina (ACC),12,3-9,48,41,1,0,14,1,375,31.3
Vanderbilt (SEC),12,5-7,48,47,0,0,13,1,376,31.3
West Virginia (Big 12),13,7-6,50,46,0,0,21,0,409,31.5
Illinois (Big Ten),12,2-10,50,48,0,0,10,0,378,31.5
Old Dominion (C-USA),12,5-7,51,49,1,0,7,1,380,31.7
UNLV (Mountain West),12,5-7,49,44,1,0,13,1,381,31.8
Cincinnati (AAC),12,4-8,46,42,1,0,20,1,382,31.8
New Mexico (Mountain West),12,3-9,50,47,1,0,11,0,382,31.8
Massachusetts (FBS Independent),12,4-8,47,45,1,0,17,1,382,31.8
Missouri (SEC),13,7-6,50,48,1,0,20,2,414,31.8
Ga. Southern (Sun Belt),12,2-10,52,48,1,0,8,0,386,32.2
Syracuse (ACC),12,4-8,49,46,1,0,14,1,386,32.2
Texas Tech (Big 12),13,6-7,52,49,2,0,18,0,419,32.2
Air Force (Mountain West),12,5-7,49,48,1,0,15,0,389,32.4
Memphis (AAC),13,10-3,56,50,2,0,10,1,422,32.5
Charlotte (C-USA),12,1-11,51,49,1,0,12,0,393,32.8
Arizona St. (Pac-12),13,7-6,54,49,0,0,18,0,427,32.8
Texas St. (Sun Belt),12,2-10,48,45,0,1,22,1,403,33.6
Nevada (Mountain West),12,3-9,51,50,0,0,17,0,407,33.9
Hawaii (Mountain West),12,3-9,55,51,0,1,8,0,407,33.9
Arizona (Pac-12),13,7-6,59,54,2,0,11,1,447,34.4
Ole Miss (SEC),12,6-6,51,47,1,0,20,0,415,34.6
North Texas (C-USA),14,9-5,63,57,4,0,15,1,490,35.0
Kent St. (MAC),12,2-10,56,55,0,0,10,0,421,35.1
Rice (C-USA),12,1-11,55,54,0,0,15,0,429,35.8
Baylor (Big 12),12,1-11,52,51,1,0,22,0,431,35.9
Arkansas (SEC),12,4-8,56,53,0,0,15,0,434,36.2
Nebraska (Big Ten),12,4-8,58,57,0,0,10,1,437,36.4
UCLA (Pac-12),13,6-7,58,55,1,0,23,1,476,36.6
SMU (AAC),13,7-6,62,57,3,0,14,0,477,36.7
UTEP (C-USA),12,0-12,60,56,2,0,7,0,441,36.8
Maryland (Big Ten),12,4-8,59,56,0,0,11,1,445,37.1
Tulsa (AAC),12,2-10,58,50,1,1,16,0,450,37.5
UConn (AAC),12,3-9,61,57,1,0,10,0,455,37.9
Bowling Green (MAC),12,2-10,61,57,0,0,11,0,456,38.0
Louisiana (Sun Belt),12,5-7,64,59,1,0,11,1,480,40.0
Ball St. (MAC),12,2-10,65,60,1,0,12,0,488,40.7
ULM (Sun Belt),12,4-8,67,57,3,0,9,0,492,41.0
San Jose St. (Mountain West),13,2-11,70,69,0,1,17,0,542,41.7
Oregon St. (Pac-12),12,1-11,67,60,2,0,16,1,516,43.0
Kansas (Big 12),12,1-11,68,63,1,0,16,0,521,43.4
East Carolina (AAC),12,3-9,73,69,0,0,11,0,540,45.0
Liberty (Independent),11,6-5,44,43,0,0,9,0,334,30.4
Coastal Carolina (Sun Belt),12,3-9,54,49,1,0,11,0,408,34.0
