Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Miami (OH) (MAC),12,5-7,12,15,0,1.25
Arkansas St. (Sun Belt),12,7-5,4,8,0,2.00
Michigan St. (Big Ten),13,10-3,12,31,0,2.58
Syracuse (ACC),12,4-8,9,24,0,2.67
UTSA (CUSA),11,6-5,8,23,0,2.88
Washington St. (Pac-12),13,9-4,18,52,0,2.89
Baylor (Big 12),12,1-11,20,59,0,2.95
North Texas (CUSA),14,9-5,9,27,0,3.00
Kent St. (MAC),12,2-10,27,92,0,3.41
Toledo (MAC),14,11-3,4,14,0,3.50
BYU (FBS Independent),13,4-9,18,64,0,3.56
Arkansas (SEC),12,4-8,11,40,0,3.64
Boise St. (Mountain West),14,11-3,17,63,0,3.71
UConn (AAC),12,3-9,17,64,0,3.76
Utah (Pac-12),13,7-6,7,27,0,3.86
Marshall (CUSA),13,8-5,16,62,0,3.88
Virginia Tech (ACC),13,9-4,12,47,0,3.92
Western Mich. (MAC),12,6-6,26,102,0,3.92
Bowling Green (MAC),12,2-10,15,64,0,4.27
Penn St. (Big Ten),13,11-2,17,73,0,4.29
Kentucky (SEC),13,7-6,19,84,0,4.42
Cincinnati (AAC),12,4-8,15,67,0,4.47
Fla. Atlantic (CUSA),14,11-3,12,54,0,4.50
Memphis (AAC),13,10-3,5,23,0,4.60
Iowa (Big Ten),13,8-5,17,79,0,4.65
Boston College (ACC),13,7-6,29,135,0,4.66
Wyoming (Mountain West),13,8-5,25,118,0,4.72
Illinois (Big Ten),12,2-10,30,143,0,4.77
Mississippi St. (SEC),13,9-4,9,43,0,4.78
Navy (AAC),13,7-6,14,69,0,4.93
Indiana (Big Ten),12,5-7,25,124,1,4.96
Colorado (Pac-12),12,5-7,15,75,0,5.00
Washington (Pac-12),13,10-3,11,58,0,5.27
Houston (AAC),12,7-5,9,48,0,5.33
Oregon St. (Pac-12),12,1-11,8,44,0,5.50
Arizona St. (Pac-12),13,7-6,28,156,0,5.57
Texas Tech (Big 12),13,6-7,12,67,0,5.58
South Carolina (SEC),13,9-4,15,84,0,5.60
Iowa St. (Big 12),13,8-5,16,91,0,5.69
Kansas St. (Big 12),13,8-5,17,97,0,5.71
Miami (FL) (ACC),13,10-3,12,69,0,5.75
Northwestern (Big Ten),13,10-3,19,110,0,5.79
Southern Miss. (CUSA),13,8-5,15,87,0,5.80
Ohio (MAC),13,9-4,18,105,0,5.83
Georgia (SEC),15,13-2,17,101,0,5.94
Louisville (ACC),13,8-5,20,119,0,5.95
Western Ky. (CUSA),13,6-7,12,72,0,6.00
Middle Tenn. (CUSA),13,7-6,9,54,0,6.00
Minnesota (Big Ten),12,5-7,19,114,0,6.00
FIU (CUSA),13,8-5,12,73,0,6.08
Charlotte (CUSA),12,1-11,18,110,0,6.11
Eastern Mich. (MAC),12,5-7,16,99,0,6.19
New Mexico St. (Independent),13,7-6,32,200,0,6.25
LSU (SEC),13,9-4,11,69,0,6.27
Tulane (AAC),12,5-7,6,38,0,6.33
Old Dominion (CUSA),12,5-7,20,127,1,6.35
Alabama (SEC),14,13-1,6,39,0,6.50
Oregon (Pac-12),13,7-6,20,131,2,6.55
Texas (Big 12),13,7-6,17,112,0,6.59
South Alabama (Sun Belt),12,4-8,23,152,0,6.61
SMU (AAC),13,7-6,10,67,0,6.70
UCF (AAC),13,13-0,6,41,0,6.83
Purdue (Big Ten),13,7-6,13,89,0,6.85
Oklahoma St. (Big 12),13,10-3,13,89,1,6.85
Temple (AAC),13,7-6,14,97,0,6.93
Duke (ACC),13,7-6,26,186,1,7.15
NIU (MAC),13,8-5,18,129,1,7.17
Wisconsin (Big Ten),14,13-1,18,132,0,7.33
Tennessee (SEC),12,4-8,30,220,0,7.33
Hawaii (Mountain West),12,3-9,27,201,0,7.44
South Fla. (AAC),12,10-2,21,158,1,7.52
Ohio St. (Big Ten),14,12-2,7,54,0,7.71
ULM (Sun Belt),12,4-8,19,148,0,7.79
Utah St. (Mountain West),13,6-7,16,128,0,8.00
Louisiana Tech (CUSA),13,7-6,12,97,1,8.08
Texas A&M (SEC),13,7-6,18,146,2,8.11
App State (Sun Belt),13,9-4,16,131,0,8.19
Texas St. (Sun Belt),12,2-10,30,247,1,8.23
TCU (Big 12),14,11-3,8,66,0,8.25
Buffalo (MAC),12,6-6,11,92,0,8.36
Missouri (SEC),13,7-6,11,92,0,8.36
Notre Dame (FBS Independent),13,10-3,27,227,1,8.41
Tulsa (AAC),12,2-10,24,204,1,8.50
Army West Point (FBS Independent),13,10-3,7,61,0,8.71
Michigan (Big Ten),13,8-5,22,198,1,9.00
Central Mich. (MAC),13,8-5,29,268,0,9.24
Troy (Sun Belt),13,11-2,17,160,1,9.41
Rutgers (Big Ten),12,4-8,26,245,1,9.42
Georgia Tech (ACC),11,5-6,21,198,1,9.43
Southern California (Pac-12),14,11-3,19,181,0,9.53
UTEP (CUSA),12,0-12,33,315,1,9.55
Wake Forest (ACC),13,8-5,28,269,1,9.61
Clemson (ACC),14,12-2,21,206,0,9.81
Stanford (Pac-12),14,9-5,19,187,1,9.84
Ole Miss (SEC),12,6-6,11,109,0,9.91
Georgia St. (Sun Belt),12,7-5,19,190,0,10.00
Vanderbilt (SEC),12,5-7,16,161,1,10.06
Nebraska (Big Ten),12,4-8,11,111,1,10.09
San Diego St. (Mountain West),13,10-3,16,162,1,10.13
Ga. Southern (Sun Belt),12,2-10,15,153,1,10.20
UAB (CUSA),13,8-5,28,289,1,10.32
Colorado St. (Mountain West),13,7-6,13,136,2,10.46
California (Pac-12),12,5-7,17,178,0,10.47
New Mexico (Mountain West),12,3-9,11,117,1,10.64
Florida (SEC),11,4-7,28,306,0,10.93
West Virginia (Big 12),13,7-6,20,223,0,11.15
Maryland (Big Ten),12,4-8,13,146,1,11.23
Auburn (SEC),14,10-4,14,160,1,11.43
Rice (CUSA),12,1-11,23,266,1,11.57
East Carolina (AAC),12,3-9,17,204,1,12.00
Arizona (Pac-12),13,7-6,17,205,1,12.06
Ball St. (MAC),12,2-10,23,284,3,12.35
Pittsburgh (ACC),12,5-7,20,251,1,12.55
UCLA (Pac-12),13,6-7,19,240,2,12.63
Florida St. (ACC),13,7-6,20,253,0,12.65
North Carolina (ACC),12,3-9,24,304,1,12.67
Virginia (ACC),13,6-7,25,321,2,12.84
NC State (ACC),13,9-4,18,237,1,13.17
Massachusetts (FBS Independent),12,4-8,32,429,1,13.41
Air Force (Mountain West),12,5-7,9,122,1,13.56
Idaho (Sun Belt),12,4-8,25,346,1,13.84
UNLV (Mountain West),12,5-7,16,228,0,14.25
Akron (MAC),14,7-7,23,330,1,14.35
Fresno St. (Mountain West),14,10-4,13,188,1,14.46
San Jose St. (Mountain West),13,2-11,19,275,1,14.47
Louisiana (Sun Belt),12,5-7,8,117,1,14.63
Oklahoma (Big 12),14,12-2,8,131,0,16.38
Nevada (Mountain West),12,3-9,10,165,1,16.50
Kansas (Big 12),12,1-11,20,366,2,18.30
Liberty (Independent),11,6-5,10,41,0,4.10
Coastal Carolina (Sun Belt),12,3-9,22,140,0,6.36
