Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Alabama (SEC),14,13-1,487,1326,2.72,9,94.7
Michigan St. (Big Ten),13,10-3,368,1239,3.37,12,95.3
Wisconsin (Big Ten),14,13-1,436,1378,3.16,7,98.4
Washington (Pac-12),13,10-3,459,1311,2.86,11,100.8
TCU (Big 12),14,11-3,480,1455,3.03,8,103.9
Ohio St. (Big Ten),14,12-2,501,1471,2.94,13,105.1
Troy (Sun Belt),13,11-2,479,1374,2.87,7,105.7
Texas (Big 12),13,7-6,462,1389,3.01,14,106.8
Northwestern (Big Ten),13,10-3,431,1400,3.25,13,107.7
Ohio (MAC),13,9-4,416,1436,3.45,11,110.5
Fresno St. (Mountain West),14,10-4,463,1588,3.43,13,113.4
Clemson (ACC),14,12-2,512,1608,3.14,5,114.9
Kansas St. (Big 12),13,8-5,427,1530,3.58,17,117.7
Penn St. (Big Ten),13,11-2,449,1534,3.42,14,118.0
Virginia Tech (ACC),13,9-4,462,1554,3.36,7,119.5
NIU (MAC),13,8-5,526,1560,2.97,14,120.0
Boise St. (Mountain West),14,11-3,495,1683,3.40,20,120.2
Michigan (Big Ten),13,8-5,451,1572,3.49,16,120.9
Marshall (C-USA),13,8-5,465,1575,3.39,13,121.2
Georgia (SEC),15,13-2,506,1890,3.74,8,126.0
South Fla. (AAC),12,10-2,457,1523,3.33,17,126.9
UTSA (C-USA),11,6-5,375,1405,3.75,10,127.7
Iowa St. (Big 12),13,8-5,460,1664,3.62,10,128.0
LSU (SEC),13,9-4,433,1669,3.85,16,128.4
Oregon (Pac-12),13,7-6,481,1671,3.47,19,128.5
NC State (ACC),13,9-4,435,1703,3.91,15,131.0
Utah (Pac-12),13,7-6,427,1707,4.00,14,131.3
Mississippi St. (SEC),13,9-4,448,1711,3.82,18,131.6
Purdue (Big Ten),13,7-6,489,1728,3.53,10,132.9
Middle Tenn. (C-USA),13,7-6,504,1743,3.46,19,134.1
Florida St. (ACC),13,7-6,466,1763,3.78,19,135.6
San Diego St. (Mountain West),13,10-3,471,1765,3.75,17,135.8
Arkansas St. (Sun Belt),12,7-5,460,1633,3.55,17,136.1
Georgia St. (Sun Belt),12,7-5,396,1637,4.13,14,136.4
Auburn (SEC),14,10-4,529,1918,3.63,11,137.0
App State (Sun Belt),13,9-4,459,1787,3.89,14,137.5
Southern Miss. (C-USA),13,8-5,478,1800,3.77,21,138.5
Oklahoma St. (Big 12),13,10-3,506,1829,3.61,23,140.7
South Carolina (SEC),13,9-4,484,1834,3.79,15,141.1
Texas St. (Sun Belt),12,2-10,455,1700,3.74,21,141.7
Pittsburgh (ACC),12,5-7,407,1709,4.20,14,142.4
Iowa (Big Ten),13,8-5,455,1880,4.13,10,144.6
Miami (FL) (ACC),13,10-3,541,1895,3.50,10,145.8
BYU (FBS Independent),13,4-9,520,1919,3.69,15,147.6
Houston (AAC),12,7-5,471,1775,3.77,19,147.9
South Alabama (Sun Belt),12,4-8,431,1822,4.23,15,151.8
Washington St. (Pac-12),13,9-4,469,1981,4.22,26,152.4
Duke (ACC),13,7-6,498,1992,4.00,16,153.2
Georgia Tech (ACC),11,5-6,373,1690,4.53,15,153.6
Florida (SEC),11,4-7,400,1693,4.23,16,153.9
Notre Dame (FBS Independent),13,10-3,506,2008,3.97,9,154.5
Navy (AAC),13,7-6,447,2009,4.49,18,154.5
Western Mich. (MAC),12,6-6,443,1873,4.23,27,156.1
Oklahoma (Big 12),14,12-2,500,2191,4.38,24,156.5
New Mexico (Mountain West),12,3-9,406,1889,4.65,20,157.4
Southern California (Pac-12),14,11-3,510,2221,4.35,20,158.6
Fla. Atlantic (C-USA),14,11-3,557,2224,3.99,22,158.9
Missouri (SEC),13,7-6,521,2075,3.98,27,159.6
UCF (AAC),13,13-0,498,2078,4.17,16,159.8
Wyoming (Mountain West),13,8-5,599,2084,3.48,16,160.3
Indiana (Big Ten),12,5-7,497,1925,3.87,18,160.4
Texas Tech (Big 12),13,6-7,488,2101,4.31,16,161.6
Louisville (ACC),13,8-5,514,2124,4.13,24,163.4
California (Pac-12),12,5-7,475,1969,4.15,21,164.1
New Mexico St. (Independent),13,7-6,520,2164,4.16,25,166.5
Miami (OH) (MAC),12,5-7,449,2001,4.46,13,166.8
Idaho (Sun Belt),12,4-8,463,2017,4.36,19,168.1
Stanford (Pac-12),14,9-5,516,2366,4.59,18,169.0
Western Ky. (C-USA),13,6-7,500,2214,4.43,27,170.3
Texas A&M (SEC),13,7-6,530,2221,4.19,19,170.8
FIU (C-USA),13,8-5,478,2227,4.66,23,171.3
Kansas (Big 12),12,1-11,491,2059,4.19,31,171.6
Minnesota (Big Ten),12,5-7,422,2066,4.90,19,172.2
Army West Point (FBS Independent),13,10-3,423,2248,5.31,23,172.9
Eastern Mich. (MAC),12,5-7,481,2079,4.32,17,173.3
Temple (AAC),13,7-6,532,2270,4.27,18,174.6
Arizona St. (Pac-12),13,7-6,465,2272,4.89,31,174.8
Kentucky (SEC),13,7-6,466,2279,4.89,23,175.3
UAB (C-USA),13,8-5,494,2287,4.63,19,175.9
Louisiana Tech (C-USA),13,7-6,491,2296,4.68,21,176.6
Toledo (MAC),14,11-3,518,2490,4.81,27,177.9
Ga. Southern (Sun Belt),12,2-10,414,2164,5.23,21,180.3
Rutgers (Big Ten),12,4-8,475,2182,4.59,21,181.8
Memphis (AAC),13,10-3,568,2394,4.21,25,184.2
Arizona (Pac-12),13,7-6,522,2406,4.61,32,185.1
UConn (AAC),12,3-9,447,2221,4.97,26,185.1
Central Mich. (MAC),13,8-5,557,2408,4.32,24,185.2
Wake Forest (ACC),13,8-5,547,2415,4.41,24,185.8
Colorado St. (Mountain West),13,7-6,474,2432,5.13,22,187.1
Ball St. (MAC),12,2-10,448,2256,5.04,27,188.0
Baylor (Big 12),12,1-11,463,2279,4.92,22,189.9
Maryland (Big Ten),12,4-8,490,2290,4.67,29,190.8
Boston College (ACC),13,7-6,516,2482,4.81,26,190.9
Cincinnati (AAC),12,4-8,526,2309,4.39,19,192.4
Rice (C-USA),12,1-11,462,2311,5.00,30,192.6
Buffalo (MAC),12,6-6,534,2338,4.38,21,194.8
Arkansas (SEC),12,4-8,469,2353,5.02,28,196.1
Syracuse (ACC),12,4-8,451,2360,5.23,28,196.7
Massachusetts (FBS Independent),12,4-8,480,2375,4.95,27,197.9
Vanderbilt (SEC),12,5-7,479,2382,4.97,30,198.5
Virginia (ACC),13,6-7,557,2591,4.65,25,199.3
North Texas (C-USA),14,9-5,590,2835,4.81,35,202.5
West Virginia (Big 12),13,7-6,539,2654,4.92,26,204.2
Old Dominion (C-USA),12,5-7,529,2450,4.63,30,204.2
Akron (MAC),14,7-7,572,2876,5.03,24,205.4
Charlotte (C-USA),12,1-11,517,2470,4.78,26,205.8
SMU (AAC),13,7-6,546,2700,4.95,33,207.7
Colorado (Pac-12),12,5-7,477,2496,5.23,23,208.0
Nevada (Mountain West),12,3-9,565,2499,4.42,24,208.3
Hawaii (Mountain West),12,3-9,480,2522,5.25,23,210.2
Tulane (AAC),12,5-7,464,2525,5.44,26,210.4
North Carolina (ACC),12,3-9,532,2556,4.80,21,213.0
Kent St. (MAC),12,2-10,487,2559,5.25,31,213.3
Nebraska (Big Ten),12,4-8,463,2577,5.57,33,214.8
Utah St. (Mountain West),13,6-7,626,2813,4.49,20,216.4
