Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Oklahoma St. (Big 12),13,10-3,503,325,10,5059,10.06,15.57,37,389.2
Washington St. (Pac-12),13,9-4,713,487,20,4769,6.69,9.79,37,366.8
Oklahoma (Big 12),14,12-2,433,309,6,5065,11.70,16.39,47,361.8
UCLA (Pac-12),13,6-7,536,338,10,4478,8.35,13.25,31,344.5
Arkansas St. (Sun Belt),12,7-5,512,317,17,4106,8.02,12.95,38,342.2
New Mexico St. (Independent),13,7-6,641,397,22,4422,6.90,11.14,29,340.2
Western Ky. (C-USA),13,6-7,577,381,10,4355,7.55,11.43,27,335.0
Memphis (AAC),13,10-3,488,307,10,4355,8.92,14.19,39,335.0
Texas Tech (Big 12),13,6-7,541,353,12,4338,8.02,12.29,35,333.7
UCF (AAC),13,13-0,424,287,9,4313,10.17,15.03,38,331.8
Ole Miss (SEC),12,6-6,434,281,13,3941,9.08,14.02,28,328.4
East Carolina (AAC),12,3-9,543,307,16,3815,7.03,12.43,26,317.9
West Virginia (Big 12),13,7-6,481,294,14,4021,8.36,13.68,37,309.3
Missouri (SEC),13,7-6,430,247,14,4012,9.33,16.24,44,308.6
Louisville (ACC),13,8-5,464,277,10,3898,8.40,14.07,29,299.8
Southern California (Pac-12),14,11-3,491,309,13,4186,8.53,13.55,26,299.0
Massachusetts (FBS Independent),12,4-8,447,272,6,3570,7.99,13.13,26,297.5
Syracuse (ACC),12,4-8,548,320,16,3538,6.46,11.06,20,294.8
SMU (AAC),13,7-6,487,283,13,3823,7.85,13.51,35,294.1
Colorado St. (Mountain West),13,7-6,459,284,10,3799,8.28,13.38,29,292.2
North Texas (C-USA),14,9-5,520,328,15,4086,7.86,12.46,32,291.9
Buffalo (MAC),12,6-6,400,234,6,3490,8.73,14.91,24,290.8
Penn St. (Big Ten),13,11-2,458,301,10,3772,8.24,12.53,32,290.2
Baylor (Big 12),12,1-11,462,269,14,3452,7.47,12.83,23,287.7
ULM (Sun Belt),12,4-8,404,246,9,3452,8.54,14.03,22,287.7
Toledo (MAC),14,11-3,423,267,9,3919,9.26,14.68,28,279.9
Nebraska (Big Ten),12,4-8,459,265,17,3330,7.25,12.57,23,277.5
Wake Forest (ACC),13,8-5,426,268,7,3599,8.45,13.43,33,276.8
NC State (ACC),13,9-4,485,316,6,3580,7.38,11.33,17,275.4
Iowa St. (Big 12),13,8-5,477,300,9,3548,7.44,11.83,27,272.9
Georgia St. (Sun Belt),12,7-5,413,265,9,3248,7.86,12.26,15,270.7
Nevada (Mountain West),12,3-9,451,270,15,3245,7.20,12.02,30,270.4
Troy (Sun Belt),13,11-2,460,293,7,3505,7.62,11.96,19,269.6
UConn (AAC),12,3-9,421,256,11,3230,7.67,12.62,18,269.2
Indiana (Big Ten),12,5-7,502,306,13,3188,6.35,10.42,25,265.7
Ohio St. (Big Ten),14,12-2,440,287,10,3679,8.36,12.82,39,262.8
Boise St. (Mountain West),14,11-3,449,281,7,3677,8.19,13.09,26,262.6
Houston (AAC),12,7-5,411,281,12,3136,7.63,11.16,16,261.3
Colorado (Pac-12),12,5-7,410,244,9,3125,7.62,12.81,19,260.4
California (Pac-12),12,5-7,476,278,12,3107,6.53,11.18,19,258.9
Texas (Big 12),13,7-6,499,298,11,3365,6.74,11.29,18,258.8
Eastern Mich. (MAC),12,5-7,435,257,15,3088,7.10,12.02,21,257.3
Central Mich. (MAC),13,8-5,469,263,17,3324,7.09,12.64,27,255.7
Arizona St. (Pac-12),13,7-6,416,264,9,3324,7.99,12.59,21,255.7
Temple (AAC),13,7-6,453,262,15,3273,7.23,12.49,21,251.8
Purdue (Big Ten),13,7-6,491,292,11,3270,6.66,11.20,27,251.5
Texas A&M (SEC),13,7-6,449,253,12,3266,7.27,12.91,22,251.2
Middle Tenn. (C-USA),13,7-6,473,282,17,3264,6.90,11.57,23,251.1
Utah (Pac-12),13,7-6,427,261,14,3242,7.59,12.42,18,249.4
South Fla. (AAC),12,10-2,367,196,6,2987,8.14,15.24,25,248.9
Virginia (ACC),13,6-7,519,300,11,3233,6.23,10.78,25,248.7
TCU (Big 12),14,11-3,430,285,8,3431,7.98,12.04,28,245.1
Vanderbilt (SEC),12,5-7,403,232,10,2923,7.25,12.60,27,243.6
Miami (FL) (ACC),13,10-3,426,227,14,3153,7.40,13.89,26,242.5
Southern Miss. (C-USA),13,8-5,439,246,7,3121,7.11,12.69,24,240.1
Marshall (C-USA),13,8-5,443,266,14,3115,7.03,11.71,25,239.6
Virginia Tech (ACC),13,9-4,412,245,9,3113,7.56,12.71,21,239.5
Fresno St. (Mountain West),14,10-4,437,268,7,3331,7.62,12.43,19,237.9
Miami (OH) (MAC),12,5-7,386,211,11,2852,7.39,13.52,24,237.7
South Alabama (Sun Belt),12,4-8,411,222,14,2845,6.92,12.82,15,237.1
Clemson (ACC),14,12-2,470,309,9,3297,7.01,10.67,17,235.5
Bowling Green (MAC),12,2-10,417,226,12,2820,6.76,12.48,21,235.0
Hawaii (Mountain West),12,3-9,423,260,8,2814,6.65,10.82,19,234.5
Northwestern (Big Ten),13,10-3,461,276,12,3040,6.59,11.01,17,233.8
Auburn (SEC),14,10-4,382,255,6,3267,8.55,12.81,21,233.4
FIU (C-USA),13,8-5,396,252,10,3031,7.65,12.03,19,233.2
Louisiana Tech (C-USA),13,7-6,420,233,5,2997,7.14,12.86,17,230.5
Kansas (Big 12),12,1-11,460,249,17,2717,5.91,10.91,14,226.4
Utah St. (Mountain West),13,6-7,435,254,13,2938,6.75,11.57,17,226.0
North Carolina (ACC),12,3-9,407,221,16,2705,6.65,12.24,21,225.4
Idaho (Sun Belt),12,4-8,378,230,7,2699,7.14,11.73,21,224.9
Washington (Pac-12),13,10-3,348,240,5,2889,8.30,12.04,19,222.2
Pittsburgh (ACC),12,5-7,362,224,8,2612,7.22,11.66,12,217.7
Cincinnati (AAC),12,4-8,434,245,9,2597,5.98,10.60,20,216.4
App State (Sun Belt),13,9-4,356,215,6,2811,7.90,13.07,28,216.2
Michigan St. (Big Ten),13,10-3,424,247,8,2798,6.60,11.33,20,215.2
South Carolina (SEC),13,9-4,397,245,12,2794,7.04,11.40,18,214.9
Louisiana (Sun Belt),12,5-7,376,214,12,2578,6.86,12.05,16,214.8
Duke (ACC),13,7-6,469,266,12,2774,5.91,10.43,16,213.4
Fla. Atlantic (C-USA),14,11-3,361,234,7,2983,8.26,12.75,21,213.1
Akron (MAC),14,7-7,447,242,11,2949,6.60,12.19,24,210.6
Texas St. (Sun Belt),12,2-10,374,215,10,2468,6.60,11.48,15,205.7
Arkansas (SEC),12,4-8,340,192,9,2465,7.25,12.84,18,205.4
LSU (SEC),13,9-4,300,179,4,2645,8.82,14.78,17,203.5
UTSA (C-USA),11,6-5,309,191,7,2231,7.22,11.68,15,202.8
NIU (MAC),13,8-5,405,231,11,2599,6.42,11.25,25,199.9
San Jose St. (Mountain West),13,2-11,415,226,20,2574,6.20,11.39,15,198.0
Oregon St. (Pac-12),12,1-11,362,214,12,2355,6.51,11.00,11,196.3
Florida St. (ACC),13,7-6,345,202,13,2551,7.39,12.63,21,196.2
BYU (FBS Independent),13,4-9,418,228,19,2530,6.05,11.10,13,194.6
Alabama (SEC),14,13-1,332,204,3,2708,8.16,13.27,28,193.4
Wisconsin (Big Ten),14,13-1,325,204,15,2689,8.27,13.18,25,192.1
Iowa (Big Ten),13,8-5,355,199,6,2473,6.97,12.43,27,190.2
Oregon (Pac-12),13,7-6,311,203,12,2469,7.94,12.16,18,189.9
Ohio (MAC),13,9-4,321,178,9,2451,7.64,13.77,20,188.5
Kentucky (SEC),13,7-6,330,196,7,2446,7.41,12.48,10,188.2
UNLV (Mountain West),12,5-7,299,162,9,2243,7.50,13.85,10,186.9
Stanford (Pac-12),14,9-5,363,208,8,2608,7.18,12.54,23,186.3
UAB (C-USA),13,8-5,342,207,5,2347,6.86,11.34,16,180.5
Arizona (Pac-12),13,7-6,295,183,13,2343,7.94,12.80,19,180.2
Florida (SEC),11,4-7,312,174,10,1975,6.33,11.35,10,179.5
Notre Dame (FBS Independent),13,10-3,352,182,10,2326,6.61,12.78,20,178.9
Wyoming (Mountain West),13,8-5,348,195,8,2304,6.62,11.82,18,177.2
Ball St. (MAC),12,2-10,405,228,14,2126,5.25,9.32,11,177.2
Georgia (SEC),15,13-2,305,186,9,2653,8.70,14.26,24,176.9
Illinois (Big Ten),12,2-10,339,168,19,2098,6.19,12.49,8,174.8
Kansas St. (Big 12),13,8-5,270,156,8,2259,8.37,14.48,16,173.8
Tennessee (SEC),12,4-8,319,180,10,2084,6.53,11.58,11,173.7
Tulsa (AAC),12,2-10,292,156,8,2077,7.11,13.31,6,173.1
Michigan (Big Ten),13,8-5,346,185,10,2226,6.43,12.03,9,171.2
Old Dominion (C-USA),12,5-7,350,193,14,2021,5.77,10.47,9,168.4
Mississippi St. (SEC),13,9-4,353,191,14,2170,6.15,11.36,17,166.9
Boston College (ACC),13,7-6,367,198,12,2162,5.89,10.92,16,166.3
Western Mich. (MAC),12,6-6,294,172,8,1978,6.73,11.50,19,164.8
Maryland (Big Ten),12,4-8,318,175,8,1940,6.10,11.09,15,161.7
Tulane (AAC),12,5-7,241,136,6,1920,7.97,14.12,12,160.0
San Diego St. (Mountain West),13,10-3,252,150,4,1920,7.62,12.80,13,147.7
Rice (C-USA),12,1-11,246,122,16,1738,7.07,14.25,6,144.8
Charlotte (C-USA),12,1-11,312,146,16,1643,5.27,11.25,10,136.9
UTEP (C-USA),12,0-12,330,150,14,1619,4.91,10.79,7,134.9
Minnesota (Big Ten),12,5-7,233,110,11,1513,6.49,13.75,9,126.1
New Mexico (Mountain West),12,3-9,242,120,14,1489,6.15,12.41,8,124.1
Kent St. (MAC),12,2-10,234,114,15,1472,6.29,12.91,8,122.7
Rutgers (Big Ten),12,4-8,275,135,11,1387,5.04,10.27,7,115.6
Air Force (Mountain West),12,5-7,143,69,6,1321,9.24,19.14,10,110.1
Ga. Southern (Sun Belt),12,2-10,195,105,7,1320,6.77,12.57,8,110.0
Georgia Tech (ACC),11,5-6,119,43,5,927,7.79,21.56,10,84.3
Navy (AAC),13,7-6,102,42,10,1005,9.85,23.93,10,77.3
Army West Point (FBS Independent),13,10-3,65,20,6,361,5.55,18.05,2,27.8
Liberty (Independent),11,6-5,450,261,7,3409,7.58,13.06,29,309.9
Coastal Carolina (Sun Belt),12,3-9,304,158,11,2269,7.46,14.36,18,189.1
