Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Army West Point (FBS Independent),13,10-3,165,91,0.552
Colorado St. (Mountain West),13,7-6,183,92,0.503
Air Force (Mountain West),12,5-7,166,81,0.488
Wisconsin (Big Ten),14,13-1,185,90,0.486
Penn St. (Big Ten),13,11-2,171,82,0.480
Ohio St. (Big Ten),14,12-2,185,86,0.465
Clemson (ACC),14,12-2,218,101,0.463
Mississippi St. (SEC),13,9-4,197,91,0.462
Boise St. (Mountain West),14,11-3,203,93,0.458
TCU (Big 12),14,11-3,199,91,0.457
Georgia (SEC),15,13-2,195,89,0.456
Georgia Tech (ACC),11,5-6,158,72,0.456
Oklahoma St. (Big 12),13,10-3,180,82,0.456
Houston (AAC),12,7-5,178,81,0.455
Navy (AAC),13,7-6,187,85,0.455
UCF (AAC),13,13-0,165,75,0.455
Auburn (SEC),14,10-4,209,95,0.455
UAB (C-USA),13,8-5,185,84,0.454
Washington (Pac-12),13,10-3,152,69,0.454
Missouri (SEC),13,7-6,173,78,0.451
Michigan St. (Big Ten),13,10-3,207,93,0.449
San Diego St. (Mountain West),13,10-3,165,74,0.448
Arizona St. (Pac-12),13,7-6,208,93,0.447
NC State (ACC),13,9-4,188,84,0.447
Texas Tech (Big 12),13,6-7,193,86,0.446
Arkansas St. (Sun Belt),12,7-5,180,80,0.444
Marshall (C-USA),13,8-5,187,83,0.444
Louisville (ACC),13,8-5,181,80,0.442
Western Ky. (C-USA),13,6-7,193,85,0.440
New Mexico St. (Independent),13,7-6,210,92,0.438
Memphis (AAC),13,10-3,169,74,0.438
Notre Dame (FBS Independent),13,10-3,192,84,0.438
South Fla. (AAC),12,10-2,206,90,0.437
Tulsa (AAC),12,2-10,190,83,0.437
ULM (Sun Belt),12,4-8,177,77,0.435
North Texas (C-USA),14,9-5,194,84,0.433
SMU (AAC),13,7-6,192,83,0.432
FIU (C-USA),13,8-5,183,79,0.432
Troy (Sun Belt),13,11-2,175,75,0.429
Georgia St. (Sun Belt),12,7-5,182,78,0.429
Stanford (Pac-12),14,9-5,176,75,0.426
Oklahoma (Big 12),14,12-2,162,69,0.426
Washington St. (Pac-12),13,9-4,202,86,0.426
Arizona (Pac-12),13,7-6,168,71,0.423
Arkansas (SEC),12,4-8,165,69,0.418
