Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
NIU (MAC),13,8-5,98,32,436,114,8.8
Michigan (Big Ten),13,8-5,72,84,477,114,8.8
Troy (Sun Belt),13,11-2,75,74,427,112,8.6
Miami (FL) (ACC),13,10-3,88,46,415,111,8.5
South Fla. (AAC),12,10-2,85,32,409,101,8.4
Arkansas St. (Sun Belt),12,7-5,74,51,406,100,8.3
Wake Forest (ACC),13,8-5,83,46,366,106,8.2
Ohio St. (Big Ten),14,12-2,100,28,479,114,8.1
Missouri (SEC),13,7-6,81,44,359,103,7.9
Washington St. (Pac-12),13,9-4,78,50,380,103,7.9
Temple (AAC),13,7-6,88,28,402,102,7.8
Clemson (ACC),14,12-2,90,38,384,109,7.8
Virginia Tech (ACC),13,9-4,74,54,368,101,7.8
Idaho (Sun Belt),12,4-8,74,34,331,91,7.6
Kansas (Big 12),12,1-11,71,36,262,89,7.4
Middle Tenn. (C-USA),13,7-6,76,40,387,96,7.4
New Mexico St. (Independent),13,7-6,75,42,379,96,7.4
Southern Miss. (C-USA),13,8-5,68,56,319,96,7.4
Iowa St. (Big 12),13,8-5,77,38,298,96,7.4
Oklahoma St. (Big 12),13,10-3,78,34,430,95,7.3
Indiana (Big Ten),12,5-7,68,38,348,87,7.3
Northwestern (Big Ten),13,10-3,72,44,366,94,7.2
Oregon (Pac-12),13,7-6,75,38,351,94,7.2
Alabama (SEC),14,13-1,85,32,414,101,7.2
Penn St. (Big Ten),13,11-2,66,54,393,93,7.2
Marshall (C-USA),13,8-5,57,72,323,93,7.2
Florida St. (ACC),13,7-6,73,38,341,92,7.1
Wyoming (Mountain West),13,8-5,80,22,339,91,7.0
Memphis (AAC),13,10-3,79,24,352,91,7.0
App State (Sun Belt),13,9-4,67,46,361,90,6.9
SMU (AAC),13,7-6,76,28,336,90,6.9
Massachusetts (FBS Independent),12,4-8,62,42,305,83,6.9
Baylor (Big 12),12,1-11,69,28,288,83,6.9
Texas A&M (SEC),13,7-6,76,26,367,89,6.8
Nevada (Mountain West),12,3-9,68,28,307,82,6.8
TCU (Big 12),14,11-3,79,32,422,95,6.8
Houston (AAC),12,7-5,69,22,285,80,6.7
Western Mich. (MAC),12,6-6,69,22,319,80,6.7
UTSA (C-USA),11,6-5,55,36,255,73,6.6
Washington (Pac-12),13,10-3,75,22,382,86,6.6
Mississippi St. (SEC),13,9-4,59,54,360,86,6.6
Duke (ACC),13,7-6,65,42,328,86,6.6
Old Dominion (C-USA),12,5-7,58,42,283,79,6.6
West Virginia (Big 12),13,7-6,69,33,315,86,6.6
Florida (SEC),11,4-7,50,44,235,72,6.5
NC State (ACC),13,9-4,66,38,339,85,6.5
Kent St. (MAC),12,2-10,52,52,324,78,6.5
UAB (C-USA),13,8-5,70,28,288,84,6.5
Fresno St. (Mountain West),14,10-4,79,22,341,90,6.4
Wisconsin (Big Ten),14,13-1,76,26,442,89,6.4
Texas (Big 12),13,7-6,70,24,355,82,6.3
Vanderbilt (SEC),12,5-7,58,34,313,75,6.3
Purdue (Big Ten),13,7-6,68,26,307,81,6.2
Arizona St. (Pac-12),13,7-6,67,28,334,81,6.2
Georgia (SEC),15,13-2,74,38,388,93,6.2
Ole Miss (SEC),12,6-6,61,26,300,74,6.2
Rice (C-USA),12,1-11,59,28,313,73,6.1
Louisville (ACC),13,8-5,67,24,350,79,6.1
Central Mich. (MAC),13,8-5,70,18,282,79,6.1
Notre Dame (FBS Independent),13,10-3,58,42,251,79,6.1
Fla. Atlantic (C-USA),14,11-3,60,50,364,85,6.1
Southern California (Pac-12),14,11-3,69,30,380,84,6.0
North Carolina (ACC),12,3-9,51,42,224,72,6.0
