Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
New Mexico (Mountain West),12,3-9,10,23,0.435
San Jose St. (Mountain West),13,2-11,9,21,0.429
Texas Tech (Big 12),13,6-7,9,21,0.429
Marshall (CUSA),13,8-5,9,21,0.429
South Carolina (SEC),13,9-4,6,14,0.429
Virginia Tech (ACC),13,9-4,11,26,0.423
Georgia Tech (ACC),11,5-6,8,19,0.421
Oregon (Pac-12),13,7-6,7,17,0.412
UConn (AAC),12,3-9,11,27,0.407
Western Ky. (CUSA),13,6-7,11,27,0.407
Boston College (ACC),13,7-6,12,30,0.400
LSU (SEC),13,9-4,4,10,0.400
Illinois (Big Ten),12,2-10,4,10,0.400
Ole Miss (SEC),12,6-6,4,10,0.400
Nevada (Mountain West),12,3-9,11,28,0.393
Virginia (ACC),13,6-7,11,28,0.393
Rice (CUSA),12,1-11,7,19,0.368
Idaho (Sun Belt),12,4-8,9,25,0.360
Hawaii (Mountain West),12,3-9,10,28,0.357
TCU (Big 12),14,11-3,5,14,0.357
Colorado St. (Mountain West),13,7-6,7,20,0.350
Ball St. (MAC),12,2-10,8,24,0.333
Bowling Green (MAC),12,2-10,6,18,0.333
Arkansas St. (Sun Belt),12,7-5,5,15,0.333
UAB (CUSA),13,8-5,4,12,0.333
Kansas St. (Big 12),13,8-5,3,9,0.333
Old Dominion (CUSA),12,5-7,8,25,0.320
BYU (FBS Independent),13,4-9,8,26,0.308
Tennessee (SEC),12,4-8,3,10,0.300
NIU (MAC),13,8-5,5,17,0.294
Rutgers (Big Ten),12,4-8,4,14,0.286
Missouri (SEC),13,7-6,3,11,0.273
Texas St. (Sun Belt),12,2-10,3,13,0.231
Kent St. (MAC),12,2-10,4,20,0.200
Boise St. (Mountain West),14,11-3,3,17,0.176
Liberty (Independent),11,6-5,11,16,0.688
Coastal Carolina (Sun Belt),12,3-9,7,17,0.412
