Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Alabama (SEC),14,13-1,15,18,0.833
Minnesota (Big Ten),12,5-7,10,13,0.769
West Virginia (Big 12),13,7-6,16,21,0.762
Iowa St. (Big 12),13,8-5,14,19,0.737
Clemson (ACC),14,12-2,13,18,0.722
Arizona (Pac-12),13,7-6,12,17,0.706
SMU (AAC),13,7-6,14,20,0.700
Ohio St. (Big Ten),14,12-2,15,22,0.682
California (Pac-12),12,5-7,17,25,0.680
Florida (SEC),11,4-7,12,18,0.667
Fresno St. (Mountain West),14,10-4,10,15,0.667
Ohio (MAC),13,9-4,8,12,0.667
Buffalo (MAC),12,6-6,8,12,0.667
Miami (FL) (ACC),13,10-3,6,9,0.667
Wisconsin (Big Ten),14,13-1,4,6,0.667
Navy (AAC),13,7-6,23,35,0.657
Oklahoma St. (Big 12),13,10-3,13,20,0.650
UCLA (Pac-12),13,6-7,13,20,0.650
Pittsburgh (ACC),12,5-7,13,20,0.650
Wyoming (Mountain West),13,8-5,9,14,0.643
Air Force (Mountain West),12,5-7,16,25,0.640
Tulane (AAC),12,5-7,16,25,0.640
Iowa (Big Ten),13,8-5,14,22,0.636
Army West Point (FBS Independent),13,10-3,19,30,0.633
Louisville (ACC),13,8-5,19,30,0.633
Troy (Sun Belt),13,11-2,12,19,0.632
Duke (ACC),13,7-6,17,27,0.630
Massachusetts (FBS Independent),12,4-8,15,24,0.625
North Carolina (ACC),12,3-9,13,21,0.619
Fla. Atlantic (CUSA),14,11-3,24,39,0.615
Oregon St. (Pac-12),12,1-11,8,13,0.615
Tulsa (AAC),12,2-10,14,23,0.609
Ga. Southern (Sun Belt),12,2-10,17,28,0.607
South Fla. (AAC),12,10-2,12,20,0.600
UNLV (Mountain West),12,5-7,12,20,0.600
Wake Forest (ACC),13,8-5,12,20,0.600
Western Mich. (MAC),12,6-6,9,15,0.600
Kentucky (SEC),13,7-6,6,10,0.600
Eastern Mich. (MAC),12,5-7,10,17,0.588
East Carolina (AAC),12,3-9,17,29,0.586
Georgia (SEC),15,13-2,7,12,0.583
Stanford (Pac-12),14,9-5,7,12,0.583
Syracuse (ACC),12,4-8,22,38,0.579
Michigan St. (Big Ten),13,10-3,11,19,0.579
Utah (Pac-12),13,7-6,11,19,0.579
UTSA (CUSA),11,6-5,8,14,0.571
Penn St. (Big Ten),13,11-2,8,14,0.571
Purdue (Big Ten),13,7-6,13,23,0.565
ULM (Sun Belt),12,4-8,13,23,0.565
Northwestern (Big Ten),13,10-3,22,39,0.564
North Texas (CUSA),14,9-5,18,32,0.563
Michigan (Big Ten),13,8-5,9,16,0.563
Louisiana Tech (CUSA),13,7-6,9,16,0.563
NC State (ACC),13,9-4,14,25,0.560
Notre Dame (FBS Independent),13,10-3,10,18,0.556
Washington St. (Pac-12),13,9-4,10,18,0.556
Arizona St. (Pac-12),13,7-6,10,18,0.556
Central Mich. (MAC),13,8-5,10,18,0.556
Memphis (AAC),13,10-3,11,20,0.550
App State (Sun Belt),13,9-4,13,24,0.542
Kansas (Big 12),12,1-11,13,24,0.542
New Mexico St. (Independent),13,7-6,7,13,0.538
Cincinnati (AAC),12,4-8,8,15,0.533
Utah St. (Mountain West),13,6-7,10,19,0.526
Southern Miss. (CUSA),13,8-5,12,23,0.522
Oklahoma (Big 12),14,12-2,12,23,0.522
Mississippi St. (SEC),13,9-4,13,25,0.520
Baylor (Big 12),12,1-11,17,33,0.515
Colorado (Pac-12),12,5-7,13,26,0.500
Temple (AAC),13,7-6,10,20,0.500
UCF (AAC),13,13-0,10,20,0.500
Louisiana (Sun Belt),12,5-7,9,18,0.500
Miami (OH) (MAC),12,5-7,9,18,0.500
Arkansas (SEC),12,4-8,9,18,0.500
Texas A&M (SEC),13,7-6,7,14,0.500
Georgia St. (Sun Belt),12,7-5,7,14,0.500
Washington (Pac-12),13,10-3,6,12,0.500
Florida St. (ACC),13,7-6,5,10,0.500
Nebraska (Big Ten),12,4-8,13,27,0.481
FIU (CUSA),13,8-5,10,21,0.476
Indiana (Big Ten),12,5-7,9,19,0.474
Texas (Big 12),13,7-6,14,30,0.467
Akron (MAC),14,7-7,7,15,0.467
Auburn (SEC),14,10-4,7,15,0.467
Maryland (Big Ten),12,4-8,11,24,0.458
Vanderbilt (SEC),12,5-7,9,20,0.450
UTEP (CUSA),12,0-12,9,20,0.450
Charlotte (CUSA),12,1-11,9,20,0.450
Southern California (Pac-12),14,11-3,12,27,0.444
Houston (AAC),12,7-5,8,18,0.444
Toledo (MAC),14,11-3,8,18,0.444
South Alabama (Sun Belt),12,4-8,8,18,0.444
San Diego St. (Mountain West),13,10-3,4,9,0.444
Middle Tenn. (CUSA),13,7-6,7,16,0.438
