Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Wyoming (Mountain West),13,8-5,18,20,38,6,8,14,24,1.85
UCF (AAC),13,13-0,12,20,32,6,9,15,17,1.31
Memphis (AAC),13,10-3,15,16,31,6,10,16,15,1.15
Stanford (Pac-12),14,9-5,10,18,28,4,8,12,16,1.14
Miami (FL) (ACC),13,10-3,14,17,31,4,14,18,13,1.00
Washington (Pac-12),13,10-3,9,15,24,6,5,11,13,1.00
Louisiana Tech (C-USA),13,7-6,9,19,28,10,5,15,13,1.00
Alabama (SEC),14,13-1,5,19,24,7,3,10,14,1.00
Boise St. (Mountain West),14,11-3,11,15,26,6,7,13,13,0.93
Fla. Atlantic (C-USA),14,11-3,6,20,26,6,7,13,13,0.93
App State (Sun Belt),13,9-4,8,18,26,8,6,14,12,0.92
Penn St. (Big Ten),13,11-2,15,10,25,3,10,13,12,0.92
South Carolina (SEC),13,9-4,14,14,28,5,12,17,11,0.85
Texas Tech (Big 12),13,6-7,15,14,29,6,12,18,11,0.85
South Fla. (AAC),12,10-2,4,20,24,8,6,14,10,0.83
Kansas St. (Big 12),13,8-5,11,12,23,5,8,13,10,0.77
Iowa St. (Big 12),13,8-5,8,12,20,1,9,10,10,0.77
LSU (SEC),13,9-4,6,12,18,4,4,8,10,0.77
Akron (MAC),14,7-7,8,19,27,6,11,17,10,0.71
Western Mich. (MAC),12,6-6,16,10,26,10,8,18,8,0.67
Tulane (AAC),12,5-7,6,13,19,5,6,11,8,0.67
Texas (Big 12),13,7-6,10,16,26,7,11,18,8,0.62
NC State (ACC),13,9-4,7,14,21,7,6,13,8,0.62
Wake Forest (ACC),13,8-5,7,14,21,6,7,13,8,0.62
Fresno St. (Mountain West),14,10-4,12,9,21,6,7,13,8,0.57
Northwestern (Big Ten),13,10-3,8,17,25,6,12,18,7,0.54
Troy (Sun Belt),13,11-2,9,17,26,12,7,19,7,0.54
San Diego St. (Mountain West),13,10-3,6,14,20,9,4,13,7,0.54
Iowa (Big Ten),13,8-5,5,21,26,13,6,19,7,0.54
Army West Point (FBS Independent),13,10-3,9,6,15,4,6,10,5,0.38
Utah St. (Mountain West),13,6-7,16,13,29,11,13,24,5,0.38
Virginia Tech (ACC),13,9-4,6,13,19,5,9,14,5,0.38
Boston College (ACC),13,7-6,7,18,25,8,12,20,5,0.38
UTSA (C-USA),11,6-5,9,13,22,11,7,18,4,0.36
Ohio St. (Big Ten),14,12-2,11,13,24,9,10,19,5,0.36
