Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Michigan (Big Ten),13,8-5,160,328,1951,11,5.95,12.19,150.1
UTSA (C-USA),11,6-5,128,261,1761,13,6.75,13.76,160.1
Tennessee (SEC),12,4-8,154,279,1940,15,6.95,12.60,161.7
Clemson (ACC),14,12-2,208,396,2266,16,5.72,10.89,161.9
Wisconsin (Big Ten),14,13-1,192,395,2291,11,5.80,11.93,163.6
Alabama (SEC),14,13-1,229,426,2320,8,5.45,10.13,165.7
Virginia (ACC),13,6-7,172,322,2155,18,6.69,12.53,165.8
Georgia (SEC),15,13-2,244,437,2534,19,5.80,10.39,168.9
Washington St. (Pac-12),13,9-4,190,351,2222,11,6.33,11.69,170.9
Air Force (Mountain West),12,5-7,135,243,2053,16,8.45,15.21,171.1
Minnesota (Big Ten),12,5-7,210,332,2094,16,6.31,9.97,174.5
Mississippi St. (SEC),13,9-4,159,313,2271,13,7.26,14.28,174.7
Wyoming (Mountain West),13,8-5,189,334,2274,11,6.81,12.03,174.9
Army West Point (FBS Independent),13,10-3,190,304,2298,14,7.56,12.09,176.8
San Diego St. (Mountain West),13,10-3,191,333,2323,14,6.98,12.16,178.7
Duke (ACC),13,7-6,167,330,2332,16,7.07,13.96,179.4
Indiana (Big Ten),12,5-7,181,332,2156,18,6.49,11.91,179.7
Auburn (SEC),14,10-4,232,428,2553,16,5.96,11.00,182.4
Utah St. (Mountain West),13,6-7,209,376,2372,17,6.31,11.35,182.5
Central Mich. (MAC),13,8-5,220,402,2412,16,6.00,10.96,185.5
LSU (SEC),13,9-4,202,378,2439,11,6.45,12.07,187.6
UAB (C-USA),13,8-5,202,388,2466,18,6.36,12.21,189.7
Eastern Mich. (MAC),12,5-7,195,336,2284,16,6.80,11.71,190.3
Boston College (ACC),13,7-6,211,410,2495,10,6.09,11.82,191.9
Southern Miss. (C-USA),13,8-5,198,377,2515,16,6.67,12.70,193.5
Vanderbilt (SEC),12,5-7,191,328,2335,16,7.12,12.23,194.6
Kent St. (MAC),12,2-10,169,302,2341,19,7.75,13.85,195.1
Florida (SEC),11,4-7,148,270,2149,16,7.96,14.52,195.4
Florida St. (ACC),13,7-6,243,440,2541,15,5.78,10.46,195.5
Ohio St. (Big Ten),14,12-2,246,447,2742,16,6.13,11.15,195.9
UCLA (Pac-12),13,6-7,203,355,2552,19,7.19,12.57,196.3
Washington (Pac-12),13,10-3,272,417,2563,10,6.15,9.42,197.2
Virginia Tech (ACC),13,9-4,174,358,2597,16,7.25,14.93,199.8
Illinois (Big Ten),12,2-10,201,339,2399,20,7.08,11.94,199.9
Georgia Tech (ACC),11,5-6,196,333,2207,17,6.63,11.26,200.6
Miami (OH) (MAC),12,5-7,192,365,2410,19,6.60,12.55,200.8
Michigan St. (Big Ten),13,10-3,241,426,2630,15,6.17,10.91,202.3
Buffalo (MAC),12,6-6,199,336,2440,18,7.26,12.26,203.3
App State (Sun Belt),13,9-4,219,380,2666,14,7.02,12.17,205.1
Western Ky. (C-USA),13,6-7,227,388,2689,11,6.93,11.85,206.8
Temple (AAC),13,7-6,221,387,2689,21,6.95,12.17,206.8
Massachusetts (FBS Independent),12,4-8,194,364,2484,17,6.82,12.80,207.0
Utah (Pac-12),13,7-6,246,441,2692,17,6.10,10.94,207.1
Fresno St. (Mountain West),14,10-4,275,461,2900,14,6.29,10.55,207.1
Toledo (MAC),14,11-3,231,440,2900,20,6.59,12.55,207.1
Louisiana Tech (C-USA),13,7-6,237,406,2716,17,6.69,11.46,208.9
Penn St. (Big Ten),13,11-2,262,449,2749,13,6.12,10.49,211.5
UTEP (C-USA),12,0-12,215,339,2547,24,7.51,11.85,212.3
Boise St. (Mountain West),14,11-3,280,470,2974,17,6.33,10.62,212.4
Iowa (Big Ten),13,8-5,257,459,2767,19,6.03,10.77,212.8
San Jose St. (Mountain West),13,2-11,221,359,2781,25,7.75,12.58,213.9
Ole Miss (SEC),12,6-6,199,345,2570,18,7.45,12.91,214.2
Notre Dame (FBS Independent),13,10-3,252,445,2791,23,6.27,11.08,214.7
Navy (AAC),13,7-6,204,333,2805,23,8.42,13.75,215.8
Rutgers (Big Ten),12,4-8,206,361,2601,19,7.20,12.63,216.8
Miami (FL) (ACC),13,10-3,256,448,2822,19,6.30,11.02,217.1
NIU (MAC),13,8-5,242,427,2841,16,6.65,11.74,218.5
UNLV (Mountain West),12,5-7,215,348,2632,16,7.56,12.24,219.3
Marshall (C-USA),13,8-5,240,432,2867,18,6.64,11.95,220.5
Nebraska (Big Ten),12,4-8,234,363,2657,19,7.32,11.35,221.4
Idaho (Sun Belt),12,4-8,227,372,2668,16,7.17,11.75,222.3
Western Mich. (MAC),12,6-6,209,363,2669,18,7.35,12.77,222.4
North Carolina (ACC),12,3-9,201,363,2677,22,7.37,13.32,223.1
Middle Tenn. (C-USA),13,7-6,269,435,2902,18,6.67,10.79,223.2
Old Dominion (C-USA),12,5-7,220,356,2682,19,7.53,12.19,223.5
Louisville (ACC),13,8-5,224,385,2921,18,7.59,13.04,224.7
BYU (FBS Independent),13,4-9,254,386,2928,19,7.59,11.53,225.2
Tulane (AAC),12,5-7,181,319,2708,19,8.49,14.96,225.7
South Carolina (SEC),13,9-4,259,440,2938,14,6.68,11.34,226.0
TCU (Big 12),14,11-3,229,436,3185,23,7.31,13.91,227.5
Maryland (Big Ten),12,4-8,239,406,2743,23,6.76,11.48,228.6
North Texas (C-USA),14,9-5,233,423,3205,24,7.58,13.76,228.9
Ga. Southern (Sun Belt),12,2-10,184,332,2761,28,8.32,15.01,230.1
Fla. Atlantic (C-USA),14,11-3,276,494,3230,18,6.54,11.70,230.7
Troy (Sun Belt),13,11-2,262,437,3007,20,6.88,11.48,231.3
South Fla. (AAC),12,10-2,230,435,2794,17,6.42,12.15,232.8
Rice (C-USA),12,1-11,232,333,2799,20,8.41,12.06,233.3
Ball St. (MAC),12,2-10,186,316,2803,29,8.87,15.07,233.6
New Mexico St. (Independent),13,7-6,264,452,3047,21,6.74,11.54,234.4
Cincinnati (AAC),12,4-8,219,353,2833,23,8.03,12.94,236.1
Stanford (Pac-12),14,9-5,274,433,3306,20,7.64,12.07,236.1
Southern California (Pac-12),14,11-3,258,475,3318,22,6.99,12.86,237.0
Oregon St. (Pac-12),12,1-11,229,344,2848,29,8.28,12.44,237.3
Akron (MAC),14,7-7,283,458,3324,24,7.26,11.75,237.4
Texas A&M (SEC),13,7-6,247,413,3089,28,7.48,12.51,237.6
Iowa St. (Big 12),13,8-5,283,422,3096,23,7.34,10.94,238.2
Oklahoma (Big 12),14,12-2,267,447,3338,23,7.47,12.50,238.4
