Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Michigan (Big Ten),13,10-3,37,176,0.210
Southern Miss. (C-USA),13,7-6,37,154,0.240
Virginia Tech (ACC),14,10-4,56,204,0.275
Wisconsin (Big Ten),14,11-3,50,179,0.279
Clemson (ACC),15,14-1,62,221,0.281
UCF (AAC),13,6-7,64,221,0.290
Washington (Pac-12),14,12-2,63,206,0.306
Alabama (SEC),15,14-1,73,238,0.307
Boston College (ACC),13,7-6,56,178,0.315
Louisville (ACC),13,9-4,64,203,0.315
Ohio St. (Big Ten),13,11-2,64,199,0.322
LSU (SEC),12,8-4,61,189,0.323
Ga. Southern (Sun Belt),12,5-7,50,153,0.327
Colorado (Pac-12),14,10-4,72,220,0.327
Indiana (Big Ten),13,6-7,68,207,0.329
App State (Sun Belt),13,10-3,60,180,0.333
Florida St. (ACC),13,10-3,61,180,0.339
Wake Forest (ACC),13,7-6,62,182,0.341
Houston (AAC),13,9-4,69,202,0.342
UCLA (Pac-12),12,4-8,69,199,0.347
Temple (AAC),14,10-4,68,196,0.347
South Alabama (Sun Belt),13,6-7,58,167,0.347
Toledo (MAC),13,9-4,66,190,0.347
Florida (SEC),13,9-4,63,181,0.348
Auburn (SEC),13,8-5,70,201,0.348
NC State (ACC),13,7-6,67,192,0.349
Iowa (Big Ten),13,8-5,64,183,0.350
Troy (Sun Belt),13,10-3,72,204,0.353
Southern California (Pac-12),13,10-3,67,189,0.354
Arkansas St. (Sun Belt),13,8-5,74,208,0.356
Kansas (Big 12),12,2-10,62,174,0.356
Arizona St. (Pac-12),12,5-7,62,173,0.358
Northwestern (Big Ten),13,7-6,69,189,0.365
Georgia (SEC),13,8-5,64,174,0.368
Louisiana (Sun Belt),13,6-7,72,194,0.371
San Jose St. (Mountain West),12,4-8,55,148,0.372
Stanford (Pac-12),13,10-3,70,188,0.372
Tulsa (AAC),13,10-3,85,228,0.373
BYU (FBS Independent),13,9-4,66,177,0.373
Kansas St. (Big 12),13,9-4,64,171,0.374
Nebraska (Big Ten),13,9-4,67,179,0.374
Maryland (Big Ten),13,6-7,72,192,0.375
Old Dominion (C-USA),13,10-3,70,186,0.376
SMU (AAC),12,5-7,69,183,0.377
San Diego St. (Mountain West),14,11-3,80,212,0.377
NIU (MAC),12,5-7,70,185,0.378
Tennessee (SEC),13,9-4,78,206,0.379
Army West Point (FBS Independent),13,8-5,60,158,0.380
Memphis (AAC),13,8-5,73,192,0.380
Western Ky. (C-USA),14,11-3,81,213,0.380
Texas (Big 12),12,5-7,72,188,0.383
Penn St. (Big Ten),14,11-3,84,219,0.384
Miami (FL) (ACC),13,9-4,81,210,0.386
Middle Tenn. (C-USA),13,8-5,81,210,0.386
Ohio (MAC),14,8-6,84,217,0.387
Minnesota (Big Ten),13,9-4,83,214,0.388
Utah (Pac-12),13,9-4,73,188,0.388
Texas A&M (SEC),13,8-5,82,211,0.389
Boise St. (Mountain West),13,10-3,84,216,0.389
Notre Dame (FBS Independent),12,4-8,67,172,0.390
Oklahoma St. (Big 12),13,10-3,76,195,0.390
Georgia St. (Sun Belt),12,3-9,77,197,0.391
South Fla. (AAC),13,11-2,85,217,0.392
Rice (C-USA),12,3-9,62,157,0.395
New Mexico (Mountain West),13,9-4,63,159,0.396
Western Mich. (MAC),14,13-1,69,174,0.397
Duke (ACC),12,4-8,69,174,0.397
Kent St. (MAC),12,3-9,72,181,0.398
UTSA (C-USA),13,6-7,74,186,0.398
Washington St. (Pac-12),13,8-5,69,173,0.399
Marshall (C-USA),12,3-9,66,165,0.400
West Virginia (Big 12),13,10-3,83,206,0.403
Vanderbilt (SEC),13,6-7,77,191,0.403
Massachusetts (FBS Independent),12,2-10,69,171,0.404
Rutgers (Big Ten),12,2-10,70,173,0.405
Pittsburgh (ACC),13,8-5,80,197,0.406
Miami (OH) (MAC),13,6-7,73,179,0.408
UConn (AAC),12,3-9,73,179,0.408
Mississippi St. (SEC),13,6-7,78,190,0.411
Fresno St. (Mountain West),12,1-11,68,165,0.412
Utah St. (Mountain West),12,3-9,76,184,0.413
Syracuse (ACC),12,4-8,72,174,0.414
UTEP (C-USA),12,4-8,65,157,0.414
Baylor (Big 12),13,7-6,90,217,0.415
Ole Miss (SEC),12,5-7,75,180,0.417
Central Mich. (MAC),13,6-7,79,189,0.418
Oregon St. (Pac-12),12,4-8,74,177,0.418
Charlotte (C-USA),12,4-8,72,172,0.419
Eastern Mich. (MAC),13,7-6,75,179,0.419
Michigan St. (Big Ten),12,3-9,71,168,0.423
Texas St. (Sun Belt),12,2-10,74,175,0.423
Idaho (Sun Belt),13,9-4,74,175,0.423
North Carolina (ACC),13,8-5,89,209,0.426
Oklahoma (Big 12),13,11-2,92,216,0.426
South Carolina (SEC),13,6-7,81,190,0.426
Tulane (AAC),12,4-8,81,189,0.429
East Carolina (AAC),12,3-9,73,170,0.429
FIU (C-USA),12,4-8,67,156,0.429
Wyoming (Mountain West),14,8-6,86,200,0.430
Texas Tech (Big 12),12,5-7,71,164,0.433
Virginia (ACC),12,2-10,75,173,0.434
Air Force (Mountain West),13,10-3,77,177,0.435
TCU (Big 12),13,6-7,98,225,0.436
Missouri (SEC),12,4-8,86,194,0.443
Akron (MAC),12,5-7,79,178,0.444
Kentucky (SEC),13,7-6,80,180,0.444
Illinois (Big Ten),12,3-9,78,175,0.446
UNLV (Mountain West),12,4-8,80,179,0.447
ULM (Sun Belt),12,4-8,68,152,0.447
Bowling Green (MAC),12,4-8,77,172,0.448
Iowa St. (Big 12),12,3-9,78,174,0.448
Arkansas (SEC),13,7-6,74,165,0.448
Ball St. (MAC),12,4-8,83,184,0.451
Louisiana Tech (C-USA),14,9-5,85,187,0.455
Buffalo (MAC),12,2-10,84,182,0.462
New Mexico St. (Sun Belt),12,3-9,83,177,0.469
California (Pac-12),12,5-7,76,161,0.472
Fla. Atlantic (C-USA),12,3-9,78,165,0.473
North Texas (C-USA),13,5-8,92,193,0.477
Cincinnati (AAC),12,4-8,93,194,0.479
Hawaii (Mountain West),14,7-7,96,200,0.480
Oregon (Pac-12),12,4-8,79,163,0.485
Colorado St. (Mountain West),13,7-6,95,194,0.490
Nevada (Mountain West),12,5-7,81,165,0.491
Purdue (Big Ten),12,3-9,89,181,0.492
Georgia Tech (ACC),13,9-4,93,189,0.492
Arizona (Pac-12),12,3-9,92,175,0.526
Navy (AAC),14,9-5,107,200,0.535
Coastal Carolina (FBS Independent),12,10-2,56,170,0.329
