Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
North Carolina (ACC),13,8-5,9,2,0,0.22
Oklahoma St. (Big 12),13,10-3,16,15,0,0.94
South Alabama (Sun Belt),13,6-7,14,28,0,2.00
Tulane (AAC),12,4-8,15,31,0,2.07
Baylor (Big 12),13,7-6,8,17,0,2.13
BYU (FBS Independent),13,9-4,17,43,0,2.53
Houston (AAC),13,9-4,13,34,0,2.62
Auburn (SEC),13,8-5,6,19,0,3.17
Purdue (Big Ten),12,3-9,14,45,0,3.21
Arizona St. (Pac-12),12,5-7,19,65,0,3.42
LSU (SEC),12,8-4,11,38,0,3.45
Oregon St. (Pac-12),12,4-8,18,65,1,3.61
Temple (AAC),14,10-4,21,78,0,3.71
NIU (MAC),12,5-7,24,93,0,3.88
Ohio St. (Big Ten),13,11-2,14,55,0,3.93
TCU (Big 12),13,6-7,22,87,0,3.95
Kansas St. (Big 12),13,9-4,21,87,0,4.14
Minnesota (Big Ten),13,9-4,31,129,0,4.16
Middle Tenn. (CUSA),13,8-5,16,68,0,4.25
Virginia Tech (ACC),14,10-4,14,61,0,4.36
Iowa St. (Big 12),12,3-9,15,66,0,4.40
Air Force (Mountain West),13,10-3,19,86,0,4.53
Ohio (MAC),14,8-6,18,83,0,4.61
Wyoming (Mountain West),14,8-6,21,97,0,4.62
Texas (Big 12),12,5-7,19,93,0,4.89
Boston College (ACC),13,7-6,31,155,0,5.00
Maryland (Big Ten),13,6-7,20,100,0,5.00
Bowling Green (MAC),12,4-8,20,104,0,5.20
Texas A&M (SEC),13,8-5,20,104,0,5.20
Fresno St. (Mountain West),12,1-11,10,52,1,5.20
Clemson (ACC),15,14-1,10,52,0,5.20
Southern Miss. (CUSA),13,7-6,16,86,1,5.38
Kentucky (SEC),13,7-6,23,125,0,5.43
Michigan St. (Big Ten),12,3-9,16,87,0,5.44
Western Ky. (CUSA),14,11-3,9,49,0,5.44
Western Mich. (MAC),14,13-1,6,33,0,5.50
Central Mich. (MAC),13,6-7,19,105,1,5.53
Missouri (SEC),12,4-8,20,111,0,5.55
Arkansas (SEC),13,7-6,18,101,0,5.61
Charlotte (CUSA),12,4-8,22,131,0,5.95
West Virginia (Big 12),13,10-3,18,108,0,6.00
Indiana (Big Ten),13,6-7,32,195,1,6.09
Georgia (SEC),13,8-5,20,122,0,6.10
Rice (CUSA),12,3-9,20,124,0,6.20
Southern California (Pac-12),13,10-3,8,50,0,6.25
UTEP (CUSA),12,4-8,26,168,0,6.46
Michigan (Big Ten),13,10-3,21,137,0,6.52
Toledo (MAC),13,9-4,15,99,0,6.60
Colorado St. (Mountain West),13,7-6,17,113,0,6.65
Arkansas St. (Sun Belt),13,8-5,21,140,1,6.67
Texas St. (Sun Belt),12,2-10,23,156,0,6.78
UTSA (CUSA),13,6-7,36,247,0,6.86
Massachusetts (FBS Independent),12,2-10,33,229,0,6.94
Penn St. (Big Ten),14,11-3,21,146,0,6.95
Ga. Southern (Sun Belt),12,5-7,8,56,0,7.00
Vanderbilt (SEC),13,6-7,20,141,0,7.05
Eastern Mich. (MAC),13,7-6,16,115,1,7.19
Wisconsin (Big Ten),14,11-3,23,168,1,7.30
Oklahoma (Big 12),13,11-2,9,67,0,7.44
Troy (Sun Belt),13,10-3,19,142,0,7.47
Akron (MAC),12,5-7,21,157,0,7.48
Utah (Pac-12),13,9-4,21,157,1,7.48
Stanford (Pac-12),13,10-3,19,143,0,7.53
Idaho (Sun Belt),13,9-4,16,124,0,7.75
Virginia (ACC),12,2-10,15,118,0,7.87
Miami (OH) (MAC),13,6-7,19,150,1,7.89
Miami (FL) (ACC),13,9-4,20,158,0,7.90
Oregon (Pac-12),12,4-8,16,127,0,7.94
ULM (Sun Belt),12,4-8,18,143,1,7.94
Army West Point (FBS Independent),13,8-5,4,32,0,8.00
Ball St. (MAC),12,4-8,16,129,1,8.06
Syracuse (ACC),12,4-8,27,219,1,8.11
Pittsburgh (ACC),13,8-5,29,236,0,8.14
Tulsa (AAC),13,10-3,17,141,0,8.29
Texas Tech (Big 12),12,5-7,10,84,0,8.40
New Mexico (Mountain West),13,9-4,24,204,1,8.50
Fla. Atlantic (CUSA),12,3-9,21,181,1,8.62
Kent St. (MAC),12,3-9,21,185,1,8.81
Washington St. (Pac-12),13,8-5,12,106,1,8.83
Washington (Pac-12),14,12-2,13,116,0,8.92
Marshall (CUSA),12,3-9,18,162,1,9.00
North Texas (CUSA),13,5-8,28,253,2,9.04
Wake Forest (ACC),13,7-6,30,274,0,9.13
San Diego St. (Mountain West),14,11-3,19,175,1,9.21
Boise St. (Mountain West),13,10-3,16,148,1,9.25
South Fla. (AAC),13,11-2,20,185,0,9.25
SMU (AAC),12,5-7,19,177,0,9.32
Georgia Tech (ACC),13,9-4,14,131,0,9.36
Duke (ACC),12,4-8,16,150,1,9.38
Memphis (AAC),13,8-5,7,66,0,9.43
Northwestern (Big Ten),13,7-6,24,229,0,9.54
South Carolina (SEC),13,6-7,26,249,0,9.58
Louisville (ACC),13,9-4,19,183,0,9.63
Kansas (Big 12),12,2-10,25,241,1,9.64
Nevada (Mountain West),12,5-7,13,127,0,9.77
Florida (SEC),13,9-4,29,284,1,9.79
UConn (AAC),12,3-9,16,157,0,9.81
Hawaii (Mountain West),14,7-7,29,292,1,10.07
Rutgers (Big Ten),12,2-10,35,366,2,10.46
FIU (CUSA),12,4-8,14,147,0,10.50
UCF (AAC),13,6-7,18,191,1,10.61
Cincinnati (AAC),12,4-8,13,138,1,10.62
Alabama (SEC),15,14-1,20,213,0,10.65
Nebraska (Big Ten),13,9-4,21,224,0,10.67
Iowa (Big Ten),13,8-5,12,134,0,11.17
UCLA (Pac-12),12,4-8,23,258,1,11.22
Buffalo (MAC),12,2-10,21,236,1,11.24
East Carolina (AAC),12,3-9,17,192,1,11.29
Illinois (Big Ten),12,3-9,24,273,1,11.38
Arizona (Pac-12),12,3-9,21,241,0,11.48
UNLV (Mountain West),12,4-8,24,282,1,11.75
Ole Miss (SEC),12,5-7,15,177,1,11.80
California (Pac-12),12,5-7,27,320,1,11.85
Georgia St. (Sun Belt),12,3-9,30,373,2,12.43
App State (Sun Belt),13,10-3,12,150,0,12.50
