Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Alabama (SEC),15,14-1,4,23,0.174
App State (Sun Belt),13,10-3,5,23,0.217
Ball St. (MAC),12,4-8,4,17,0.235
Arkansas St. (Sun Belt),13,8-5,5,20,0.250
Duke (ACC),12,4-8,3,12,0.250
Florida (SEC),13,9-4,4,16,0.250
Miami (FL) (ACC),13,9-4,7,24,0.292
Boston College (ACC),13,7-6,4,13,0.308
Tennessee (SEC),13,9-4,8,26,0.308
Illinois (Big Ten),12,3-9,5,16,0.313
Arizona (Pac-12),12,3-9,5,16,0.313
Vanderbilt (SEC),13,6-7,6,19,0.316
Tulane (AAC),12,4-8,3,9,0.333
Texas A&M (SEC),13,8-5,7,21,0.333
San Diego St. (Mountain West),14,11-3,9,26,0.346
Ohio St. (Big Ten),13,11-2,8,23,0.348
West Virginia (Big 12),13,10-3,7,20,0.350
Wisconsin (Big Ten),14,11-3,7,19,0.368
Buffalo (MAC),12,2-10,9,24,0.375
East Carolina (AAC),12,3-9,6,16,0.375
Washington St. (Pac-12),13,8-5,6,16,0.375
Penn St. (Big Ten),14,11-3,8,21,0.381
Wyoming (Mountain West),14,8-6,5,13,0.385
Maryland (Big Ten),13,6-7,10,26,0.385
Western Ky. (CUSA),14,11-3,11,28,0.393
ULM (Sun Belt),12,4-8,6,15,0.400
Michigan (Big Ten),13,10-3,11,27,0.407
Oklahoma St. (Big 12),13,10-3,11,27,0.407
North Texas (CUSA),13,5-8,11,27,0.407
BYU (FBS Independent),13,9-4,9,22,0.409
Georgia (SEC),13,8-5,7,17,0.412
Kansas St. (Big 12),13,9-4,10,24,0.417
Missouri (SEC),12,4-8,5,12,0.417
Clemson (ACC),15,14-1,10,24,0.417
Southern Miss. (CUSA),13,7-6,5,12,0.417
Air Force (Mountain West),13,10-3,8,19,0.421
Houston (AAC),13,9-4,8,19,0.421
Army West Point (FBS Independent),13,8-5,8,19,0.421
UTSA (CUSA),13,6-7,8,19,0.421
Central Mich. (MAC),13,6-7,9,21,0.429
Wake Forest (ACC),13,7-6,9,21,0.429
Oregon (Pac-12),12,4-8,7,16,0.438
Florida St. (ACC),13,10-3,8,18,0.444
Kansas (Big 12),12,2-10,8,18,0.444
Louisiana (Sun Belt),13,6-7,9,20,0.450
Colorado (Pac-12),14,10-4,9,20,0.450
UCF (AAC),13,6-7,14,31,0.452
