Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Michigan (Big Ten),13,10-3,809,3403,4.21,20,22,261.8
Alabama (SEC),15,14-1,983,3927,3.99,20,21,261.8
Temple (AAC),14,10-4,852,3955,4.64,30,33,282.5
Army West Point (FBS Independent),13,8-5,744,3789,5.09,31,33,291.5
Florida (SEC),13,9-4,816,3809,4.67,24,27,293.0
Ohio St. (Big Ten),13,11-2,882,3858,4.37,19,22,296.8
Wisconsin (Big Ten),14,11-3,857,4219,4.92,22,24,301.4
Clemson (ACC),15,14-1,1008,4672,4.63,33,34,311.5
Boston College (ACC),13,7-6,803,4084,5.09,43,44,314.2
LSU (SEC),12,8-4,793,3773,4.76,16,16,314.4
San Diego St. (Mountain West),14,11-3,925,4416,4.77,34,37,315.4
Washington (Pac-12),14,12-2,963,4436,4.61,29,30,316.9
Houston (AAC),13,9-4,866,4155,4.80,35,37,319.6
Louisville (ACC),13,9-4,894,4189,4.69,36,38,322.2
Southern Miss. (C-USA),13,7-6,739,4223,5.71,47,50,324.8
Georgia (SEC),13,8-5,809,4257,5.26,38,41,327.5
App State (Sun Belt),13,10-3,859,4286,4.99,27,28,329.7
Virginia Tech (ACC),14,10-4,955,4770,4.99,40,41,340.7
Colorado (Pac-12),14,10-4,984,4795,4.87,32,36,342.5
Miami (FL) (ACC),13,9-4,945,4492,4.75,27,28,345.5
Minnesota (Big Ten),13,9-4,940,4534,4.82,34,35,348.8
Florida St. (ACC),13,10-3,861,4538,5.27,37,40,349.1
Iowa (Big Ten),13,8-5,893,4565,5.11,28,30,351.2
NC State (ACC),13,7-6,894,4586,5.13,34,34,352.8
Miami (OH) (MAC),13,6-7,876,4592,5.24,36,39,353.2
Western Mich. (MAC),14,13-1,850,4951,5.82,34,35,353.6
Ohio (MAC),14,8-6,984,5043,5.13,37,38,360.2
Auburn (SEC),13,8-5,928,4705,5.07,22,23,361.9
Arkansas St. (Sun Belt),13,8-5,946,4717,4.99,28,31,362.8
Nebraska (Big Ten),13,9-4,855,4728,5.53,38,40,363.7
Tulane (AAC),12,4-8,816,4374,5.36,37,42,364.5
Michigan St. (Big Ten),12,3-9,792,4378,5.53,40,42,364.8
Air Force (Mountain West),13,10-3,819,4743,5.79,43,45,364.8
BYU (FBS Independent),13,9-4,860,4745,5.52,31,33,365.0
Troy (Sun Belt),13,10-3,944,4765,5.05,33,36,366.5
Southern California (Pac-12),13,10-3,887,4773,5.38,40,41,367.2
Penn St. (Big Ten),14,11-3,1023,5151,5.04,40,42,367.9
Stanford (Pac-12),13,10-3,894,4785,5.35,33,33,368.1
